case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,wall_time_s
1,C,16,16,16,9455.937,521,16,1,29,5688.008325599565,6265.936516294267,3321.0083255995646,2944.9281906947026,2605.0,505.0,80.0,0,,,0.6409220999921672
1,Crim1500,16,16,16,9775.082,485,16,1,29,4492.272666395826,6805.08152431247,2700.272666395826,4104.808857916646,2425.0,465.0,80.0,0,,,0.5543222000123933
1,Crim1700,16,16,16,11610.319,702,16,1,29,4209.7435665410985,7336.318999004181,2561.7435665410985,4774.575432463084,3510.0,684.0,80.0,0,,,0.7429880000127014
1,CrimNN,16,16,16,8885.88,448,16,1,29,4214.97534677862,6137.879631962854,2525.975346778619,3611.904285184236,2240.0,428.0,80.0,0,,,0.6870811999833677
2,C,16,16,16,9282.275,472,16,1,29,5970.06309749389,6391.275164014083,3520.0630974938886,2871.2120665201946,2360.0,451.0,80.0,0,,,0.4115252000046894
2,Crim1500,16,16,16,8582.968,450,16,1,29,4695.047942252686,5817.968371497187,2670.047942252686,3147.920429244503,2250.0,435.0,80.0,0,,,0.48433260002639145
2,Crim1700,16,16,16,9291.829,448,16,1,29,4302.648411414414,6540.828538283768,2565.6484114144137,3975.1801268693557,2240.0,431.0,80.0,0,,,0.6030643999984022
2,CrimNN,16,16,16,8291.971,430,16,1,29,4404.050794602687,5646.971223847189,2499.0507946026873,3147.920429244503,2150.0,415.0,80.0,0,,,0.46957700001075864
3,C,16,16,16,9596.194,523,16,1,29,6380.493568684544,6402.193978875353,3659.493568684543,2742.7004101908124,2615.0,499.0,80.0,0,,,0.5674981999909505
3,Crim1500,16,16,16,8521.421,368,16,1,29,4515.262900963842,6260.421478665658,2694.262900963841,3566.1585777018213,1840.0,341.0,80.0,0,,,0.5651268000074197
3,Crim1700,16,16,16,8809.295,447,16,1,29,4258.495084508931,6063.295303236343,2601.4950845089297,3461.800218727411,2235.0,431.0,80.0,0,,,0.5146470999752637
3,CrimNN,16,16,16,8084.99,343,16,1,29,4238.030958868202,5967.989828845802,2531.0309588682007,3436.9588699776014,1715.0,322.0,80.0,0,,,0.5131849000172224
4,C,16,16,16,10889.977,650,16,1,29,6245.392053572722,6923.976919200563,3404.3920535727216,3519.5848656278386,3250.0,636.0,80.0,0,,,0.5680063999898266
4,Crim1500,16,16,16,9694.972,533,16,1,29,4462.6232566122135,6441.971758581949,2430.6232566122126,4011.348501969735,2665.0,508.0,80.0,0,,,0.4620532999979332
