case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,wall_time_s
1,C,15,15,15,8783.744,316,15,1,29,5344.5264323263955,6832.743985978199,3629.5264323263946,3203.2175536518057,1580.0,296.0,75.0,0,,,0.3951025000133086
1,Crim1500,15,15,15,10950.792,440,15,1,29,6494.227593772687,8268.791854779238,4137.227593772685,4131.564261006555,2200.0,407.0,75.0,0,,,0.6299132999847643
1,Crim1700,15,15,15,10728.263,410,15,1,29,7613.4442011934525,8208.262611499566,5390.4442011934525,2817.818410306112,2050.0,395.0,75.0,0,,,0.5264331999933347
1,CrimNN,15,15,15,10518.028,420,15,1,29,6363.285445016888,7947.027861955068,4066.2854450168866,3880.7424169381843,2100.0,396.0,75.0,0,,,0.5014444999978878
2,C,10,10,10,8899.894,456,10,1,29,6219.96345213146,6128.893950987864,3653.9634521314583,2474.930498856405,2280.0,441.0,50.0,0,,,0.14095840000663884
2,Crim1500,10,10,10,9781.926,520,10,1,29,7130.227593772685,6619.925998538278,4137.227593772685,2482.6984047655915,2600.0,512.0,50.0,0,,,0.2353346000018064
2,Crim1700,10,10,10,10010.387,485,10,1,29,8157.286701703008,7057.3868268132555,5339.286701703008,1718.1001251102493,2425.0,478.0,50.0,0,,,0.17766489999485202
2,CrimNN,10,10,10,9582.909,516,10,1,29,7041.28544501689,6445.909390401235,4066.2854450168866,2379.6239453843473,2580.0,507.0,50.0,0,,,0.2422161000140477
3,C,15,15,15,7994.553,321,15,1,29,5481.7703567213175,6000.552885847467,3653.7703567213175,2346.7825291261497,1605.0,314.0,75.0,0,,,0.25539830001071095
3,Crim1500,15,15,15,10231.542,403,15,1,29,6367.471518167608,7755.54249847315,4161.471518167607,3594.0709803055424,2015.0,386.0,75.0,0,,,0.4379524000105448
3,Crim1700,15,15,15,9849.47,407,15,1,29,7729.183443085316,7340.469819958161,5381.183443085315,1959.2863768728444,2035.0,399.0,75.0,0,,,0.23365070001455024
