case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,wall_time_s
1,C,13,13,13,8716.381,348,13,1,29,5578.5264323263955,6576.380744365638,3629.5264323263946,2946.854312039243,1740.0,335.0,65.0,0,,,0.3855022999923676
1,Crim1500,13,13,13,9896.636,384,13,1,29,6320.227593772685,7538.636243439052,4137.227593772685,3401.4086496663685,1920.0,373.0,65.0,0,,,0.2834813999943435
1,Crim1700,13,13,13,9648.366,350,13,1,29,7422.646273831994,7489.3664485972895,5397.646273831993,2091.720174765298,1750.0,344.0,65.0,0,,,0.22183250001398847
1,CrimNN,13,13,13,10673.699,415,13,1,29,6411.285445016888,8132.698901795921,4066.2854450168866,4066.4134567790343,2075.0,401.0,65.0,0,,,0.34933060000184923
2,C,10,10,10,9137.471,454,10,1,29,6094.526432326396,6399.471090026848,3629.5264323263946,2769.94465770046,2270.0,418.0,50.0,0,,,0.43022409998229705
2,Crim1500,10,10,10,9944.521,468,10,1,29,6668.227593772687,7124.521135978848,4137.227593772685,2987.2935422061696,2340.0,430.0,50.0,0,,,0.414138299995102
2,Crim1700,10,10,10,10612.911,456,10,1,29,7776.555835790862,7843.910777151185,5343.555835790862,2500.3549413603255,2280.0,439.0,50.0,0,,,0.37277950000134297
2,CrimNN,10,10,10,9848.448,460,10,1,29,6600.580382159641,7075.447582300049,4106.580382159639,2968.8672001404166,2300.0,423.0,50.0,0,,,0.4308942999923602
3,C,14,14,14,9403.988,393,14,1,29,5607.370546077941,7011.987690746806,3641.37054607794,3370.617144668867,1965.0,357.0,70.0,0,,,0.36926770000718534
3,Crim1500,14,14,14,9796.852,386,14,1,29,6054.406839183114,7445.852152527639,4167.406839183114,3278.4453133445236,1930.0,351.0,70.0,0,,,0.5834382000030018
3,Crim1700,14,14,14,10761.999,368,14,1,29,7192.19108002731,8514.999433478617,5402.19108002731,3112.808353451308,1840.0,337.0,70.0,0,,,0.4101575000095181
3,CrimNN,14,14,14,10076.275,367,14,1,29,6001.8751504081565,7821.275122650501,4071.875150408155,3749.399972242347,1835.0,350.0,70.0,0,,,0.2768625000026077
4,C,12,12,12,9358.157,491,12,1,29,6257.310839534488,6361.156606128675,3643.3108395344866,2717.8457665941905,2455.0,482.0,60.0,0,,,0.27844259998528287
4,Crim1500,12,12,12,10752.252,509,12,1,29,6757.7197782453995,7651.25196443793,4137.719778245399,3513.532186192533,2545.0,496.0,60.0,0,,,0.3674587999994401
4,Crim1700,12,12,12,10605.811,448,12,1,29,7905.786004121734,7865.810717804045,5431.786004121733,2434.0247136823136,2240.0,440.0,60.0,0,,,0.2329279000114184
4,CrimNN,12,12,12,10433.945,499,12,1,29,6644.777629489602,7392.944519037918,4066.7776294896,3326.1668895483194,2495.0,486.0,60.0,0,,,0.30539729999145493
5,C,13,13,13,9208.385,488,13,1,29,6228.242984163503,6232.384903949971,3700.242984163502,2532.14191978647,2440.0,471.0,65.0,0,,,0.35479620000114664
5,Crim1500,13,13,13,10090.758,478,13,1,29,6514.293887924118,7165.758248145543,4140.293887924117,3025.4643602214296,2390.0,470.0,65.0,0,,,0.3972011999867391
5,Crim1700,13,13,13,11198.833,454,13,1,29,7559.712262595062,8432.833355476603,5341.7122625950615,3091.121092881547,2270.0,431.0,65.0,0,,,0.4523177999944892
5,CrimNN,13,13,13,10074.35,487,13,1,29,6497.351739168321,7095.3496996356125,4069.3517391683185,3025.997960467298,2435.0,479.0,65.0,0,,,0.44799329998204485
6,C,13,13,13,8360.559,393,13,1,29,5662.5264323263955,5959.559158972617,3629.5264323263946,2330.0327266462264,1965.0,371.0,65.0,0,,,0.5521908000227995
6,Crim1500,13,13,13,10025.485,472,13,1,29,6646.872242909422,7147.4848030450175,4177.87224290942,2969.6125601356007,2360.0,453.0,65.0,0,,,0.43364049997762777
6,Crim1700,13,13,13,10494.448,419,13,1,29,7684.563454020458,7925.448035722128,5352.563454020457,2572.88458170167,2095.0,409.0,65.0,0,,,0.3285784000181593
