case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,wall_time_s
1,C,14,14,14,7337.083,276,14,1,29,5164.5264323263955,5622.083234774975,3629.5264323263946,1992.556802448581,1380.0,265.0,70.0,0,,,0.3896881999971811
1,Crim1500,14,14,14,9054.646,344,14,1,29,6086.227593772685,6925.646351683647,4137.227593772685,2788.4187579109625,1720.0,339.0,70.0,0,,,0.352201600006083
1,Crim1700,14,14,14,9620.83,355,14,1,29,7351.6265819158725,7433.830070150497,5349.6265819158725,2084.2034882346247,1775.0,342.0,70.0,0,,,0.4176852999953553
1,CrimNN,14,14,14,8458.045,330,14,1,29,5944.589441438265,6414.045180158373,4068.589441438264,2345.45573872011,1650.0,324.0,70.0,0,,,0.32334089998039417
2,C,11,11,11,7472.689,375,11,1,29,5806.180581584338,5173.688898731702,3630.1805815843372,1543.508317147365,1875.0,369.0,55.0,0,,,0.2800770000030752
2,Crim1500,11,11,11,8597.016,447,11,1,29,6692.416000808366,5874.015856356106,4138.416000808366,1735.5998555477424,2235.0,433.0,55.0,0,,,0.3506239000125788
2,Crim1700,11,11,11,10483.791,434,11,1,29,7832.337957019884,7836.790633748814,5350.337957019884,2486.452676728932,2170.0,422.0,55.0,0,,,0.301518100022804
2,CrimNN,11,11,11,8541.322,438,11,1,29,6573.473852052569,5871.322043777135,4067.4738520525684,1803.8481917245674,2190.0,425.0,55.0,0,,,0.27595939999446273
3,C,16,16,16,5345.125,183,16,1,29,1420.1779453846982,4185.124911483899,839.1779453846982,3345.9469660992,915.0,165.0,80.0,0,,,0.46738590000313707
3,Crim1500,16,16,16,10822.497,438,16,1,29,5162.355351731436,8121.497258469924,3225.355351731435,4896.141906738489,2190.0,431.0,80.0,0,,,0.4746271999902092
3,Crim1700,16,16,16,8092.7,384,16,1,29,4909.131104204438,5715.7001081110375,3141.1311042044376,2574.569003906601,1920.0,377.0,80.0,0,,,0.4584146999986842
3,CrimNN,16,16,16,10369.208,440,16,1,29,5121.413202975637,7656.208414364785,3154.4132029756365,4501.7952113891515,2200.0,433.0,80.0,0,,,0.4492749000201002
4,C,11,11,11,8524.691,367,11,1,29,5698.5264323263955,6280.690668184118,3629.5264323263946,2651.1642358577265,1835.0,354.0,55.0,0,,,0.34371830002055503
4,Crim1500,11,11,11,9889.223,449,11,1,29,6734.855711656134,7153.223139716568,4163.855711656134,2989.3674280604337,2245.0,436.0,55.0,0,,,0.2805355000018608
4,Crim1700,11,11,11,10692.594,425,11,1,29,7762.274086327078,8106.593685887265,5365.274086327078,2741.319599560185,2125.0,406.0,55.0,0,,,0.3634487999952398
4,CrimNN,11,11,11,10166.034,450,11,1,29,6603.285445016888,7428.034350432377,4066.2854450168866,3361.7489054154894,2250.0,433.0,55.0,0,,,0.34240239998325706
5,C,12,12,12,7945.68,407,12,1,29,5993.481813160234,5449.679956822873,3631.4818131602333,1818.1981436626397,2035.0,401.0,60.0,0,,,0.2959439999831375
5,Crim1500,12,12,12,10754.355,483,12,1,29,6858.386118689246,7822.354892949251,4184.386118689244,3637.9687742600127,2415.0,457.0,60.0,0,,,0.6471087000099942
5,Crim1700,12,12,12,10827.07,442,12,1,29,7937.43746336671,8128.069922606104,5420.4374633667085,2707.6324592393985,2210.0,429.0,60.0,0,,,0.4081731999758631
5,CrimNN,12,12,12,10635.413,475,12,1,29,6739.443969933449,7751.412744193452,4113.443969933445,3637.9687742600127,2375.0,449.0,60.0,0,,,0.6768939000030514
6,C,11,11,11,7652.726,383,11,1,29,5830.5264323263955,5308.725605808654,3629.5264323263946,1679.1991734822618,1915.0,374.0,55.0,0,,,0.3318458999856375
6,Crim1500,11,11,11,8913.896,397,11,1,29,6472.533700642093,6490.896072375506,4207.533700642092,2283.3623717334176,1985.0,383.0,55.0,0,,,0.37249579999479465
6,Crim1700,11,11,11,9445.171,374,11,1,29,7578.566184492673,7158.170708104883,5422.566184492673,1735.604523612214,1870.0,362.0,55.0,0,,,0.3389018000161741
6,CrimNN,11,11,11,8967.521,413,11,1,29,6399.285445016888,6448.520872428038,4066.2854450168866,2382.235427411155,2065.0,399.0,55.0,0,,,0.43173989999922924
7,C,11,11,11,7579.945,375,11,1,29,5857.156652830892,5276.944956215668,3663.156652830892,1613.788303384776,1875.0,373.0,55.0,0,,,0.23443209999823011
7,Crim1500,11,11,11,9228.066,412,11,1,29,6470.227593772687,6717.066128179454,4137.227593772685,2579.8385344067683,2060.0,396.0,55.0,0,,,0.28600430002552457
7,Crim1700,11,11,11,10462.092,421,11,1,29,7689.6459684436295,7902.092290477246,5338.6459684436295,2563.446322033619,2105.0,400.0,55.0,0,,,0.26100440000300296
7,CrimNN,11,11,11,9091.124,401,11,1,29,6333.285445016888,6646.123979423654,4066.2854450168866,2579.8385344067683,2005.0,385.0,55.0,0,,,0.23214639999787323
8,C,12,12,12,7782.396,334,12,1,29,5548.5264323263955,5724.395628711958,3629.5264323263946,2094.8691963855645,1670.0,328.0,60.0,0,,,0.24907940000412054
8,Crim1500,12,12,12,9440.957,431,12,1,29,6602.227593772687,6805.956589814421,4137.227593772685,2668.7289960417343,2155.0,420.0,60.0,0,,,0.307785100012552
8,Crim1700,12,12,12,10025.745,405,12,1,29,7685.252208874716,7546.7447049256825,5360.252208874716,2186.4924960509657,2025.0,394.0,60.0,0,,,0.32164569999440573
8,CrimNN,12,12,12,9310.014,421,12,1,29,6471.285445016888,6735.014441058624,4066.2854450168866,2668.7289960417343,2105.0,410.0,60.0,0,,,0.29440519999479875
9,C,15,15,15,7729.666,292,15,1,29,5266.5264323263955,5909.666285185348,3629.5264323263946,2280.139852858953,1460.0,285.0,75.0,0,,,0.4442118000006303
9,Crim1500,15,15,15,9605.075,391,15,1,29,6278.227593772685,7203.074698331991,4137.227593772685,3065.8471045593083,1955.0,372.0,75.0,0,,,0.6102055999799632
9,Crim1700,15,15,15,10248.879,347,15,1,29,7287.6459684436295,8097.878828351716,5338.6459684436295,2759.232859908091,1735.0,341.0,75.0,0,,,0.389199400000507
9,CrimNN,15,15,15,9910.018,406,15,1,29,6357.285445016888,7406.018133049522,4066.2854450168866,3339.7326880326355,2030.0,399.0,75.0,0,,,0.41131210001185536
10,C,11,11,11,7544.983,345,11,1,29,5644.047984016964,5428.982523316471,3655.047984016963,1773.934539299508,1725.0,336.0,55.0,0,,,0.34570000000530854
10,Crim1500,11,11,11,9462.824,402,11,1,29,6422.227593772685,7007.823553988265,4137.227593772685,2870.595960215577,2010.0,390.0,55.0,0,,,0.23682610000832938
10,Crim1700,11,11,11,9922.67,401,11,1,29,7671.98928894538,7466.66994877391,5345.98928894538,2120.680659828529,2005.0,396.0,55.0,0,,,0.19678359999670647
10,CrimNN,11,11,11,9038.444,409,11,1,29,6393.285445016888,6542.4438375856835,4066.2854450168866,2476.1583925687974,2045.0,396.0,55.0,0,,,0.3050972000055481
11,C,16,16,16,7177.543,225,16,1,29,3163.589175510358,5764.543314923863,2072.589175510358,3691.954139413505,1125.0,208.0,80.0,0,,,0.6094314999936614
11,Crim1500,16,16,16,9421.02,413,16,1,29,5052.294471525405,6888.0198542423705,3073.294471525404,3814.7253827169698,2065.0,388.0,80.0,0,,,0.6866795000096317
11,Crim1700,16,16,16,7769.402,306,16,1,29,4626.910711975039,5869.401678682712,3002.910711975039,2866.490966707675,1530.0,290.0,80.0,0,,,0.6515650000073947
11,CrimNN,16,16,16,8958.751,391,16,1,29,4909.352322769606,6551.751229764181,3002.3523227696055,3549.3989069945783,1955.0,372.0,80.0,0,,,0.48757430000114255
12,C,12,12,12,7372.615,322,12,1,29,5540.7593643008795,5388.615116852155,3677.7593643008786,1710.8557525512767,1610.0,314.0,60.0,0,,,0.20103570001083426
12,Crim1500,12,12,12,8024.252,397,12,1,29,6447.429891690578,5587.252302017357,4139.429891690579,1447.8224103267778,1985.0,392.0,60.0,0,,,0.2665321000094991
12,Crim1700,12,12,12,9212.914,387,12,1,29,7638.644842918806,6837.9136132892045,5386.644842918804,1451.268770370401,1935.0,380.0,60.0,0,,,0.24012420000508428
12,CrimNN,12,12,12,8577.537,399,12,1,29,6329.624026042616,6136.537260863285,4069.6240260426143,2066.9132348206726,1995.0,386.0,60.0,0,,,0.3498560999869369
13,C,16,16,16,4702.019,172,16,1,29,1828.8865399969663,3599.018966639032,1157.8865399969663,2441.132426642065,860.0,163.0,80.0,0,,,0.48507180000888184
13,Crim1500,16,16,16,7767.177,332,16,1,29,3790.549846607101,5712.1774803055005,2309.5498466071003,3402.627633698402,1660.0,315.0,80.0,0,,,0.8274652999825776
13,Crim1700,16,16,16,7458.067,344,16,1,29,3482.3097378014036,5328.066754945155,2211.3097378014036,3116.7570171437515,1720.0,330.0,80.0,0,,,0.7398358999926131
13,CrimNN,16,16,16,7853.482,324,16,1,29,3519.3179045114607,5857.482240267897,2146.3179045114603,3711.1643357564453,1620.0,296.0,80.0,0,,,0.8233482999785338
14,C,10,10,10,7403.664,373,10,1,29,5836.162277188716,5120.664193283984,3661.162277188715,1459.5019160952695,1865.0,368.0,50.0,0,,,0.18274899999960326
14,Crim1500,10,10,10,9194.945,395,10,1,29,6350.227593772685,6792.944938364104,4137.227593772685,2655.7173445914204,1975.0,377.0,50.0,0,,,0.26635190000524744
14,Crim1700,10,10,10,10305.197,381,10,1,29,7545.6459684436295,7974.196625591535,5338.6459684436295,2635.550657147907,1905.0,376.0,50.0,0,,,0.17409580000094138
14,CrimNN,10,10,10,9090.587,390,10,1,29,6237.285445016888,6718.586526858103,4066.2854450168866,2652.301081841218,1950.0,372.0,50.0,0,,,0.39782199999899603
15,C,11,11,11,7559.6,377,11,1,29,5776.5264323263955,5253.599741697344,3629.5264323263946,1624.07330937095,1885.0,366.0,55.0,0,,,0.36254649999318644
15,Crim1500,11,11,11,9577.217,480,11,1,29,6878.227593772687,6657.217390108037,4137.227593772685,2519.989796335349,2400.0,465.0,55.0,0,,,0.38689850000082515
15,Crim1700,11,11,11,9994.115,440,11,1,29,7887.486730618432,7306.115080190026,5339.486730618432,1966.6283495715925,2200.0,433.0,55.0,0,,,0.2631272000144236
15,CrimNN,11,11,11,9467.006,474,11,1,29,6771.28544501689,6583.005752852638,4066.2854450168866,2516.720307835749,2370.0,459.0,55.0,0,,,0.32173940000939183
16,C,14,14,14,7550.677,310,14,1,29,5342.384811053255,5637.677207069704,3646.3848110532545,1991.292396016453,1550.0,293.0,70.0,0,,,0.6485997999843676
16,Crim1500,14,14,14,9152.895,377,14,1,29,6279.626067003054,6834.894784510671,4163.626067003053,2671.2687175076176,1885.0,363.0,70.0,0,,,0.37280109999119304
16,Crim1700,14,14,14,9569.927,350,14,1,29,7422.816497891056,7403.926736627289,5397.816497891056,2006.1102387362314,1750.0,346.0,70.0,0,,,0.22644950001267716
16,CrimNN,14,14,14,9495.956,393,14,1,29,6231.285445016888,7088.956195265515,4066.2854450168866,3022.670750248629,1965.0,372.0,70.0,0,,,0.5128433000063524
17,C,13,13,13,8244.75,311,13,1,29,5392.5264323263955,6320.750454070438,3629.5264323263946,2691.224021744043,1555.0,304.0,65.0,0,,,0.22723849999601953
17,Crim1500,13,13,13,9427.287,393,13,1,29,6332.227593772685,7020.287391854275,4137.227593772685,2883.059798081591,1965.0,377.0,65.0,0,,,0.44725619998644106
17,Crim1700,13,13,13,9994.576,377,13,1,29,7431.6459684436295,7684.575725961014,5338.6459684436295,2345.929757517389,1885.0,360.0,65.0,0,,,0.5308357999892905
17,CrimNN,13,13,13,9122.83,382,13,1,29,6235.913127287143,6781.8296934889295,4095.9131272871405,2685.916566201791,1910.0,366.0,65.0,0,,,0.3610682999715209
18,C,11,11,11,8652.19,394,11,1,29,5860.5264323263955,6247.1899570115675,3629.5264323263946,2617.663524685172,1970.0,380.0,55.0,0,,,0.3646780000126455
18,Crim1500,11,11,11,9873.881,425,11,1,29,6542.227593772687,7280.880843180133,4137.227593772685,3143.6532494074477,2125.0,413.0,55.0,0,,,0.3221328999788966
18,Crim1700,11,11,11,10799.866,405,11,1,29,7605.6459684436295,8329.865508903024,5338.6459684436295,2991.2195404593936,2025.0,390.0,55.0,0,,,0.3795624000194948
18,CrimNN,11,11,11,9530.742,415,11,1,29,6437.396856353119,6996.741721419768,4075.396856353118,2921.344865066651,2075.0,404.0,55.0,0,,,0.3520628999976907
19,C,12,12,12,8101.338,354,12,1,29,5524.5264323263955,5943.337808649242,3629.5264323263946,2313.8113763228475,1770.0,328.0,60.0,0,,,0.4399886000028346
19,Crim1500,12,12,12,9609.247,453,12,1,29,6651.537886662339,6862.24709219613,4181.537886662338,2680.709205533797,2265.0,422.0,60.0,0,,,0.4538575999904424
19,Crim1700,12,12,12,10523.191,425,12,1,29,7702.956261333283,7941.190641709047,5382.956261333283,2558.2343803757653,2125.0,397.0,60.0,0,,,0.5030298999918159
19,CrimNN,12,12,12,9533.725,446,12,1,29,6483.285445016888,6828.724655670758,4066.2854450168866,2762.439210653876,2230.0,415.0,60.0,0,,,0.4986866000108421
20,C,13,13,13,9072.783,419,13,1,29,5865.27850056495,6532.783496882809,3641.2785005649484,2891.504996317865,2095.0,380.0,65.0,0,,,0.8270796000142582
20,Crim1500,13,13,13,8910.62,422,13,1,29,6528.834130734874,6332.620077462117,4172.834130734872,2159.7859467272456,2110.0,403.0,65.0,0,,,0.5635831999825314
20,Crim1700,13,13,13,10724.26,415,13,1,29,7557.6835286546475,8211.260494672135,5387.6835286546475,2823.576966017492,2075.0,373.0,65.0,0,,,1.0114104999811389
20,CrimNN,13,13,13,8773.678,411,13,1,29,6391.891981979076,6261.677928706319,4101.891981979074,2159.7859467272456,2055.0,392.0,65.0,0,,,0.5864213999884669
21,C,16,16,16,8345.636,339,16,1,29,3283.5891755103576,6266.635781717237,2072.589175510358,4194.046606206886,1695.0,304.0,80.0,0,,,0.7418891000270378
21,Crim1500,16,16,16,9111.023,327,16,1,29,5090.917424674221,7089.02334653938,3405.91742467422,3683.105921865162,1635.0,307.0,80.0,0,,,0.33908259999589063
21,Crim1700,16,16,16,9083.014,317,16,1,29,4831.405457171198,7120.014287580077,3290.4054571711968,3829.6088304088807,1585.0,298.0,80.0,0,,,0.7549394000088796
21,CrimNN,16,16,16,8969.059,314,16,1,29,4972.845334435074,7024.058756545042,3354.8453344350714,3669.2134221099727,1570.0,295.0,80.0,0,,,0.37489320000167936
22,C,13,13,13,8113.443,292,13,1,29,5284.5264323263955,6302.442647289692,3629.5264323263946,2672.916214963298,1460.0,286.0,65.0,0,,,0.31803860000218265
22,Crim1500,13,13,13,9667.914,424,13,1,29,6542.227593772687,7069.914159917426,4137.227593772685,2932.6865661447396,2120.0,413.0,65.0,0,,,0.3766622999974061
22,Crim1700,13,13,13,10408.289,401,13,1,29,7619.753762818576,7954.289262587824,5383.753762818576,2570.5354997692475,2005.0,384.0,65.0,0,,,0.622980500018457
22,CrimNN,13,13,13,9542.11,416,13,1,29,6429.285445016888,6991.109958602648,4066.2854450168866,2924.82451358576,2080.0,406.0,65.0,0,,,0.3788922000094317
23,C,10,10,10,8539.784,431,10,1,29,6136.526432326396,5909.7836849343885,3629.5264323263946,2280.2572526079925,2155.0,425.0,50.0,0,,,0.2895488999783993
23,Crim1500,10,10,10,9887.92,448,10,1,29,6774.556360443258,7155.920057395581,4166.556360443258,2989.3636969523236,2240.0,442.0,50.0,0,,,0.21569660000386648
23,Crim1700,10,10,10,10148.325,442,10,1,29,7963.974735114202,7448.3249353213605,5367.974735114203,2080.3502002071564,2210.0,440.0,50.0,0,,,0.1968254999956116
23,CrimNN,10,10,10,9617.833,439,10,1,29,6655.614211687461,6938.832952888131,4095.61421168746,2843.2187412006715,2195.0,434.0,50.0,0,,,0.21683379999012686
