case,strategy,source_count,cleared_channels,all_cleared,total_virtual_time_s,search_end_time_s,measure_total,measure_search,measure_post,measure_search_no_signal,measure_post_no_signal,measure_post_direction,clear_total,clear_post_success,clear_post_fail,stations_search,stations_post,distance_m,distance_post_m,wall_time_s
1,B,16,16,1,9583.816,6019.924696482856,466,340,126,311,118,8,16,13,0,29,62,33619.07924758369,13789.455765169392,0.5058488000067882
1,C,16,16,1,10970.626,5830.386357050779,792,451,341,431,324,17,16,14,0,27,65,30763.12939453385,15186.197609279947,0.5166840000019874
2,B,16,16,1,6859.127,5074.4590416833635,340,310,30,282,22,8,16,8,0,28,20,23725.63596029996,7848.340751883143,0.17004449997330084
2,C,16,16,1,10572.752,6683.198720577453,661,505,156,479,139,17,16,15,0,30,48,32638.75908473854,14392.765481851282,0.44534490001387894
3,B,16,16,1,8286.585,5660.284262756137,413,355,58,327,50,8,16,11,0,28,33,28667.922681605727,11136.501367825038,0.2764028999954462
3,C,16,16,1,12819.933,6580.236739197959,817,487,330,464,308,22,16,14,0,31,63,39219.66624405094,20973.48254806114,0.5464738000009675
4,B,16,16,1,8436.652,6008.269466441594,393,370,23,340,12,11,16,14,0,27,32,30048.25960852464,11151.912276316662,0.35708980000345036
4,C,16,16,1,10609.137,6557.253332784398,601,482,119,453,105,14,16,15,0,30,66,34705.684996913114,16399.418332991158,0.699279899999965
5,B,16,16,1,9016.891,5928.391996997609,395,361,34,332,19,15,16,14,0,27,36,32899.45642488044,14132.496439892388,0.4452645000128541
5,C,16,16,1,14644.839,6658.592311877564,1008,504,504,483,484,20,16,15,0,30,94,42614.19560311743,24461.23404372961,0.9250138999777846
6,B,16,16,1,9536.966,5716.584788697272,452,351,101,321,86,15,16,12,0,28,50,33794.83085120559,15836.90690771921,0.5366847999976017
6,C,16,16,1,12266.238,6762.7957304284455,715,507,208,481,194,14,16,14,0,31,71,39561.18800258616,21002.209350443936,0.7286919000034686
7,B,16,16,1,9189.612,6314.620113236895,523,426,97,401,87,10,16,15,0,26,35,29863.058876825828,11089.958310641345,0.3392151999869384
