case,strategy,source_count,cleared_channels,all_cleared,total_virtual_time_s,search_end_time_s,measure_total,measure_search,measure_post,measure_search_no_signal,measure_post_no_signal,measure_post_direction,clear_total,clear_post_success,clear_post_fail,stations_search,stations_post,distance_m,distance_post_m,wall_time_s
1,B,13,13,1,8815.608,6225.3089423972,371,356,15,330,2,13,13,12,0,28,27,32653.04059551537,12226.49588352937,0.23567250001360662
1,C,13,13,1,8716.381,5578.5264323263955,348,325,23,299,6,17,13,13,0,29,36,32881.90372182819,14734.271560196219,0.4754873000201769
2,B,10,10,1,8355.64,6313.181554192147,391,367,24,347,17,7,10,9,0,28,33,29888.201930029125,9352.294159068377,0.49892240000190213
2,C,10,10,1,9137.471,6094.526432326396,454,411,43,392,36,7,10,10,0,29,48,31997.35545013426,13849.723288502293,0.56632990000071
3,B,14,14,1,9469.437,5988.871979393181,359,318,41,290,24,17,14,14,0,27,55,36377.18445731508,15967.824560349192,0.7820808999822475
3,C,14,14,1,9403.988,5607.370546077941,393,327,66,300,52,14,14,13,0,30,56,35059.93845373403,16853.08572334433,0.528255299985176
4,B,12,12,1,8243.276,6452.325128897371,404,388,16,364,7,9,12,9,0,30,25,28841.380673421718,8289.755028934858,0.33912819999386556
4,C,12,12,1,9358.157,6257.310839534488,491,435,56,413,42,14,12,11,0,30,33,31805.783030643397,13589.228832970954,0.3763533000019379
5,B,13,13,1,7829.194,6110.876956208587,323,313,10,287,3,7,13,8,0,32,18,29155.971165629,8111.586384586056,0.22953040001448244
5,C,13,13,1,9208.385,6228.242984163503,488,419,69,395,60,9,13,10,0,32,44,31161.924519749857,12660.70959893235,0.48325660001137294
6,B,13,13,1,8466.638,6254.98108235801,379,352,27,326,12,15,13,10,0,30,37,30738.187956293285,10093.282544503245,0.3315803000004962
6,C,13,13,1,8360.559,5662.5264323263955,393,339,54,314,41,13,13,13,0,29,44,29797.79579486309,11650.163633231125,0.6238720000255853
7,B,16,16,1,8077.055,5681.046719010199,358,337,21,306,12,9,16,13,0,27,33,29315.27373622453,11090.040141173522,0.38611190000665374
