case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,wall_time_s
1,C,16,16,16,10970.626,792,16,1,29,5830.386357050779,6152.625878906771,3115.38635705078,3037.23952185599,3960.0,778.0,80.0,0,,,0.45822359999874607
1,CAz3,16,16,16,10900.663,786,16,1,29,5859.076028015717,6115.662758034675,3115.0760280157174,3000.586730018959,3930.0,775.0,80.0,0,,,0.39494769999873824
1,CAz4,16,16,16,10603.795,786,16,1,29,5865.076028015717,5817.795373051604,3115.0760280157174,2702.7193450358877,3930.0,776.0,80.0,0,,,0.444255600014003
2,C,16,16,16,10572.752,661,16,1,29,6683.198720577453,6527.751816947706,3649.198720577451,2878.5530963702577,3305.0,660.0,80.0,0,,,0.4359611000108998
2,CAz3,16,16,16,9805.064,672,16,1,29,6856.674833173599,5696.0641125400725,3658.674833173596,2037.389279366478,3360.0,669.0,80.0,0,,,0.24360780001734383
2,CAz4,16,16,16,9811.239,673,16,1,29,6856.674833173599,5696.238640141857,3658.674833173596,2037.5638069682614,3365.0,670.0,80.0,0,,,0.24046519998228177
3,C,16,16,16,12819.933,817,16,1,29,6580.236739197959,7843.93324881018,3649.236739197958,4194.6965096122285,4085.0,811.0,80.0,0,,,0.4127993999863975
3,CAz3,16,16,16,12369.192,861,16,1,29,6753.764926084958,7128.191613777111,3649.7649260849557,3478.4266876921592,4305.0,856.0,80.0,0,,,0.3594857999996748
3,CAz4,16,16,16,12483.192,880,16,1,29,6867.764926084958,7128.191613777111,3649.7649260849557,3478.4266876921592,4400.0,875.0,80.0,0,,,0.3482145000016317
4,C,16,16,16,10609.137,601,16,1,29,6557.253332784398,6941.1369993826265,3661.2533327843953,3279.883666598233,3005.0,583.0,80.0,0,,,0.5574192999920342
4,CAz3,16,16,16,11820.489,899,16,1,29,6880.478406671157,6360.489126859938,3643.478406671157,2717.0107201887836,4495.0,885.0,80.0,0,,,0.47159699999610893
4,CAz4,16,16,16,11615.122,878,16,1,29,6906.1005736849165,6279.121661323752,3647.1005736849156,2632.0210876388396,4390.0,866.0,80.0,0,,,0.3825160999840591
5,C,16,16,16,14644.839,1008,16,1,29,6658.592311877564,8522.839120623481,3630.5923118775618,4892.246808745925,5040.0,1002.0,80.0,0,,,0.6712980000011157
5,CAz3,16,16,16,13329.668,948,16,1,29,6792.143983971737,7583.668032919342,3634.1439839717364,3949.524048947608,4740.0,926.0,80.0,0,,,0.5982820999925025
5,CAz4,16,16,16,13988.668,1055,16,1,29,6906.143983971737,7583.668032919342,3634.1439839717364,3949.524048947608,5275.0,1050.0,80.0,0,,,0.6063174000009894
6,C,16,16,16,12266.238,715,16,1,29,6762.7957304284455,7912.23760051723,3711.795730428444,4200.441870088788,3575.0,699.0,80.0,0,,,0.6198378999833949
6,CAz3,16,16,16,13035.412,922,16,1,29,6965.344333020018,7427.411676543775,3731.3443330200184,3696.067343523755,4610.0,918.0,80.0,0,,,0.5114278999972157
6,CAz4,16,16,16,12120.065,852,16,1,29,7011.934186428755,6932.065263465544,3736.934186428756,3195.131077036786,4260.0,848.0,80.0,0,,,0.4111986000207253
7,C,16,16,16,11616.644,642,16,1,29,6225.976304021386,7693.644024631292,3468.976304021385,4224.667720609907,3210.0,633.0,80.0,0,,,0.20996770000783727
7,CAz3,16,16,16,12313.982,809,16,1,29,6534.024955317293,7391.9815434153425,3490.024955317291,3901.9565880980513,4045.0,797.0,80.0,0,,,0.24194149998947978
7,CAz4,16,16,16,12650.505,865,16,1,29,6624.024955317292,7391.504658377437,3490.024955317291,3901.4797030601467,4325.0,854.0,80.0,0,,,0.20383410001522861
8,C,16,16,16,8639.434,474,16,1,29,5981.384852368643,5728.434335342029,3463.384852368642,2265.0494829733902,2370.0,461.0,80.0,0,,,0.5451665000000503
8,CAz3,16,16,16,9909.897,737,16,1,29,6693.367022245651,5411.896956453999,3542.367022245651,1869.5299342083492,3685.0,733.0,80.0,0,,,0.35601600000518374
8,CAz4,16,16,16,9945.57,743,16,1,29,6693.367022245651,5411.570482046932,3542.367022245651,1869.2034598012817,3715.0,739.0,80.0,0,,,0.45799940000870265
9,C,16,16,16,14776.044,1021,16,1,29,6679.74305386191,8590.044168044542,3611.7430538619083,4978.30111418264,5105.0,1001.0,80.0,0,,,0.734049100021366
9,CAz3,16,16,16,15102.196,1060,16,1,29,6713.321007151925,8674.19599920552,3616.3210071519243,5057.8749920536,5300.0,1048.0,80.0,0,,,0.732511300011538
9,CAz4,16,16,16,15211.039,1078,16,1,29,6821.412142033506,8675.038843482498,3616.412142033505,5058.626701448998,5390.0,1066.0,80.0,0,,,0.748384900012752
10,C,16,16,16,10869.512,702,16,1,29,6583.949418257003,6591.5119178086,3537.9494182570015,3053.5624995516005,3510.0,688.0,80.0,0,,,0.6756538000190631
10,CAz3,16,16,16,11842.642,878,16,1,29,6816.512806501586,6502.641513701075,3539.512806501584,2963.1287071994943,4390.0,870.0,80.0,0,,,0.5928942000027746
