case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,wall_time_s
1,C,16,16,16,9455.937,521,16,1,29,5688.008325599565,6265.936516294267,3321.0083255995646,2944.9281906947026,2605.0,505.0,80.0,0,,,0.6256934000120964
1,CAz3,16,16,16,10645.743,727,16,1,29,5955.6435870514715,6218.743172960985,3295.643587051471,2923.099585909511,3635.0,712.0,80.0,0,,,0.5805767999845557
1,CAz4,16,16,16,9991.963,713,16,1,29,6147.643587051471,5637.962728066373,3295.643587051471,2342.3191410149,3565.0,709.0,80.0,0,,,0.27157890002126805
2,C,16,16,16,9282.275,472,16,1,29,5970.06309749389,6391.275164014083,3520.0630974938886,2871.2120665201946,2360.0,451.0,80.0,0,,,0.47359519999008626
2,CAz3,16,16,16,9047.347,548,16,1,29,6514.402206012179,5691.347453764372,3571.4022060121774,2119.945247752196,2740.0,536.0,80.0,0,,,0.17914260001271032
2,CAz4,16,16,16,9439.653,594,16,1,29,6695.94342536182,5807.652706839754,3681.9434253618188,2125.709281477937,2970.0,582.0,80.0,0,,,0.18762270000297576
3,C,16,16,16,9596.194,523,16,1,29,6380.493568684544,6402.193978875353,3659.493568684543,2742.7004101908124,2615.0,499.0,80.0,0,,,0.4958803000045009
3,CAz3,16,16,16,9358.593,564,16,1,29,6661.921589645369,5900.592797711582,3719.921589645367,2180.6712080662146,2820.0,558.0,80.0,0,,,0.21919400000479072
3,CAz4,16,16,16,9538.408,594,16,1,29,6709.921589645369,5900.4077214949575,3719.921589645367,2180.48613184959,2970.0,588.0,80.0,0,,,0.22268410000833683
4,C,16,16,16,10889.977,650,16,1,29,6245.392053572722,6923.976919200563,3404.3920535727216,3519.5848656278386,3250.0,636.0,80.0,0,,,0.581851099996129
4,CAz3,16,16,16,10623.591,660,16,1,29,6428.691878829511,6598.591113554048,3439.691878829511,3158.8992347245344,3300.0,645.0,80.0,0,,,0.4159829000127502
4,CAz4,16,16,16,11816.545,857,16,1,29,6626.691878829511,6597.544565009581,3439.691878829511,3157.852686180065,4285.0,854.0,80.0,0,,,0.3066238999890629
5,C,16,16,16,9550.506,536,16,1,29,6477.103251255934,6268.505508165085,3679.103251255935,2589.4022569091526,2680.0,522.0,80.0,0,,,0.31261570000788197
5,CAz3,16,16,16,10219.524,653,16,1,29,6744.5893705316985,6227.523990512959,3734.5893705316985,2492.9346199812658,3265.0,647.0,80.0,0,,,0.3703914000070654
5,CAz4,16,16,16,10363.595,677,16,1,29,6816.5893705316985,6227.594760275392,3734.5893705316985,2493.0053897437006,3385.0,671.0,80.0,0,,,0.38150809999206103
6,C,16,16,16,8141.259,484,16,1,29,5902.707633544463,5162.25926869765,3284.707633544463,1877.5516351531874,2420.0,479.0,80.0,0,,,0.25122059998102486
6,CAz3,16,16,16,8119.172,482,16,1,29,6039.257356993828,5158.17153837422,3323.2573569938286,1834.9141813803922,2410.0,471.0,80.0,0,,,0.09406520001357421
6,CAz4,16,16,16,8348.47,520,16,1,29,6129.257356993828,5158.469623707207,3323.2573569938286,1835.2122667133776,2600.0,510.0,80.0,0,,,0.0669064000248909
7,C,16,16,16,8776.863,451,16,1,29,6266.243638907836,6005.862909997417,3686.243638907833,2319.6192710895843,2255.0,436.0,80.0,0,,,0.40700989999459125
7,CAz3,16,16,16,8918.172,544,16,1,29,6697.9803409424985,5580.172001949574,3724.9803409424985,1855.1916610070778,2720.0,538.0,80.0,0,,,0.2095846000011079
7,CAz4,16,16,16,8968.456,557,16,1,29,6727.9803409424985,5551.456239982248,3724.9803409424985,1826.4758990397509,2785.0,552.0,80.0,0,,,0.17686519998824224
8,C,16,16,16,8828.35,450,16,1,29,6074.753280417986,6065.3502799037315,3635.7532804179846,2429.596999485745,2250.0,433.0,80.0,0,,,0.48326529999030754
8,CAz3,16,16,16,9737.383,581,16,1,29,6575.085454746039,6179.382566838363,3671.0854547460367,2508.2971120923253,2905.0,573.0,80.0,0,,,0.20904149999842048
8,CAz4,16,16,16,10267.036,669,16,1,29,6803.0854547460385,6179.036285077732,3671.0854547460367,2507.9508303316934,3345.0,663.0,80.0,0,,,0.21474749999470077
9,C,16,16,16,7641.126,375,16,1,29,4640.864818578396,5331.125725587229,2639.8648185783954,2691.2609070088365,1875.0,355.0,80.0,0,,,0.5065792000095826
9,CAz3,16,16,16,7967.878,467,16,1,29,4888.006351231023,5094.8778196354215,2663.0063512310207,2431.871468404403,2335.0,458.0,80.0,0,,,0.3365940999938175
9,CAz4,16,16,16,8198.043,505,16,1,29,4936.006351231023,5097.043380669637,2663.0063512310207,2434.037029438619,2525.0,496.0,80.0,0,,,0.4243502999888733
10,C,16,16,16,8704.465,467,16,1,29,5197.269514064544,5840.465363925468,2993.2695140645433,2847.19584986093,2335.0,449.0,80.0,0,,,0.639800600009039
10,CAz3,16,16,16,7952.995,493,16,1,29,5457.501378803047,4918.995204891763,3027.501378803048,1891.4938260887157,2465.0,489.0,80.0,0,,,0.29634810000425205
10,CAz4,16,16,16,8306.737,552,16,1,29,5583.501378803047,4918.737145909069,3027.501378803048,1891.2357671060217,2760.0,548.0,80.0,0,,,0.32543289999011904
11,C,16,16,16,7345.755,396,16,1,29,4894.538656028919,4906.7546191366055,2790.538656028919,2116.215963107687,1980.0,379.0,80.0,0,,,0.4837507999909576
11,CAz3,16,16,16,7919.948,513,16,1,29,5264.797825721617,4769.947811985396,2827.797825721615,1942.1499862637804,2565.0,505.0,80.0,0,,,0.234886300022481
