case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,wall_time_s
1,C,15,15,15,8783.744,316,15,1,29,5344.5264323263955,6832.743985978199,3629.5264323263946,3203.2175536518057,1580.0,296.0,75.0,0,,,0.42438680000486784
1,CAz3,15,15,15,8782.848,446,15,1,29,6223.132344940605,6045.848427473244,3695.132344940604,2350.7160825326428,2230.0,432.0,75.0,0,,,0.30467320000752807
1,CAz4,15,15,15,9087.795,524,15,1,29,6444.813688794273,5875.795309344273,3645.8136887942724,2229.981620550002,2620.0,517.0,75.0,0,,,0.1857148999988567
2,C,10,10,10,8899.894,456,10,1,29,6219.96345213146,6128.893950987864,3653.9634521314583,2474.930498856405,2280.0,441.0,50.0,0,,,0.14464260000386275
2,CAz3,10,10,10,8426.143,507,10,1,29,6652.189191231953,5346.14299704869,3734.189191231952,1611.9538058167373,2535.0,495.0,50.0,0,,,0.10715670001809485
2,CAz4,10,10,10,8524.725,520,10,1,29,6692.991313602612,5363.724891492058,3732.991313602611,1630.7335778894471,2600.0,511.0,50.0,0,,,0.14405940001597628
3,C,15,15,15,7994.553,321,15,1,29,5481.7703567213175,6000.552885847467,3653.7703567213175,2346.7825291261497,1605.0,314.0,75.0,0,,,0.2984227999986615
3,CAz3,15,15,15,8123.132,422,15,1,29,6077.003212767671,5528.131565313054,3681.0032127676704,1847.128352545384,2110.0,410.0,75.0,0,,,0.14922049999586307
3,CAz4,15,15,15,8425.56,483,15,1,29,6311.003212767671,5455.560122081844,3681.0032127676704,1774.556909314174,2415.0,480.0,75.0,0,,,0.04729849999421276
4,C,11,11,11,8167.033,405,11,1,29,5956.5264323263955,5691.0333005952625,3629.5264323263946,2061.5068682688693,2025.0,396.0,55.0,0,,,0.2960873999982141
4,CAz3,11,11,11,7656.028,449,11,1,29,6398.662204589179,4910.028125761007,3714.662204589177,1195.3659211718298,2245.0,446.0,55.0,0,,,0.024590900022303686
4,CAz4,11,11,11,8161.736,535,11,1,29,6830.662204589178,4898.736446878614,3714.662204589177,1184.0742422894364,2675.0,533.0,55.0,0,,,0.015282999986084178
5,C,12,12,12,8221.719,397,12,1,29,5990.373909857336,5790.7188627188825,3702.3739098573355,2088.34495286155,1985.0,386.0,60.0,0,,,0.399560299993027
5,CAz3,12,12,12,7941.708,438,12,1,29,6365.047422407792,5259.7082075490025,3755.0474224077902,1504.6607851412127,2190.0,432.0,60.0,0,,,0.08289719998720102
5,CAz4,12,12,12,8017.61,450,12,1,29,6425.047422407792,5260.610123525952,3755.0474224077902,1505.562701118163,2250.0,447.0,60.0,0,,,0.08186440001009032
6,C,12,12,12,7933.715,371,12,1,29,5811.829407671275,5656.715226807665,3665.8294076712746,1990.8858191363915,1855.0,362.0,60.0,0,,,0.3092866000079084
6,CAz3,12,12,12,7907.393,441,12,1,29,6331.959473977271,5212.393020179616,3726.959473977271,1485.433546202345,2205.0,430.0,60.0,0,,,0.10157989998697303
6,CAz4,12,12,12,8137.725,479,12,1,29,6541.959473977271,5212.725243674317,3726.959473977271,1485.7657696970484,2395.0,470.0,60.0,0,,,0.10253380000358447
7,C,10,10,10,8453.881,435,10,1,29,6058.5264323263955,5812.88124925609,3629.5264323263946,2183.3548169296946,2175.0,416.0,50.0,0,,,0.19039269999484532
7,CAz3,10,10,10,8847.687,515,10,1,29,6509.550580962049,5718.686633042221,3631.550580962047,2087.136052080173,2575.0,504.0,50.0,0,,,0.08247389999451116
