case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,wall_time_s
1,C,13,13,13,8716.381,348,13,1,29,5578.5264323263955,6576.380744365638,3629.5264323263946,2946.854312039243,1740.0,335.0,65.0,0,,,0.40006260000518523
1,CAz3,13,13,13,8645.826,468,13,1,29,6205.082306210516,5776.826116278113,3659.082306210514,2117.7438100675963,2340.0,464.0,65.0,0,,,0.19427499998710118
1,CAz4,13,13,13,8435.746,505,13,1,29,6469.082306210516,5341.746142203945,3659.082306210514,1682.6638359934304,2525.0,504.0,65.0,0,,,0.13721519999671727
2,C,10,10,10,9137.471,454,10,1,29,6094.526432326396,6399.471090026848,3629.5264323263946,2769.94465770046,2270.0,418.0,50.0,0,,,0.45505610000691377
2,CAz3,10,10,10,8598.282,475,10,1,29,6410.376865570461,5704.282027792187,3696.3768655704584,2007.9051622217312,2375.0,469.0,50.0,0,,,0.17981880001025274
2,CAz4,10,10,10,8593.215,520,10,1,29,6593.328239943876,5427.214734829562,3706.328239943875,1720.8864948856906,2600.0,516.0,50.0,0,,,0.12582519999705255
3,C,14,14,14,9403.988,393,14,1,29,5607.370546077941,7011.987690746806,3641.37054607794,3370.617144668867,1965.0,357.0,70.0,0,,,0.3986819999990985
3,CAz3,14,14,14,9244.497,456,14,1,29,5981.09437667367,6467.4974908179865,3675.094376673669,2792.403114144318,2280.0,427.0,70.0,0,,,0.42930380001780577
3,CAz4,14,14,14,9524.325,536,14,1,29,6265.250695781033,6241.325435014575,3746.2506957810315,2495.074739233543,2680.0,533.0,70.0,0,,,0.3102198999840766
4,C,12,12,12,9358.157,491,12,1,29,6257.310839534488,6361.156606128675,3643.3108395344866,2717.8457665941905,2455.0,482.0,60.0,0,,,0.3355567999824416
4,CAz3,12,12,12,8735.628,504,12,1,29,6415.389296939637,5665.627745268628,3665.3892969396366,2000.2384483289918,2520.0,490.0,60.0,0,,,0.2788936000142712
4,CAz4,12,12,12,8909.501,537,12,1,29,6643.389296939637,5641.50147168321,3665.3892969396366,1976.112174743574,2685.0,523.0,60.0,0,,,0.25615010000183247
5,C,13,13,13,9208.385,488,13,1,29,6228.242984163503,6232.384903949971,3700.242984163502,2532.14191978647,2440.0,471.0,65.0,0,,,0.3494850999850314
5,CAz3,13,13,13,9151.182,518,13,1,29,6477.07684469064,5993.1821653301295,3705.0768446906386,2288.1053206394927,2590.0,503.0,65.0,0,,,0.254412800015416
5,CAz4,13,13,13,8776.66,533,13,1,29,6656.033021542195,5516.659658100045,3724.0330215421927,1792.6266365578545,2665.0,530.0,65.0,0,,,0.11877950001507998
6,C,13,13,13,8360.559,393,13,1,29,5662.5264323263955,5959.559158972617,3629.5264323263946,2330.0327266462264,1965.0,371.0,65.0,0,,,0.5283275000110734
6,CAz3,13,13,13,8531.059,431,13,1,29,6019.741766355049,5898.059261090051,3690.741766355048,2207.3174947350035,2155.0,413.0,65.0,0,,,0.38345140000456013
6,CAz4,13,13,13,8034.427,442,13,1,29,6361.017546978484,5320.4266877327045,3733.017546978483,1587.4091407542223,2210.0,439.0,65.0,0,,,0.041309499996714294
7,C,16,16,16,7437.563,340,16,1,29,5417.558058479395,5325.562571383711,3464.558058479396,1861.0045129043133,1700.0,332.0,80.0,0,,,0.23893550000502728
7,CAz3,16,16,16,8032.925,439,16,1,29,5969.399399020294,5326.925249845991,3464.399399020293,1862.525850825697,2195.0,431.0,80.0,0,,,0.22525310001219623
7,CAz4,16,16,16,9965.353,604,16,1,29,6535.876777049879,6268.35307562117,3618.876777049879,2649.476298571291,3020.0,597.0,80.0,0,,,0.27579070001957007
8,C,12,12,12,8092.581,456,12,1,29,6232.526432326396,5302.581285812125,3629.5264323263946,1673.0548534857326,2280.0,450.0,60.0,0,,,0.2829358000017237
8,CAz3,12,12,12,8494.063,521,12,1,29,6615.488261608458,5312.062929404072,3667.488261608455,1644.5746677956167,2605.0,517.0,60.0,0,,,0.21881410002242774
8,CAz4,12,12,12,8578.937,527,12,1,29,6651.739522923321,5362.937065019674,3667.739522923319,1695.1975420963568,2635.0,521.0,60.0,0,,,0.21236700000008568
9,C,14,14,14,8690.406,433,14,1,29,5972.322117178395,6041.406285760231,3652.3221171783944,2389.0841685818386,2165.0,414.0,70.0,0,,,0.33552699998836033
9,CAz3,14,14,14,8628.737,447,14,1,29,6155.541674520008,5893.736710265855,3664.5416745200077,2229.1950357458463,2235.0,430.0,70.0,0,,,0.22402759999386035
9,CAz4,14,14,14,8634.32,472,14,1,29,6361.302530827281,5755.31994047507,3716.3025308272804,2039.0174096477892,2360.0,449.0,70.0,0,,,0.16600430000107735
10,C,12,12,12,9353.525,486,12,1,29,6165.628643108586,6396.524903539723,3629.6286431085846,2766.8962604311428,2430.0,467.0,60.0,0,,,0.4890838999999687
10,CAz3,12,12,12,8624.189,486,12,1,29,6434.359124511235,5652.189426615997,3717.3591245112334,1934.8303021047639,2430.0,482.0,60.0,0,,,0.10885980000603013
10,CAz4,12,12,12,8757.381,508,12,1,29,6549.551027887752,5653.381329992514,3718.5510278877505,1934.8303021047639,2540.0,504.0,60.0,0,,,0.11766200000420213
11,C,14,14,14,8310.178,388,14,1,29,5909.436044628935,5918.17773497951,3656.436044628932,2261.7416903505778,1940.0,382.0,70.0,0,,,0.3813110000046436
11,CAz3,14,14,14,8642.8,450,14,1,29,6171.983833745797,5878.799884250897,3681.983833745795,2196.816050505104,2250.0,444.0,70.0,0,,,0.33973139998852275
11,CAz4,14,14,14,8452.112,444,14,1,29,6258.40891658446,5724.112006087857,3684.408916584459,2039.7030895033975,2220.0,438.0,70.0,0,,,0.09193330002017319
12,C,14,14,14,9314.339,467,14,1,29,6040.369700029722,6450.339008264105,3636.369700029719,2813.9693082343847,2335.0,459.0,70.0,0,,,0.42358259999309666
12,CAz3,14,14,14,9424.893,543,14,1,29,6464.047633113022,6125.893157074703,3698.047633113019,2427.8455239616874,2715.0,514.0,70.0,0,,,0.7602638999815099
12,CAz4,14,14,14,9145.332,556,14,1,29,6748.201853966697,5760.331948538525,3743.201853966696,2017.1300945718287,2780.0,535.0,70.0,0,,,0.4043113999941852
13,C,15,15,15,9270.024,466,15,1,29,5962.5264323263955,6416.023707663258,3629.5264323263946,2786.4972753368647,2330.0,449.0,75.0,0,,,0.4744399999908637
13,CAz3,15,15,15,9183.082,523,15,1,29,6365.714552885128,5982.082010652537,3725.7145528851274,2256.367457767412,2615.0,511.0,75.0,0,,,0.22654480001074262
13,CAz4,15,15,15,9206.467,530,15,1,29,6481.059412228831,5960.466861702582,3727.0594122288303,2233.407449473753,2650.0,521.0,75.0,0,,,0.22665470000356436
14,C,15,15,15,10594.571,565,15,1,29,6022.526432326396,7140.570665254575,3629.5264323263946,3511.044232928183,2825.0,554.0,75.0,0,,,0.7838201000122353
14,CAz3,15,15,15,9641.915,533,15,1,29,6419.218606017055,6391.915414626702,3746.2186060170548,2645.6968086096504,2665.0,510.0,75.0,0,,,0.3004748000239488
14,CAz4,15,15,15,9929.796,581,15,1,29,6600.003880147227,6392.796144359915,3747.0038801472265,2645.792264212692,2905.0,557.0,75.0,0,,,0.3095925000088755
15,C,13,13,13,9793.916,475,13,1,29,6070.526432326396,6914.915591040287,3629.5264323263946,3285.3891587138914,2375.0,439.0,65.0,0,,,0.3668541999941226
15,CAz3,13,13,13,8340.278,461,13,1,29,6210.680717718329,5541.277592096144,3667.6807177183273,1873.5968743778178,2305.0,429.0,65.0,0,,,0.1785031000035815
15,CAz4,13,13,13,8648.162,514,13,1,29,6564.680717718328,5529.161705208792,3667.6807177183273,1861.4809874904658,2570.0,484.0,65.0,0,,,0.15851380000822246
16,C,12,12,12,8313.546,448,12,1,29,6183.045187258224,5575.545847280039,3635.0451872582225,1940.5006600218173,2240.0,438.0,60.0,0,,,0.23745999997481704
16,CAz3,12,12,12,9379.761,562,12,1,29,6653.771170386354,5953.761452767385,3664.7711703863547,2288.990282381031,2810.0,556.0,60.0,0,,,0.2789228999754414
16,CAz4,12,12,12,9526.197,596,12,1,29,6788.900236234053,5894.197155113393,3711.900236234054,2182.2969188793404,2980.0,592.0,60.0,0,,,0.12122490000911057
17,C,15,15,15,9248.381,424,15,1,29,5924.024824225964,6643.380584591856,3634.0248242259636,3009.3557603658915,2120.0,410.0,75.0,0,,,0.34174269999493845
17,CAz3,15,15,15,9164.802,550,15,1,29,6592.34232797723,5793.801649474104,3724.3423279772287,2069.459321496876,2750.0,546.0,75.0,0,,,0.18688490000204183
17,CAz4,15,15,15,9261.152,570,15,1,29,6690.748012532269,5770.152333276,3764.7480125322677,2005.4043207437326,2850.0,566.0,75.0,0,,,0.10415219998685643
18,C,12,12,12,8695.036,404,12,1,29,5890.5264323263955,6227.035637896739,3629.5264323263946,2597.5092055703462,2020.0,388.0,60.0,0,,,0.419598100008443
18,CAz3,12,12,12,8236.67,464,12,1,29,6296.743033344567,5399.669625241187,3679.7430333445673,1719.9265918966187,2320.0,457.0,60.0,0,,,0.2115854000148829
18,CAz4,12,12,12,8390.189,488,12,1,29,6525.401399032411,5409.188882665407,3711.401399032412,1697.787483632995,2440.0,481.0,60.0,0,,,0.11176329999580048
19,C,13,13,13,9848.03,510,13,1,29,6099.557993246914,6744.029931789984,3629.5579932469127,3114.471938543072,2550.0,489.0,65.0,0,,,0.3924559000006411
19,CAz3,13,13,13,8703.68,505,13,1,29,6443.818224791734,5621.680047044042,3724.818224791733,1896.8618222523094,2525.0,492.0,65.0,0,,,0.2405661000229884
19,CAz4,13,13,13,8884.044,535,13,1,29,6502.619426972098,5620.044494839846,3723.6194269720977,1896.425067867749,2675.0,524.0,65.0,0,,,0.19782480000867508
20,C,13,13,13,9009.107,435,13,1,29,5944.5264323263955,6359.106978371859,3629.5264323263946,2729.5805460454626,2175.0,410.0,65.0,0,,,0.3355386000184808
20,CAz3,13,13,13,8694.19,471,13,1,29,6338.9888181173055,5824.189609331406,3666.9888181173037,2157.2007912141025,2355.0,450.0,65.0,0,,,0.1323837999952957
20,CAz4,13,13,13,8657.503,492,13,1,29,6509.303688521958,5656.503082740811,3682.3036885219585,1974.1993942188535,2460.0,476.0,65.0,0,,,0.10317280000890605
21,C,12,12,12,8158.148,405,12,1,29,5919.957648659456,5684.148392485206,3629.957648659454,2054.190743825752,2025.0,389.0,60.0,0,,,0.42035719999694265
21,CAz3,12,12,12,7991.369,483,12,1,29,6410.36531291579,5043.369488009584,3630.3653129157874,1413.0041750937978,2415.0,473.0,60.0,0,,,0.13030780002009124
21,CAz4,12,12,12,8051.201,494,12,1,29,6476.458954031953,5037.200514492137,3630.458954031951,1406.7415604601877,2470.0,484.0,60.0,0,,,0.12055250001139939
22,C,13,13,13,8334.55,383,13,1,29,5818.918826267438,5989.550314516108,3673.9188262674365,2315.631488248672,1915.0,365.0,65.0,0,,,0.33175199999823235
22,CAz3,13,13,13,7771.71,411,13,1,29,6144.824303869994,5244.709995694276,3707.8243038699925,1536.8856918242827,2055.0,407.0,65.0,0,,,0.10203880001790822
22,CAz4,13,13,13,8087.113,466,13,1,29,6438.824303869994,5232.113187238512,3707.8243038699925,1524.2888833685195,2330.0,460.0,65.0,0,,,0.08883500000229105
23,C,12,12,12,8619.532,448,12,1,29,6094.526432326396,5889.532101091498,3629.5264323263946,2260.0056687651045,2240.0,430.0,60.0,0,,,0.33607499999925494
23,CAz3,12,12,12,8847.963,530,12,1,29,6514.379937075146,5611.963138598666,3651.379937075145,1960.5832015235221,2650.0,526.0,60.0,0,,,0.14333550000446849
23,CAz4,12,12,12,8901.271,539,12,1,29,6574.379937075146,5610.270802711411,3651.379937075145,1958.8908656362682,2695.0,536.0,60.0,0,,,0.11487759998999536
24,C,11,11,11,8840.544,437,11,1,29,6133.599721433224,6177.5439299893205,3633.599721433222,2543.9442085560977,2185.0,423.0,55.0,0,,,0.33985399999073707
24,CAz3,11,11,11,8569.297,479,11,1,29,6361.983203815447,5649.297457727446,3672.9832038154464,1976.3142539119997,2395.0,470.0,55.0,0,,,0.2104119000141509
24,CAz4,11,11,11,8970.647,546,11,1,29,6547.983203815447,5644.646537794606,3672.9832038154464,1971.6633339791601,2730.0,541.0,55.0,0,,,0.15588750000461005
25,C,12,12,12,8544.784,375,12,1,29,5785.212792253274,6247.784282538061,3652.212792253273,2595.5714902847867,1875.0,362.0,60.0,0,,,0.2891746000095736
25,CAz3,12,12,12,8486.612,461,12,1,29,6170.839762062622,5667.612050652377,3660.8397620626206,2006.7722885897551,2305.0,454.0,60.0,0,,,0.2333498999942094
25,CAz4,12,12,12,8572.083,473,12,1,29,6275.298846547634,5677.083450095001,3694.298846547632,1982.784603547369,2365.0,470.0,60.0,0,,,0.1602192999853287
26,C,10,10,10,9252.303,496,10,1,29,6328.180525291938,6242.303348450473,3679.1805252919376,2563.1228231585364,2480.0,480.0,50.0,0,,,0.27005379999172874
