case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,wall_time_s
1,C,14,14,14,7337.083,276,14,1,29,5164.5264323263955,5622.083234774975,3629.5264323263946,1992.556802448581,1380.0,265.0,70.0,0,,,0.37847450000117533
1,CAz3,14,14,14,7781.547,345,14,1,29,5609.224046854911,5652.546767664868,3631.22404685491,2021.322720809958,1725.0,334.0,70.0,0,,,0.41432340000756085
1,CAz4,14,14,14,7432.012,388,14,1,29,5995.806910120997,5039.01182739209,3684.806910120996,1354.2049172710947,1940.0,383.0,70.0,0,,,0.07412579999072477
2,C,11,11,11,7472.689,375,11,1,29,5806.180581584338,5173.688898731702,3630.1805815843372,1543.508317147365,1875.0,369.0,55.0,0,,,0.28039920001174323
2,CAz3,11,11,11,7633.272,426,11,1,29,6134.236745332904,5036.272426673676,3655.236745332904,1381.0356813407745,2130.0,412.0,55.0,0,,,0.25040059999446385
2,CAz4,11,11,11,7779.195,465,11,1,29,6368.364371507967,4949.194999880024,3655.364371507966,1293.8306283720583,2325.0,450.0,55.0,0,,,0.13681730002281256
3,C,16,16,16,5345.125,183,16,1,29,1420.1779453846982,4185.124911483899,839.1779453846982,3345.9469660992,915.0,165.0,80.0,0,,,0.6183970000129193
3,CAz3,16,16,16,6366.966,289,16,1,29,1526.3240373590138,4571.966180159039,874.324037359014,3697.642142800025,1445.0,270.0,80.0,0,,,0.6306603999983054
3,CAz4,16,16,16,6488.057,339,16,1,29,1556.3240373590138,4395.057291006124,874.324037359014,3520.733253647112,1695.0,318.0,80.0,0,,,0.6280519000138156
4,C,11,11,11,8524.691,367,11,1,29,5698.5264323263955,6280.690668184118,3629.5264323263946,2651.1642358577265,1835.0,354.0,55.0,0,,,0.28808420000132173
4,CAz3,11,11,11,7769.368,387,11,1,29,5937.56987000644,5393.36823345903,3629.5698700064395,1763.7983634525897,1935.0,386.0,55.0,0,,,0.09886899997945875
