case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,wall_time_s
1,Cplus,16,16,16,9583.816,466,16,1,27,6019.924696482856,6723.815849516734,3965.9246964828585,2757.8911530338787,2330.0,450.0,80.0,0,0,B,0.5025699000107124
1,Cplus3A,16,16,16,9583.816,466,16,1,27,6019.924696482856,6723.815849516734,3965.9246964828585,2757.8911530338787,2330.0,450.0,80.0,0,0,B,0.5668563999934122
1,B,16,16,16,9583.816,466,16,1,27,6019.924696482856,6723.815849516734,3965.9246964828585,2757.8911530338787,2330.0,450.0,80.0,0,,,0.5652800000098068
1,C,16,16,16,10970.626,792,16,1,29,5830.386357050779,6152.625878906771,3115.38635705078,3037.23952185599,3960.0,778.0,80.0,0,,,0.5019829999946523
2,Cplus,16,16,16,6859.127,340,16,1,27,5074.4590416833635,4745.127192059993,3175.4590416833644,1569.6681503766285,1700.0,334.0,80.0,0,0,B,0.1833749999932479
2,Cplus3A,16,16,16,6859.127,340,16,1,27,5074.4590416833635,4745.127192059993,3175.4590416833644,1569.6681503766285,1700.0,334.0,80.0,0,0,B,0.19084910000674427
2,B,16,16,16,6859.127,340,16,1,27,5074.4590416833635,4745.127192059993,3175.4590416833644,1569.6681503766285,1700.0,334.0,80.0,0,,,0.19508410000707954
2,C,16,16,16,10572.752,661,16,1,29,6683.198720577453,6527.751816947706,3649.198720577451,2878.5530963702577,3305.0,660.0,80.0,0,,,0.44876790000125766
3,Cplus,16,16,16,8286.585,413,16,1,27,5660.284262756137,5733.584536321147,3506.2842627561395,2227.3002735650075,2065.0,408.0,80.0,0,0,B,0.22904969999217428
3,Cplus3A,16,16,16,8286.585,413,16,1,27,5660.284262756137,5733.584536321147,3506.2842627561395,2227.3002735650075,2065.0,408.0,80.0,0,0,B,0.27064469998003915
3,B,16,16,16,8286.585,413,16,1,27,5660.284262756137,5733.584536321147,3506.2842627561395,2227.3002735650075,2065.0,408.0,80.0,0,,,0.2533265999809373
3,C,16,16,16,12819.933,817,16,1,29,6580.236739197959,7843.93324881018,3649.236739197958,4194.6965096122285,4085.0,811.0,80.0,0,,,0.4675173999858089
4,Cplus,16,16,16,8436.652,393,16,1,27,6008.269466441594,6009.65192170493,3779.269466441596,2230.3824552633323,1965.0,382.0,80.0,0,0,B,0.3525441999954637
4,Cplus3A,16,16,16,8436.652,393,16,1,27,6008.269466441594,6009.65192170493,3779.269466441596,2230.3824552633323,1965.0,382.0,80.0,0,0,B,0.3143836000235751
4,B,16,16,16,8436.652,393,16,1,27,6008.269466441594,6009.65192170493,3779.269466441596,2230.3824552633323,1965.0,382.0,80.0,0,,,0.35620330000529066
4,C,16,16,16,10609.137,601,16,1,29,6557.253332784398,6941.1369993826265,3661.2533327843953,3279.883666598233,3005.0,583.0,80.0,0,,,0.523253300023498
5,Cplus,16,16,16,9016.891,395,16,1,27,5928.391996997609,6579.891284976088,3753.3919969976096,2826.4992879784777,1975.0,382.0,80.0,0,0,B,0.40053049998823553
5,Cplus3A,16,16,16,9016.891,395,16,1,27,5928.391996997609,6579.891284976088,3753.3919969976096,2826.4992879784777,1975.0,382.0,80.0,0,0,B,0.44277140000485815
5,B,16,16,16,9016.891,395,16,1,27,5928.391996997609,6579.891284976088,3753.3919969976096,2826.4992879784777,1975.0,382.0,80.0,0,,,0.4268455999845173
5,C,16,16,16,14644.839,1008,16,1,29,6658.592311877564,8522.839120623481,3630.5923118775618,4892.246808745925,5040.0,1002.0,80.0,0,,,0.9454266999964602
6,Cplus,16,16,16,9536.966,452,16,1,27,5716.584788697272,6758.966170241117,3591.5847886972742,3167.3813815438434,2260.0,438.0,80.0,0,0,B,0.6739346999966074
6,Cplus3A,16,16,16,9536.966,452,16,1,27,5716.584788697272,6758.966170241117,3591.5847886972742,3167.3813815438434,2260.0,438.0,80.0,0,0,B,0.5886564000102226
6,B,16,16,16,9536.966,452,16,1,27,5716.584788697272,6758.966170241117,3591.5847886972742,3167.3813815438434,2260.0,438.0,80.0,0,,,0.5496468000055756
6,C,16,16,16,12266.238,715,16,1,29,6762.7957304284455,7912.23760051723,3711.795730428444,4200.441870088788,3575.0,699.0,80.0,0,,,0.5981856000144035
7,Cplus,16,16,16,9189.612,523,16,1,27,6314.620113236895,5972.611775365165,3754.6201132368983,2217.991662128268,2615.0,522.0,80.0,0,0,B,0.2071728000009898
7,Cplus3A,16,16,16,9189.612,523,16,1,27,6314.620113236895,5972.611775365165,3754.6201132368983,2217.991662128268,2615.0,522.0,80.0,0,0,B,0.24671680000028573
7,B,16,16,16,9189.612,523,16,1,27,6314.620113236895,5972.611775365165,3754.6201132368983,2217.991662128268,2615.0,522.0,80.0,0,,,0.3099660000007134
7,C,16,16,16,11616.644,642,16,1,29,6225.976304021386,7693.644024631292,3468.976304021385,4224.667720609907,3210.0,633.0,80.0,0,,,0.24504320000414737
8,Cplus,16,16,16,9753.938,454,16,1,27,5865.056946875189,6969.938082656636,3763.0569468751905,3206.8811357814434,2270.0,434.0,80.0,0,0,B,0.5078329000098165
8,Cplus3A,16,16,16,9753.938,454,16,1,27,5865.056946875189,6969.938082656636,3763.0569468751905,3206.8811357814434,2270.0,434.0,80.0,0,0,B,0.6423300000024028
8,B,16,16,16,9753.938,454,16,1,27,5865.056946875189,6969.938082656636,3763.0569468751905,3206.8811357814434,2270.0,434.0,80.0,0,,,0.7123766999866348
8,C,16,16,16,8639.434,474,16,1,29,5981.384852368643,5728.434335342029,3463.384852368642,2265.0494829733902,2370.0,461.0,80.0,0,,,0.44428809999953955
9,Cplus,16,16,16,10904.96,571,16,1,27,6171.471201816551,7427.960307048586,3757.471201816553,3670.489105232036,2855.0,542.0,80.0,0,0,B,0.6092597999959253
9,Cplus3A,16,16,16,10904.96,571,16,1,27,6171.471201816551,7427.960307048586,3757.471201816553,3670.489105232036,2855.0,542.0,80.0,0,0,B,0.6722621000080835
9,B,16,16,16,10904.96,571,16,1,27,6171.471201816551,7427.960307048586,3757.471201816553,3670.489105232036,2855.0,542.0,80.0,0,,,0.7067586000193842
9,C,16,16,16,14776.044,1021,16,1,29,6679.74305386191,8590.044168044542,3611.7430538619083,4978.30111418264,5105.0,1001.0,80.0,0,,,0.6300088999851141
10,Cplus,16,16,16,8030.772,393,16,1,27,5854.764464732457,5607.7722404127935,3631.7644647324582,1976.0077756803366,1965.0,378.0,80.0,0,0,B,0.47419960002298467
10,Cplus3A,16,16,16,8030.772,393,16,1,27,5854.764464732457,5607.7722404127935,3631.7644647324582,1976.0077756803366,1965.0,378.0,80.0,0,0,B,0.49244679999537766
10,B,16,16,16,8030.772,393,16,1,27,5854.764464732457,5607.7722404127935,3631.7644647324582,1976.0077756803366,1965.0,378.0,80.0,0,,,0.5023668000067119
10,C,16,16,16,10869.512,702,16,1,29,6583.949418257003,6591.5119178086,3537.9494182570015,3053.5624995516005,3510.0,688.0,80.0,0,,,0.6999830999993719
11,Cplus,16,16,16,8592.013,390,16,1,27,5715.27144599648,6191.013050480363,3636.2714459964814,2554.741604483881,1950.0,371.0,80.0,0,0,B,0.34131649998016655
11,Cplus3A,16,16,16,8592.013,390,16,1,27,5715.27144599648,6191.013050480363,3636.2714459964814,2554.741604483881,1950.0,371.0,80.0,0,0,B,0.39118669999879785
11,B,16,16,16,8592.013,390,16,1,27,5715.27144599648,6191.013050480363,3636.2714459964814,2554.741604483881,1950.0,371.0,80.0,0,,,0.48295460001099855
11,C,16,16,16,15333.734,1120,16,1,29,6780.988907574396,8549.734382741517,3657.988907574395,4891.745475167127,5600.0,1104.0,80.0,0,,,0.8498335999902338
12,Cplus,16,16,16,8352.687,378,16,1,27,6087.517848984113,6021.6869861816895,3961.5178489841146,2060.169137197575,1890.0,361.0,80.0,0,0,B,0.4278622000128962
12,Cplus3A,16,16,16,8352.687,378,16,1,27,6087.517848984113,6021.6869861816895,3961.5178489841146,2060.169137197575,1890.0,361.0,80.0,0,0,B,0.34613990000798367
12,B,16,16,16,8352.687,378,16,1,27,6087.517848984113,6021.6869861816895,3961.5178489841146,2060.169137197575,1890.0,361.0,80.0,0,,,0.4037096999818459
12,C,16,16,16,9254.965,535,16,1,29,6206.72609417245,5966.9649821660505,3467.7260941724485,2499.238887993603,2675.0,533.0,80.0,0,,,0.34526719999848865
13,Cplus,16,16,16,8729.991,400,16,1,27,5796.944821041597,6257.991131931914,3745.9448210415985,2512.046310890316,2000.0,392.0,80.0,0,0,B,0.5039904000004753
13,Cplus3A,16,16,16,8729.991,400,16,1,27,5796.944821041597,6257.991131931914,3745.9448210415985,2512.046310890316,2000.0,392.0,80.0,0,0,B,0.4764556000009179
13,B,16,16,16,8729.991,400,16,1,27,5796.944821041597,6257.991131931914,3745.9448210415985,2512.046310890316,2000.0,392.0,80.0,0,,,0.4476034000108484
13,C,16,16,16,13164.909,947,16,1,29,5635.488691792594,7417.909406193237,2967.488691792594,4450.420714400647,4735.0,932.0,80.0,0,,,0.6895831000001635
14,Cplus,16,16,16,8479.23,434,16,1,27,6252.329659893059,5800.229678002849,3746.329659893061,2053.900018109787,2170.0,429.0,80.0,0,0,B,0.41466079998645
