case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,wall_time_s
1,Cplus,16,16,16,10005.789,425,16,1,27,5904.761430316072,7405.78915060854,3753.761430316073,3652.027720292467,2125.0,395.0,80.0,0,0,B,0.6760236000118311
1,Cplus3A,16,16,16,10005.789,425,16,1,27,5904.761430316072,7405.78915060854,3753.761430316073,3652.027720292467,2125.0,395.0,80.0,0,0,B,0.686990699992748
1,B,16,16,16,10005.789,425,16,1,27,5904.761430316072,7405.78915060854,3753.761430316073,3652.027720292467,2125.0,395.0,80.0,0,,,0.6821326000208501
1,C,16,16,16,9455.937,521,16,1,29,5688.008325599565,6265.936516294267,3321.0083255995646,2944.9281906947026,2605.0,505.0,80.0,0,,,0.7278216000122484
2,Cplus,16,16,16,9813.649,524,16,1,27,5991.865098608563,6599.648619964359,3755.8650986085645,2843.7835213557996,2620.0,514.0,80.0,0,0,B,0.7124715000099968
2,Cplus3A,16,16,16,9813.649,524,16,1,27,5991.865098608563,6599.648619964359,3755.8650986085645,2843.7835213557996,2620.0,514.0,80.0,0,0,B,0.8241637000173796
2,B,16,16,16,9813.649,524,16,1,27,5991.865098608563,6599.648619964359,3755.8650986085645,2843.7835213557996,2620.0,514.0,80.0,0,,,0.8338351999991573
2,C,16,16,16,9282.275,472,16,1,29,5970.06309749389,6391.275164014083,3520.0630974938886,2871.2120665201946,2360.0,451.0,80.0,0,,,0.39389490001485683
3,Cplus,16,16,16,9622.171,520,16,1,27,6463.6056731391,6433.171252975474,4028.6056731391013,2404.5655798363737,2600.0,509.0,80.0,0,0,B,0.3792998999997508
3,Cplus3A,16,16,16,9622.171,520,16,1,27,6463.6056731391,6433.171252975474,4028.6056731391013,2404.5655798363737,2600.0,509.0,80.0,0,0,B,0.3868594999948982
3,B,16,16,16,9622.171,520,16,1,27,6463.6056731391,6433.171252975474,4028.6056731391013,2404.5655798363737,2600.0,509.0,80.0,0,,,0.3886519999941811
3,C,16,16,16,9596.194,523,16,1,29,6380.493568684544,6402.193978875353,3659.493568684543,2742.7004101908124,2615.0,499.0,80.0,0,,,0.6225146000215318
4,Cplus,16,16,16,8814.408,397,16,1,27,6402.930098821243,6361.408087790856,4080.930098821242,2280.4779889696133,1985.0,388.0,80.0,0,0,B,0.24613939999835566
4,Cplus3A,16,16,16,8814.408,397,16,1,27,6402.930098821243,6361.408087790856,4080.930098821242,2280.4779889696133,1985.0,388.0,80.0,0,0,B,0.17400780000025406
4,B,16,16,16,8814.408,397,16,1,27,6402.930098821243,6361.408087790856,4080.930098821242,2280.4779889696133,1985.0,388.0,80.0,0,,,0.311217399983434
4,C,16,16,16,10889.977,650,16,1,29,6245.392053572722,6923.976919200563,3404.3920535727216,3519.5848656278386,3250.0,636.0,80.0,0,,,0.667994199990062
5,Cplus,16,16,16,10374.828,553,16,1,27,5933.786676770258,6991.827981482471,3776.7866767702603,3215.04130471221,2765.0,538.0,80.0,0,0,B,0.728553799999645
5,Cplus3A,16,16,16,10374.828,553,16,1,27,5933.786676770258,6991.827981482471,3776.7866767702603,3215.04130471221,2765.0,538.0,80.0,0,0,B,0.7635299999965355
5,B,16,16,16,10374.828,553,16,1,27,5933.786676770258,6991.827981482471,3776.7866767702603,3215.04130471221,2765.0,538.0,80.0,0,,,0.5028077000170015
5,C,16,16,16,9550.506,536,16,1,29,6477.103251255934,6268.505508165085,3679.103251255935,2589.4022569091526,2680.0,522.0,80.0,0,,,0.3385474999959115
6,Cplus,16,16,16,8564.715,391,16,1,27,6146.211173130799,6150.715396961295,4028.2111731308014,2122.5042238304964,1955.0,379.0,80.0,0,0,B,0.4531350999895949
6,Cplus3A,16,16,16,8564.715,391,16,1,27,6146.211173130799,6150.715396961295,4028.2111731308014,2122.5042238304964,1955.0,379.0,80.0,0,0,B,0.38627389998873696
6,B,16,16,16,8564.715,391,16,1,27,6146.211173130799,6150.715396961295,4028.2111731308014,2122.5042238304964,1955.0,379.0,80.0,0,,,0.46421939998981543
6,C,16,16,16,8141.259,484,16,1,29,5902.707633544463,5162.25926869765,3284.707633544463,1877.5516351531874,2420.0,479.0,80.0,0,,,0.17613850001362152
7,Cplus,16,16,16,8934.361,424,16,1,27,6149.431449072523,6312.361393870611,3760.431449072523,2551.9299447980898,2120.0,422.0,80.0,0,0,B,0.1775785000063479
