case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,wall_time_s
1,Cplus,15,15,15,8783.744,316,15,1,29,5344.5264323263955,6832.743985978199,3629.5264323263946,3203.2175536518057,1580.0,296.0,75.0,0,5,C,0.340521300007822
1,Cplus3A,15,15,15,8782.848,446,15,1,29,6223.132344940605,6045.848427473244,3695.132344940604,2350.7160825326428,2230.0,432.0,75.0,0,5,C,0.32515600000624545
1,B,15,15,15,8454.493,330,15,1,27,5940.871979393181,6408.492920225119,4081.871979393182,2326.620940831937,1650.0,321.0,75.0,0,,,0.4506530000071507
1,C,15,15,15,8783.744,316,15,1,29,5344.5264323263955,6832.743985978199,3629.5264323263946,3203.2175536518057,1580.0,296.0,75.0,0,,,0.5623226999887265
2,Cplus,10,10,10,8899.894,456,10,1,29,6219.96345213146,6128.893950987864,3653.9634521314583,2474.930498856405,2280.0,441.0,50.0,0,1,C,0.15339540000422858
2,Cplus3A,10,10,10,8426.143,507,10,1,29,6652.189191231953,5346.14299704869,3734.189191231952,1611.9538058167373,2535.0,495.0,50.0,0,1,C,0.13137909999932162
2,B,10,10,10,8465.141,456,10,1,27,6720.8719793931805,5689.141251823495,4081.871979393182,1607.2692724303124,2280.0,446.0,50.0,0,,,0.21621380001306534
2,C,10,10,10,8899.894,456,10,1,29,6219.96345213146,6128.893950987864,3653.9634521314583,2474.930498856405,2280.0,441.0,50.0,0,,,0.11471170000731945
3,Cplus,15,15,15,7994.553,321,15,1,29,5481.7703567213175,6000.552885847467,3653.7703567213175,2346.7825291261497,1605.0,314.0,75.0,0,4,C,0.3512705999892205
3,Cplus3A,15,15,15,8123.132,422,15,1,29,6077.003212767671,5528.131565313054,3681.0032127676704,1847.128352545384,2110.0,410.0,75.0,0,4,C,0.13995290000457317
3,B,15,15,15,9709.664,411,15,1,27,6208.62240386028,7190.6638716077605,4116.622403860282,3074.0414677474746,2055.0,389.0,75.0,0,,,0.6719405000039842
3,C,15,15,15,7994.553,321,15,1,29,5481.7703567213175,6000.552885847467,3653.7703567213175,2346.7825291261497,1605.0,314.0,75.0,0,,,0.3346064000215847
4,Cplus,11,11,11,8167.033,405,11,1,29,5956.5264323263955,5691.0333005952625,3629.5264323263946,2061.5068682688693,2025.0,396.0,55.0,0,2,C,0.28651839998201467
4,Cplus3A,11,11,11,7656.028,449,11,1,29,6398.662204589179,4910.028125761007,3714.662204589177,1195.3659211718298,2245.0,446.0,55.0,0,2,C,0.047771899990038946
4,B,11,11,11,8674.731,416,11,1,27,6486.8719793931805,6130.730597701274,4081.871979393182,2048.858618308092,2080.0,409.0,55.0,0,,,0.3088757999939844
4,C,11,11,11,8167.033,405,11,1,29,5956.5264323263955,5691.0333005952625,3629.5264323263946,2061.5068682688693,2025.0,396.0,55.0,0,,,0.297409399994649
5,Cplus,12,12,12,8221.719,397,12,1,29,5990.373909857336,5790.7188627188825,3702.3739098573355,2088.34495286155,1985.0,386.0,60.0,0,1,C,0.4257455999904778
5,Cplus3A,12,12,12,7941.708,438,12,1,29,6365.047422407792,5259.7082075490025,3755.0474224077902,1504.6607851412127,2190.0,432.0,60.0,0,1,C,0.08124850000604056
5,B,12,12,12,8481.247,341,12,1,27,6128.672369365923,6379.247103960072,4145.672369365924,2233.5747345941504,1705.0,337.0,60.0,0,,,0.277426300017396
5,C,12,12,12,8221.719,397,12,1,29,5990.373909857336,5790.7188627188825,3702.3739098573355,2088.34495286155,1985.0,386.0,60.0,0,,,0.3817732000024989
6,Cplus,12,12,12,7933.715,371,12,1,29,5811.829407671275,5656.715226807665,3665.8294076712746,1990.8858191363915,1855.0,362.0,60.0,0,2,C,0.35916169997653924
6,Cplus3A,12,12,12,7907.393,441,12,1,29,6331.959473977271,5212.393020179616,3726.959473977271,1485.433546202345,2205.0,430.0,60.0,0,2,C,0.11758869999903254
6,B,12,12,12,8013.956,353,12,1,27,6187.556184740563,5837.95609083395,4125.556184740565,1712.3999060933857,1765.0,351.0,60.0,0,,,0.25952290001441725
6,C,12,12,12,7933.715,371,12,1,29,5811.829407671275,5656.715226807665,3665.8294076712746,1990.8858191363915,1855.0,362.0,60.0,0,,,0.31512909999582916
7,Cplus,10,10,10,8453.881,435,10,1,29,6058.5264323263955,5812.88124925609,3629.5264323263946,2183.3548169296946,2175.0,416.0,50.0,0,5,C,0.2158812000125181
7,Cplus3A,10,10,10,8847.687,515,10,1,29,6509.550580962049,5718.686633042221,3631.550580962047,2087.136052080173,2575.0,504.0,50.0,0,5,C,0.09965550000197254
7,B,10,10,10,8307.249,411,10,1,27,6474.8719793931805,5797.248767394165,4081.871979393182,1715.3767880009852,2055.0,405.0,50.0,0,,,0.2721875999995973
7,C,10,10,10,8453.881,435,10,1,29,6058.5264323263955,5812.88124925609,3629.5264323263946,2183.3548169296946,2175.0,416.0,50.0,0,,,0.23056709999218583
8,Cplus,11,11,11,8244.664,387,11,1,29,5752.253995729916,5884.664038104481,3630.253995729915,2254.410042374566,1935.0,370.0,55.0,0,6,C,0.39827130001503974
8,Cplus3A,11,11,11,7864.613,419,11,1,29,6100.848385537512,5313.613000516351,3681.8483855375107,1631.764614978842,2095.0,401.0,55.0,0,6,C,0.10004260001005605
8,B,11,11,11,9025.55,417,11,1,27,6348.8719793931805,6494.5495583885895,4081.871979393182,2412.67757899541,2085.0,391.0,55.0,0,,,0.4593657999939751
8,C,11,11,11,8244.664,387,11,1,29,5752.253995729916,5884.664038104481,3630.253995729915,2254.410042374566,1935.0,370.0,55.0,0,,,0.34331070000189357
9,Cplus,13,13,13,7889.652,361,13,1,29,5794.299556977192,5665.651667996693,3697.299556977192,1968.3521110195004,1805.0,354.0,65.0,0,3,C,0.3306352000217885
9,Cplus3A,13,13,13,7481.873,455,13,1,29,6541.001634625317,4687.87338948297,3819.0016346253174,868.8717548576528,2275.0,454.0,65.0,0,3,C,0.013968399987788871
9,B,13,13,13,8138.492,385,13,1,27,6389.856872546745,5764.492003535223,4112.856872546747,1651.6351309884774,1925.0,384.0,65.0,0,,,0.18514080002205446
9,C,13,13,13,7889.652,361,13,1,29,5794.299556977192,5665.651667996693,3697.299556977192,1968.3521110195004,1805.0,354.0,65.0,0,,,0.4293284000013955
10,Cplus,12,12,12,8306.804,388,12,1,29,5938.785976454414,5922.803765365152,3679.785976454413,2243.0177889107376,1940.0,384.0,60.0,0,4,C,0.20004480000352487
10,Cplus3A,12,12,12,8073.006,432,12,1,29,6160.505007387052,5422.006046745796,3729.5050073870507,1692.5010393587454,2160.0,431.0,60.0,0,4,C,0.19562189999851398
10,B,12,12,12,8357.109,379,12,1,27,6261.081957223289,6033.109390985829,4141.08195722329,1892.0274337625406,1895.0,369.0,60.0,0,,,0.42985650000628084
10,C,12,12,12,8306.804,388,12,1,29,5938.785976454414,5922.803765365152,3679.785976454413,2243.0177889107376,1940.0,384.0,60.0,0,,,0.1820286000147462
11,Cplus,11,11,11,7082.787,342,11,1,29,5677.289940011784,4979.786639237139,3653.289940011783,1326.496699225357,1710.0,338.0,55.0,0,6,C,0.09940089998417534
11,Cplus3A,11,11,11,7098.552,390,11,1,29,6037.12048044546,4709.552323983075,3703.120480445458,1006.4318435376168,1950.0,384.0,55.0,0,6,C,0.009302100021159276
11,B,11,11,11,7649.62,352,11,1,27,6150.074460374686,5489.619672332561,4130.074460374687,1359.545211957874,1760.0,345.0,55.0,0,,,0.3206816000165418
11,C,11,11,11,7082.787,342,11,1,29,5677.289940011784,4979.786639237139,3653.289940011783,1326.496699225357,1710.0,338.0,55.0,0,,,0.10041660000570118
12,Cplus,16,16,16,6943.648,301,16,1,29,4913.231980284359,5068.6476385911255,3196.2319802843595,1872.4156583067675,1505.0,290.0,80.0,0,8,C,0.48832720000064
12,Cplus3A,16,16,16,6738.124,355,16,1,29,5262.7912087795985,4533.124414913048,3260.7912087795976,1272.3332061334506,1775.0,350.0,80.0,0,8,C,0.25942670000949875
12,B,16,16,16,6381.725,247,16,1,27,3558.5684645705774,4827.725482628548,2294.5684645705774,2533.1570180579724,1235.0,239.0,80.0,0,,,0.493182500009425
12,C,16,16,16,6943.648,301,16,1,29,4913.231980284359,5068.6476385911255,3196.2319802843595,1872.4156583067675,1505.0,290.0,80.0,0,,,0.36883280001347885
13,Cplus,16,16,16,6445.669,267,16,1,29,4484.591581147868,4764.669064847489,2944.5915811478676,1820.077483699621,1335.0,266.0,80.0,0,4,C,0.28137430001515895
13,Cplus3A,16,16,16,7741.233,418,16,1,29,5243.427986423231,5165.232526767291,3077.4279864232303,2087.8045403440624,2090.0,406.0,80.0,0,4,C,0.38383170001907274
13,B,16,16,16,9051.243,351,16,1,27,5683.796045902492,6908.242616621008,3921.7960459024926,2986.446570718519,1755.0,308.0,80.0,0,,,0.6462851000251248
13,C,16,16,16,6445.669,267,16,1,29,4484.591581147868,4764.669064847489,2944.5915811478676,1820.077483699621,1335.0,266.0,80.0,0,,,0.2924823999928776
14,Cplus,12,12,12,7841.904,389,12,1,29,5884.5264323263955,5451.903854680952,3629.5264323263946,1822.3774223545572,1945.0,385.0,60.0,0,2,C,0.37017459998605773
