case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,wall_time_s
1,Cplus,13,13,13,8716.381,348,13,1,29,5578.5264323263955,6576.380744365638,3629.5264323263946,2946.854312039243,1740.0,335.0,65.0,0,3,C,0.46417429999564774
1,Cplus3A,13,13,13,8645.826,468,13,1,29,6205.082306210516,5776.826116278113,3659.082306210514,2117.7438100675963,2340.0,464.0,65.0,0,3,C,0.2170219000254292
1,B,13,13,13,8815.608,371,13,1,27,6225.3089423972,6530.608119103075,4085.308942397201,2445.2991767058747,1855.0,365.0,65.0,0,,,0.2666942000214476
1,C,13,13,13,8716.381,348,13,1,29,5578.5264323263955,6576.380744365638,3629.5264323263946,2946.854312039243,1740.0,335.0,65.0,0,,,0.3997613999817986
2,Cplus,10,10,10,9137.471,454,10,1,29,6094.526432326396,6399.471090026848,3629.5264323263946,2769.94465770046,2270.0,418.0,50.0,0,2,C,0.5067202000063844
2,Cplus3A,10,10,10,8598.282,475,10,1,29,6410.376865570461,5704.282027792187,3696.3768655704584,2007.9051622217312,2375.0,469.0,50.0,0,2,C,0.2371854999801144
2,B,10,10,10,8355.64,391,10,1,27,6313.181554192147,5977.640386005823,4107.181554192149,1870.4588318136762,1955.0,373.0,50.0,0,,,0.5647538999910466
2,C,10,10,10,9137.471,454,10,1,29,6094.526432326396,6399.471090026848,3629.5264323263946,2769.94465770046,2270.0,418.0,50.0,0,,,0.5806673999759369
3,Cplus,14,14,14,9403.988,393,14,1,29,5607.370546077941,7011.987690746806,3641.37054607794,3370.617144668867,1965.0,357.0,70.0,0,3,C,0.5146321000065655
3,Cplus3A,14,14,14,9244.497,456,14,1,29,5981.09437667367,6467.4974908179865,3675.094376673669,2792.403114144318,2280.0,427.0,70.0,0,3,C,0.4710307999921497
3,B,14,14,14,9469.437,359,14,1,27,5988.871979393181,7275.436891463016,4081.871979393182,3193.5649120698376,1795.0,329.0,70.0,0,,,0.8645585000049323
3,C,14,14,14,9403.988,393,14,1,29,5607.370546077941,7011.987690746806,3641.37054607794,3370.617144668867,1965.0,357.0,70.0,0,,,0.3963076999934856
4,Cplus,12,12,12,9358.157,491,12,1,29,6257.310839534488,6361.156606128675,3643.3108395344866,2717.8457665941905,2455.0,482.0,60.0,0,2,C,0.3969389999983832
4,Cplus3A,12,12,12,8735.628,504,12,1,29,6415.389296939637,5665.627745268628,3665.3892969396366,2000.2384483289918,2520.0,490.0,60.0,0,2,C,0.3127521999995224
4,B,12,12,12,8243.276,404,12,1,27,6452.325128897371,5768.276134684346,4110.3251288973715,1657.9510057869713,2020.0,395.0,60.0,0,,,0.2634002999984659
4,C,12,12,12,9358.157,491,12,1,29,6257.310839534488,6361.156606128675,3643.3108395344866,2717.8457665941905,2455.0,482.0,60.0,0,,,0.2775995999982115
5,Cplus,13,13,13,9208.385,488,13,1,29,6228.242984163503,6232.384903949971,3700.242984163502,2532.14191978647,2440.0,471.0,65.0,0,1,C,0.44100520000210963
5,Cplus3A,13,13,13,9151.182,518,13,1,29,6477.07684469064,5993.1821653301295,3705.0768446906386,2288.1053206394927,2590.0,503.0,65.0,0,1,C,0.2531401000160258
5,B,13,13,13,7829.194,323,13,1,27,6110.876956208587,5831.194233125799,4208.876956208588,1622.317276917211,1615.0,318.0,65.0,0,,,0.23740660000476055
5,C,13,13,13,9208.385,488,13,1,29,6228.242984163503,6232.384903949971,3700.242984163502,2532.14191978647,2440.0,471.0,65.0,0,,,0.43995250001898967
6,Cplus,13,13,13,8360.559,393,13,1,29,5662.5264323263955,5959.559158972617,3629.5264323263946,2330.0327266462264,1965.0,371.0,65.0,0,5,C,0.6480145999812521
6,Cplus3A,13,13,13,8531.059,431,13,1,29,6019.741766355049,5898.059261090051,3690.741766355048,2207.3174947350035,2155.0,413.0,65.0,0,5,C,0.399470400006976
6,B,13,13,13,8466.638,379,13,1,27,6254.98108235801,6147.637591258659,4128.98108235801,2018.656508900649,1895.0,359.0,65.0,0,,,0.3315375999954995
6,C,13,13,13,8360.559,393,13,1,29,5662.5264323263955,5959.559158972617,3629.5264323263946,2330.0327266462264,1965.0,371.0,65.0,0,,,0.5852894999843556
7,Cplus,16,16,16,7437.563,340,16,1,29,5417.558058479395,5325.562571383711,3464.558058479396,1861.0045129043133,1700.0,332.0,80.0,0,2,C,0.2664863999816589
7,Cplus3A,16,16,16,8032.925,439,16,1,29,5969.399399020294,5326.925249845991,3464.399399020293,1862.525850825697,2195.0,431.0,80.0,0,2,C,0.29066520000924356
7,B,16,16,16,8077.055,358,16,1,27,5681.046719010199,5863.054747244903,3645.046719010201,2218.0080282347044,1790.0,344.0,80.0,0,,,0.3564067000115756
7,C,16,16,16,7437.563,340,16,1,29,5417.558058479395,5325.562571383711,3464.558058479396,1861.0045129043133,1700.0,332.0,80.0,0,,,0.20457010000245646
8,Cplus,12,12,12,8092.581,456,12,1,29,6232.526432326396,5302.581285812125,3629.5264323263946,1673.0548534857326,2280.0,450.0,60.0,0,2,C,0.29761800001142547
8,Cplus3A,12,12,12,8494.063,521,12,1,29,6615.488261608458,5312.062929404072,3667.488261608455,1644.5746677956167,2605.0,517.0,60.0,0,2,C,0.2579971000086516
8,B,12,12,12,8464.128,412,12,1,27,6482.928147178419,5944.128360163021,4115.92814717842,1828.2002129846016,2060.0,400.0,60.0,0,,,0.5200718000123743
8,C,12,12,12,8092.581,456,12,1,29,6232.526432326396,5302.581285812125,3629.5264323263946,1673.0548534857326,2280.0,450.0,60.0,0,,,0.2925790000008419
9,Cplus,14,14,14,8690.406,433,14,1,29,5972.322117178395,6041.406285760231,3652.3221171783944,2389.0841685818386,2165.0,414.0,70.0,0,4,C,0.47308399999747053
9,Cplus3A,14,14,14,8628.737,447,14,1,29,6155.541674520008,5893.736710265855,3664.5416745200077,2229.1950357458463,2235.0,430.0,70.0,0,4,C,0.16511479998007417
9,B,14,14,14,8627.974,342,14,1,27,6098.631613182439,6510.973931933475,4108.63161318244,2402.342318751034,1710.0,337.0,70.0,0,,,0.20481180000933819
9,C,14,14,14,8690.406,433,14,1,29,5972.322117178395,6041.406285760231,3652.3221171783944,2389.0841685818386,2165.0,414.0,70.0,0,,,0.4563235999958124
10,Cplus,12,12,12,9353.525,486,12,1,29,6165.628643108586,6396.524903539723,3629.6286431085846,2766.8962604311428,2430.0,467.0,60.0,0,3,C,0.5560292000009213
10,Cplus3A,12,12,12,8624.189,486,12,1,29,6434.359124511235,5652.189426615997,3717.3591245112334,1934.8303021047639,2430.0,482.0,60.0,0,3,C,0.09149130000150762
10,B,12,12,12,8532.038,393,12,1,27,6418.730874728609,6115.037510931622,4092.7308747286097,2022.3066362030117,1965.0,392.0,60.0,0,,,0.1735671999922488
10,C,12,12,12,9353.525,486,12,1,29,6165.628643108586,6396.524903539723,3629.6286431085846,2766.8962604311428,2430.0,467.0,60.0,0,,,0.6371259999868926
11,Cplus,14,14,14,8310.178,388,14,1,29,5909.436044628935,5918.17773497951,3656.436044628932,2261.7416903505778,1940.0,382.0,70.0,0,2,C,0.3343698999960907
11,Cplus3A,14,14,14,8642.8,450,14,1,29,6171.983833745797,5878.799884250897,3681.983833745795,2196.816050505104,2250.0,444.0,70.0,0,2,C,0.26957239999319427
11,B,14,14,14,8619.688,383,14,1,27,6390.7362982517425,6259.6883712789895,4175.7362982517425,2083.952073027248,1915.0,375.0,70.0,0,,,0.37415479999617673
11,C,14,14,14,8310.178,388,14,1,29,5909.436044628935,5918.17773497951,3656.436044628932,2261.7416903505778,1940.0,382.0,70.0,0,,,0.36933429999044165
12,Cplus,14,14,14,9314.339,467,14,1,29,6040.369700029722,6450.339008264105,3636.369700029719,2813.9693082343847,2335.0,459.0,70.0,0,2,C,0.5451172000030056
12,Cplus3A,14,14,14,9424.893,543,14,1,29,6464.047633113022,6125.893157074703,3698.047633113019,2427.8455239616874,2715.0,514.0,70.0,0,2,C,0.7741013999911956
12,B,14,14,14,8235.404,397,14,1,27,6437.914236217753,5790.403739986251,4120.9142362177545,1669.4895037684973,1985.0,390.0,70.0,0,,,0.32838839999749325
12,C,14,14,14,9314.339,467,14,1,29,6040.369700029722,6450.339008264105,3636.369700029719,2813.9693082343847,2335.0,459.0,70.0,0,,,0.47375299999839626
