case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,wall_time_s
1,Cplus,16,16,16,9583.816,466,16,1,27,6019.924696482856,6723.815849516734,3965.9246964828585,2757.8911530338787,2330.0,450.0,80.0,0,0,B,,,0.48512169998139143
1,Cplus3A,16,16,16,9583.816,466,16,1,27,6019.924696482856,6723.815849516734,3965.9246964828585,2757.8911530338787,2330.0,450.0,80.0,0,0,B,,,0.49895229999674484
1,Cplus3F,16,16,16,9583.816,466,16,1,27,6019.924696482856,6723.815849516734,3965.9246964828585,2757.8911530338787,2330.0,450.0,80.0,0,0,B,0,0,0.47832359999301843
2,Cplus,16,16,16,6859.127,340,16,1,27,5074.4590416833635,4745.127192059993,3175.4590416833644,1569.6681503766285,1700.0,334.0,80.0,0,0,B,,,0.1807081000006292
2,Cplus3A,16,16,16,6859.127,340,16,1,27,5074.4590416833635,4745.127192059993,3175.4590416833644,1569.6681503766285,1700.0,334.0,80.0,0,0,B,,,0.17756660000304691
2,Cplus3F,16,16,16,6859.127,340,16,1,27,5074.4590416833635,4745.127192059993,3175.4590416833644,1569.6681503766285,1700.0,334.0,80.0,0,0,B,0,0,0.18276680001872592
3,Cplus,16,16,16,8286.585,413,16,1,27,5660.284262756137,5733.584536321147,3506.2842627561395,2227.3002735650075,2065.0,408.0,80.0,0,0,B,,,0.24668819998623803
3,Cplus3A,16,16,16,8286.585,413,16,1,27,5660.284262756137,5733.584536321147,3506.2842627561395,2227.3002735650075,2065.0,408.0,80.0,0,0,B,,,0.2482892000116408
3,Cplus3F,16,16,16,8286.585,413,16,1,27,5660.284262756137,5733.584536321147,3506.2842627561395,2227.3002735650075,2065.0,408.0,80.0,0,0,B,0,0,0.2332816999987699
4,Cplus,16,16,16,8436.652,393,16,1,27,6008.269466441594,6009.65192170493,3779.269466441596,2230.3824552633323,1965.0,382.0,80.0,0,0,B,,,0.3662688999902457
4,Cplus3A,16,16,16,8436.652,393,16,1,27,6008.269466441594,6009.65192170493,3779.269466441596,2230.3824552633323,1965.0,382.0,80.0,0,0,B,,,0.4135822999814991
4,Cplus3F,16,16,16,8436.652,393,16,1,27,6008.269466441594,6009.65192170493,3779.269466441596,2230.3824552633323,1965.0,382.0,80.0,0,0,B,0,0,0.44848239998100325
5,Cplus,16,16,16,9016.891,395,16,1,27,5928.391996997609,6579.891284976088,3753.3919969976096,2826.4992879784777,1975.0,382.0,80.0,0,0,B,,,0.3638947999861557
5,Cplus3A,16,16,16,9016.891,395,16,1,27,5928.391996997609,6579.891284976088,3753.3919969976096,2826.4992879784777,1975.0,382.0,80.0,0,0,B,,,0.33753479999722913
5,Cplus3F,16,16,16,9016.891,395,16,1,27,5928.391996997609,6579.891284976088,3753.3919969976096,2826.4992879784777,1975.0,382.0,80.0,0,0,B,0,0,0.36430960000143386
6,Cplus,16,16,16,9536.966,452,16,1,27,5716.584788697272,6758.966170241117,3591.5847886972742,3167.3813815438434,2260.0,438.0,80.0,0,0,B,,,0.5250804999959655
6,Cplus3A,16,16,16,9536.966,452,16,1,27,5716.584788697272,6758.966170241117,3591.5847886972742,3167.3813815438434,2260.0,438.0,80.0,0,0,B,,,0.5417779000126757
6,Cplus3F,16,16,16,9536.966,452,16,1,27,5716.584788697272,6758.966170241117,3591.5847886972742,3167.3813815438434,2260.0,438.0,80.0,0,0,B,0,0,0.5747912999941036
7,Cplus,16,16,16,9189.612,523,16,1,27,6314.620113236895,5972.611775365165,3754.6201132368983,2217.991662128268,2615.0,522.0,80.0,0,0,B,,,0.26625899999635294
7,Cplus3A,16,16,16,9189.612,523,16,1,27,6314.620113236895,5972.611775365165,3754.6201132368983,2217.991662128268,2615.0,522.0,80.0,0,0,B,,,0.22401030000764877
7,Cplus3F,16,16,16,9189.612,523,16,1,27,6314.620113236895,5972.611775365165,3754.6201132368983,2217.991662128268,2615.0,522.0,80.0,0,0,B,0,0,0.26347519998671487
8,Cplus,16,16,16,9753.938,454,16,1,27,5865.056946875189,6969.938082656636,3763.0569468751905,3206.8811357814434,2270.0,434.0,80.0,0,0,B,,,0.5988685000047553
8,Cplus3A,16,16,16,9753.938,454,16,1,27,5865.056946875189,6969.938082656636,3763.0569468751905,3206.8811357814434,2270.0,434.0,80.0,0,0,B,,,0.5786419000069145
8,Cplus3F,16,16,16,9753.938,454,16,1,27,5865.056946875189,6969.938082656636,3763.0569468751905,3206.8811357814434,2270.0,434.0,80.0,0,0,B,0,0,0.6045866000058595
9,Cplus,16,16,16,10904.96,571,16,1,27,6171.471201816551,7427.960307048586,3757.471201816553,3670.489105232036,2855.0,542.0,80.0,0,0,B,,,0.5713328999991063
9,Cplus3A,16,16,16,10904.96,571,16,1,27,6171.471201816551,7427.960307048586,3757.471201816553,3670.489105232036,2855.0,542.0,80.0,0,0,B,,,0.6130237999896053
9,Cplus3F,16,16,16,10904.96,571,16,1,27,6171.471201816551,7427.960307048586,3757.471201816553,3670.489105232036,2855.0,542.0,80.0,0,0,B,0,0,0.6573806000233162
10,Cplus,16,16,16,8030.772,393,16,1,27,5854.764464732457,5607.7722404127935,3631.7644647324582,1976.0077756803366,1965.0,378.0,80.0,0,0,B,,,0.5078426999971271
10,Cplus3A,16,16,16,8030.772,393,16,1,27,5854.764464732457,5607.7722404127935,3631.7644647324582,1976.0077756803366,1965.0,378.0,80.0,0,0,B,,,0.5694613000086974
10,Cplus3F,16,16,16,8030.772,393,16,1,27,5854.764464732457,5607.7722404127935,3631.7644647324582,1976.0077756803366,1965.0,378.0,80.0,0,0,B,0,0,0.4892299000057392
11,Cplus,16,16,16,8592.013,390,16,1,27,5715.27144599648,6191.013050480363,3636.2714459964814,2554.741604483881,1950.0,371.0,80.0,0,0,B,,,0.3737060000130441
11,Cplus3A,16,16,16,8592.013,390,16,1,27,5715.27144599648,6191.013050480363,3636.2714459964814,2554.741604483881,1950.0,371.0,80.0,0,0,B,,,0.33985150000080466
11,Cplus3F,16,16,16,8592.013,390,16,1,27,5715.27144599648,6191.013050480363,3636.2714459964814,2554.741604483881,1950.0,371.0,80.0,0,0,B,0,0,0.37040970000089146
12,Cplus,16,16,16,8352.687,378,16,1,27,6087.517848984113,6021.6869861816895,3961.5178489841146,2060.169137197575,1890.0,361.0,80.0,0,0,B,,,0.4275969000009354
12,Cplus3A,16,16,16,8352.687,378,16,1,27,6087.517848984113,6021.6869861816895,3961.5178489841146,2060.169137197575,1890.0,361.0,80.0,0,0,B,,,0.3742496999911964
12,Cplus3F,16,16,16,8352.687,378,16,1,27,6087.517848984113,6021.6869861816895,3961.5178489841146,2060.169137197575,1890.0,361.0,80.0,0,0,B,0,0,0.4260945999994874
13,Cplus,16,16,16,8729.991,400,16,1,27,5796.944821041597,6257.991131931914,3745.9448210415985,2512.046310890316,2000.0,392.0,80.0,0,0,B,,,0.5566318999917712
13,Cplus3A,16,16,16,8729.991,400,16,1,27,5796.944821041597,6257.991131931914,3745.9448210415985,2512.046310890316,2000.0,392.0,80.0,0,0,B,,,0.4732232999813277
13,Cplus3F,16,16,16,8729.991,400,16,1,27,5796.944821041597,6257.991131931914,3745.9448210415985,2512.046310890316,2000.0,392.0,80.0,0,0,B,0,0,0.42457120001199655
14,Cplus,16,16,16,8479.23,434,16,1,27,6252.329659893059,5800.229678002849,3746.329659893061,2053.900018109787,2170.0,429.0,80.0,0,0,B,,,0.42058150001685135
14,Cplus3A,16,16,16,8479.23,434,16,1,27,6252.329659893059,5800.229678002849,3746.329659893061,2053.900018109787,2170.0,429.0,80.0,0,0,B,,,0.4349528000166174
14,Cplus3F,16,16,16,8479.23,434,16,1,27,6252.329659893059,5800.229678002849,3746.329659893061,2053.900018109787,2170.0,429.0,80.0,0,0,B,0,0,0.3776128000172321
15,Cplus,16,16,16,9545.198,465,16,1,27,6091.770780867195,6702.19822367222,3773.770780867196,2928.4274428050257,2325.0,438.0,80.0,0,0,B,,,0.4234537999727763
15,Cplus3A,16,16,16,9545.198,465,16,1,27,6091.770780867195,6702.19822367222,3773.770780867196,2928.4274428050257,2325.0,438.0,80.0,0,0,B,,,0.3989071999967564
15,Cplus3F,16,16,16,9545.198,465,16,1,27,6091.770780867195,6702.19822367222,3773.770780867196,2928.4274428050257,2325.0,438.0,80.0,0,0,B,0,0,0.4161995000031311
16,Cplus,16,16,16,8819.986,382,16,1,27,5844.23419660351,6474.985853505906,3760.234196603512,2714.7516569023933,1910.0,355.0,80.0,0,0,B,,,0.4994003000028897
16,Cplus3A,16,16,16,8819.986,382,16,1,27,5844.23419660351,6474.985853505906,3760.234196603512,2714.7516569023933,1910.0,355.0,80.0,0,0,B,,,0.5363783000211697
16,Cplus3F,16,16,16,8819.986,382,16,1,27,5844.23419660351,6474.985853505906,3760.234196603512,2714.7516569023933,1910.0,355.0,80.0,0,0,B,0,0,0.5814594000112265
17,Cplus,16,16,16,9042.781,429,16,1,27,5971.890092408031,6410.781351672816,3754.890092408032,2655.8912592647894,2145.0,407.0,80.0,0,0,B,,,0.3668443000060506
17,Cplus3A,16,16,16,9042.781,429,16,1,27,5971.890092408031,6410.781351672816,3754.890092408032,2655.8912592647894,2145.0,407.0,80.0,0,0,B,,,0.3167379999940749
17,Cplus3F,16,16,16,9042.781,429,16,1,27,5971.890092408031,6410.781351672816,3754.890092408032,2655.8912592647894,2145.0,407.0,80.0,0,0,B,0,0,0.40186790001462214
18,Cplus,16,16,16,9208.425,422,16,1,27,6050.891969067132,6617.425070487495,3804.891969067134,2812.533101420357,2110.0,401.0,80.0,0,0,B,,,0.45956039999146014
18,Cplus3A,16,16,16,9208.425,422,16,1,27,6050.891969067132,6617.425070487495,3804.891969067134,2812.533101420357,2110.0,401.0,80.0,0,0,B,,,0.3935730000084732
18,Cplus3F,16,16,16,9208.425,422,16,1,27,6050.891969067132,6617.425070487495,3804.891969067134,2812.533101420357,2110.0,401.0,80.0,0,0,B,0,0,0.4479402000142727
19,Cplus,16,16,16,8779.613,391,16,1,27,5919.186998749318,6381.612956506739,3849.186998749319,2532.4259577574207,1955.0,363.0,80.0,0,0,B,,,0.36291749999509193
19,Cplus3A,16,16,16,8779.613,391,16,1,27,5919.186998749318,6381.612956506739,3849.186998749319,2532.4259577574207,1955.0,363.0,80.0,0,0,B,,,0.30205430000205524
19,Cplus3F,16,16,16,8779.613,391,16,1,27,5919.186998749318,6381.612956506739,3849.186998749319,2532.4259577574207,1955.0,363.0,80.0,0,0,B,0,0,0.36472300000605173
20,Cplus,16,16,16,8858.875,418,16,1,27,6061.827111645698,6280.874765355359,3796.827111645699,2484.047653709661,2090.0,408.0,80.0,0,0,B,,,0.36567239998839796
20,Cplus3A,16,16,16,8858.875,418,16,1,27,6061.827111645698,6280.874765355359,3796.827111645699,2484.047653709661,2090.0,408.0,80.0,0,0,B,,,0.3649576000170782
20,Cplus3F,16,16,16,8858.875,418,16,1,27,6061.827111645698,6280.874765355359,3796.827111645699,2484.047653709661,2090.0,408.0,80.0,0,0,B,0,0,0.3827641000098083
21,Cplus,16,16,16,9171.468,429,16,1,27,6106.805970391075,6539.468134652544,3782.805970391078,2756.6621642614678,2145.0,407.0,80.0,0,0,B,,,0.3150360000145156
21,Cplus3A,16,16,16,9171.468,429,16,1,27,6106.805970391075,6539.468134652544,3782.805970391078,2756.6621642614678,2145.0,407.0,80.0,0,0,B,,,0.3269321999978274
21,Cplus3F,16,16,16,9171.468,429,16,1,27,6106.805970391075,6539.468134652544,3782.805970391078,2756.6621642614678,2145.0,407.0,80.0,0,0,B,0,0,0.34456490000593476
22,Cplus,16,16,16,7990.401,334,16,1,27,5651.769964511432,5925.400816075864,3838.7699645114326,2086.6308515644337,1670.0,315.0,80.0,0,0,B,,,0.24191869999049231
22,Cplus3A,16,16,16,7990.401,334,16,1,27,5651.769964511432,5925.400816075864,3838.7699645114326,2086.6308515644337,1670.0,315.0,80.0,0,0,B,,,0.2626098000037018
22,Cplus3F,16,16,16,7990.401,334,16,1,27,5651.769964511432,5925.400816075864,3838.7699645114326,2086.6308515644337,1670.0,315.0,80.0,0,0,B,0,0,0.23459470001398586
23,Cplus,16,16,16,9224.032,453,16,1,27,5924.184153578988,6439.031838487422,3756.1841535789904,2682.847684908432,2265.0,440.0,80.0,0,0,B,,,0.3652617000043392
23,Cplus3A,16,16,16,9224.032,453,16,1,27,5924.184153578988,6439.031838487422,3756.1841535789904,2682.847684908432,2265.0,440.0,80.0,0,0,B,,,0.3971717999957036
23,Cplus3F,16,16,16,9224.032,453,16,1,27,5924.184153578988,6439.031838487422,3756.1841535789904,2682.847684908432,2265.0,440.0,80.0,0,0,B,0,0,0.517143799981568
24,Cplus,16,16,16,8206.407,367,16,1,27,5843.286701237713,5937.407458780594,3758.2867012377137,2179.1207575428807,1835.0,354.0,80.0,0,0,B,,,0.34901069998159073
