case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,wall_time_s
1,Cplus,15,15,15,8783.744,316,15,1,29,5344.5264323263955,6832.743985978199,3629.5264323263946,3203.2175536518057,1580.0,296.0,75.0,0,5,C,,,0.4002907999965828
1,Cplus3A,15,15,15,8782.848,446,15,1,29,6223.132344940605,6045.848427473244,3695.132344940604,2350.7160825326428,2230.0,432.0,75.0,0,5,C,,,0.3328944000240881
1,Cplus3F,15,15,15,8013.848,318,15,1,29,5473.132344940605,6045.848427473244,3695.132344940604,2350.7160825326428,1590.0,303.0,75.0,0,5,C,128,94,0.3111997999949381
2,Cplus,10,10,10,8899.894,456,10,1,29,6219.96345213146,6128.893950987864,3653.9634521314583,2474.930498856405,2280.0,441.0,50.0,0,1,C,,,0.12893690000055358
2,Cplus3A,10,10,10,8426.143,507,10,1,29,6652.189191231953,5346.14299704869,3734.189191231952,1611.9538058167373,2535.0,495.0,50.0,0,1,C,,,0.1210140000039246
2,Cplus3F,10,10,10,7985.143,433,10,1,29,6226.189191231953,5346.14299704869,3734.189191231952,1611.9538058167373,2165.0,424.0,50.0,0,1,C,74,52,0.11025070000323467
3,Cplus,15,15,15,7994.553,321,15,1,29,5481.7703567213175,6000.552885847467,3653.7703567213175,2346.7825291261497,1605.0,314.0,75.0,0,4,C,,,0.2555844999733381
3,Cplus3A,15,15,15,8123.132,422,15,1,29,6077.003212767671,5528.131565313054,3681.0032127676704,1847.128352545384,2110.0,410.0,75.0,0,4,C,,,0.1353907999873627
3,Cplus3F,15,15,15,7495.132,316,15,1,29,5507.00321276767,5528.131565313054,3681.0032127676704,1847.128352545384,1580.0,312.0,75.0,0,4,C,106,80,0.18569100002059713
4,Cplus,11,11,11,8167.033,405,11,1,29,5956.5264323263955,5691.0333005952625,3629.5264323263946,2061.5068682688693,2025.0,396.0,55.0,0,2,C,,,0.32273880002321675
4,Cplus3A,11,11,11,7656.028,449,11,1,29,6398.662204589179,4910.028125761007,3714.662204589177,1195.3659211718298,2245.0,446.0,55.0,0,2,C,,,0.034916200005682185
4,Cplus3F,11,11,11,7206.028,374,11,1,29,5948.662204589179,4910.028125761007,3714.662204589177,1195.3659211718298,1870.0,371.0,55.0,0,2,C,75,57,0.029194700007792562
5,Cplus,12,12,12,8221.719,397,12,1,29,5990.373909857336,5790.7188627188825,3702.3739098573355,2088.34495286155,1985.0,386.0,60.0,0,1,C,,,0.3709779999917373
5,Cplus3A,12,12,12,7941.708,438,12,1,29,6365.047422407792,5259.7082075490025,3755.0474224077902,1504.6607851412127,2190.0,432.0,60.0,0,1,C,,,0.11480640000081621
5,Cplus3F,12,12,12,7500.708,364,12,1,29,5939.047422407791,5259.7082075490025,3755.0474224077902,1504.6607851412127,1820.0,361.0,60.0,0,1,C,74,43,0.08352240000385791
6,Cplus,12,12,12,7933.715,371,12,1,29,5811.829407671275,5656.715226807665,3665.8294076712746,1990.8858191363915,1855.0,362.0,60.0,0,2,C,,,0.3088430999778211
6,Cplus3A,12,12,12,7907.393,441,12,1,29,6331.959473977271,5212.393020179616,3726.959473977271,1485.433546202345,2205.0,430.0,60.0,0,2,C,,,0.1099271000130102
6,Cplus3F,12,12,12,7354.393,348,12,1,29,5797.95947397727,5212.393020179616,3726.959473977271,1485.433546202345,1740.0,342.0,60.0,0,2,C,93,52,0.12100610000197776
7,Cplus,10,10,10,8453.881,435,10,1,29,6058.5264323263955,5812.88124925609,3629.5264323263946,2183.3548169296946,2175.0,416.0,50.0,0,5,C,,,0.22418049999396317
7,Cplus3A,10,10,10,8847.687,515,10,1,29,6509.550580962049,5718.686633042221,3631.550580962047,2087.136052080173,2575.0,504.0,50.0,0,5,C,,,0.133039500011364
7,Cplus3F,10,10,10,8288.687,422,10,1,29,6023.550580962049,5718.686633042221,3631.550580962047,2087.136052080173,2110.0,410.0,50.0,0,5,C,93,72,0.10017059999518096
8,Cplus,11,11,11,8244.664,387,11,1,29,5752.253995729916,5884.664038104481,3630.253995729915,2254.410042374566,1935.0,370.0,55.0,0,6,C,,,0.309874900005525
8,Cplus3A,11,11,11,7864.613,419,11,1,29,6100.848385537512,5313.613000516351,3681.8483855375107,1631.764614978842,2095.0,401.0,55.0,0,6,C,,,0.10470050000003539
8,Cplus3F,11,11,11,7623.613,378,11,1,29,5884.848385537511,5313.613000516351,3681.8483855375107,1631.764614978842,1890.0,365.0,55.0,0,6,C,41,45,0.11116359999869019
9,Cplus,13,13,13,7889.652,361,13,1,29,5794.299556977192,5665.651667996693,3697.299556977192,1968.3521110195004,1805.0,354.0,65.0,0,3,C,,,0.43323150000651367
