case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,wall_time_s
1,Cplus,13,13,13,8716.381,348,13,1,29,5578.5264323263955,6576.380744365638,3629.5264323263946,2946.854312039243,1740.0,335.0,65.0,0,3,C,,,0.4364631000207737
1,Cplus3A,13,13,13,8645.826,468,13,1,29,6205.082306210516,5776.826116278113,3659.082306210514,2117.7438100675963,2340.0,464.0,65.0,0,3,C,,,0.2134805000096094
1,Cplus3F,13,13,13,8000.826,361,13,1,29,5635.0823062105155,5776.826116278113,3659.082306210514,2117.7438100675963,1805.0,354.0,65.0,0,3,C,107,77,0.2073685000068508
2,Cplus,10,10,10,9137.471,454,10,1,29,6094.526432326396,6399.471090026848,3629.5264323263946,2769.94465770046,2270.0,418.0,50.0,0,2,C,,,0.397467599977972
2,Cplus3A,10,10,10,8598.282,475,10,1,29,6410.376865570461,5704.282027792187,3696.3768655704584,2007.9051622217312,2375.0,469.0,50.0,0,2,C,,,0.19130299999960698
2,Cplus3F,10,10,10,8213.282,411,10,1,29,6032.37686557046,5704.282027792187,3696.3768655704584,2007.9051622217312,2055.0,404.0,50.0,0,2,C,64,40,0.22022079999442212
3,Cplus,14,14,14,9403.988,393,14,1,29,5607.370546077941,7011.987690746806,3641.37054607794,3370.617144668867,1965.0,357.0,70.0,0,3,C,,,0.4706517000158783
3,Cplus3A,14,14,14,9244.497,456,14,1,29,5981.09437667367,6467.4974908179865,3675.094376673669,2792.403114144318,2280.0,427.0,70.0,0,3,C,,,0.45443760001217015
3,Cplus3F,14,14,14,8843.497,390,14,1,29,5693.09437667367,6467.4974908179865,3675.094376673669,2792.403114144318,1950.0,356.0,70.0,0,3,C,66,50,0.4143210999900475
4,Cplus,12,12,12,9358.157,491,12,1,29,6257.310839534488,6361.156606128675,3643.3108395344866,2717.8457665941905,2455.0,482.0,60.0,0,2,C,,,0.2492334000125993
4,Cplus3A,12,12,12,8735.628,504,12,1,29,6415.389296939637,5665.627745268628,3665.3892969396366,2000.2384483289918,2520.0,490.0,60.0,0,2,C,,,0.2620724999869708
4,Cplus3F,12,12,12,8239.628,422,12,1,29,6037.3892969396375,5665.627745268628,3665.3892969396366,2000.2384483289918,2110.0,404.0,60.0,0,2,C,82,51,0.27387350000208244
5,Cplus,13,13,13,9208.385,488,13,1,29,6228.242984163503,6232.384903949971,3700.242984163502,2532.14191978647,2440.0,471.0,65.0,0,1,C,,,0.3572406000166666
5,Cplus3A,13,13,13,9151.182,518,13,1,29,6477.07684469064,5993.1821653301295,3705.0768446906386,2288.1053206394927,2590.0,503.0,65.0,0,1,C,,,0.30264149999129586
5,Cplus3F,13,13,13,8416.182,396,13,1,29,5817.07684469064,5993.1821653301295,3705.0768446906386,2288.1053206394927,1980.0,378.0,65.0,0,1,C,122,69,0.2663322000007611
6,Cplus,13,13,13,8360.559,393,13,1,29,5662.5264323263955,5959.559158972617,3629.5264323263946,2330.0327266462264,1965.0,371.0,65.0,0,5,C,,,0.6090564000187442
6,Cplus3A,13,13,13,8531.059,431,13,1,29,6019.741766355049,5898.059261090051,3690.741766355048,2207.3174947350035,2155.0,413.0,65.0,0,5,C,,,0.42441710000275634
6,Cplus3F,13,13,13,8128.059,365,13,1,29,5719.741766355048,5898.059261090051,3690.741766355048,2207.3174947350035,1825.0,340.0,65.0,0,5,C,66,57,0.4322810999874491
