case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,wall_time_s
1,Cplus3F,16,16,16,9583.816,466,16,1,27,6019.924696482856,6723.815849516734,3965.9246964828585,2757.8911530338787,2330.0,450.0,80.0,0,0,B,0,0,0.4630695999949239
1,C3FDirect,16,16,16,9538.663,560,16,1,29,5409.076028015717,6115.662758034675,3115.0760280157174,3000.586730018959,2800.0,543.0,80.0,0,0,C,226,188,0.42049399999086745
1,B,16,16,16,9583.816,466,16,1,27,6019.924696482856,6723.815849516734,3965.9246964828585,2757.8911530338787,2330.0,450.0,80.0,0,,,,,0.45701449998887256
1,C,16,16,16,10970.626,792,16,1,29,5830.386357050779,6152.625878906771,3115.38635705078,3037.23952185599,3960.0,778.0,80.0,0,,,,,0.5373810000019148
2,Cplus3F,16,16,16,6859.127,340,16,1,27,5074.4590416833635,4745.127192059993,3175.4590416833644,1569.6681503766285,1700.0,334.0,80.0,0,0,B,0,0,0.19372710000607185
2,C3FDirect,16,16,16,8802.064,505,16,1,29,6226.674833173599,5696.0641125400725,3658.674833173596,2037.389279366478,2525.0,501.0,80.0,0,0,C,167,117,0.2676223000162281
2,B,16,16,16,6859.127,340,16,1,27,5074.4590416833635,4745.127192059993,3175.4590416833644,1569.6681503766285,1700.0,334.0,80.0,0,,,,,0.16988169998512603
2,C,16,16,16,10572.752,661,16,1,29,6683.198720577453,6527.751816947706,3649.198720577451,2878.5530963702577,3305.0,660.0,80.0,0,,,,,0.46703050000360236
3,Cplus3F,16,16,16,8286.585,413,16,1,27,5660.284262756137,5733.584536321147,3506.2842627561395,2227.3002735650075,2065.0,408.0,80.0,0,0,B,0,0,0.2463323000119999
3,C3FDirect,16,16,16,10876.192,613,16,1,29,6435.764926084958,7128.191613777111,3649.7649260849557,3478.4266876921592,3065.0,603.0,80.0,0,0,C,248,147,0.30607940000481904
3,B,16,16,16,8286.585,413,16,1,27,5660.284262756137,5733.584536321147,3506.2842627561395,2227.3002735650075,2065.0,408.0,80.0,0,,,,,0.27566339998156764
3,C,16,16,16,12819.933,817,16,1,29,6580.236739197959,7843.93324881018,3649.236739197958,4194.6965096122285,4085.0,811.0,80.0,0,,,,,0.42088809999404475
4,Cplus3F,16,16,16,8436.652,393,16,1,27,6008.269466441594,6009.65192170493,3779.269466441596,2230.3824552633323,1965.0,382.0,80.0,0,0,B,0,0,0.49511570000322536
4,C3FDirect,16,16,16,10057.489,607,16,1,29,6376.478406671158,6360.489126859938,3643.478406671157,2717.0107201887836,3035.0,582.0,80.0,0,0,C,292,162,0.530188900011126
4,B,16,16,16,8436.652,393,16,1,27,6008.269466441594,6009.65192170493,3779.269466441596,2230.3824552633323,1965.0,382.0,80.0,0,,,,,0.4841692000045441
4,C,16,16,16,10609.137,601,16,1,29,6557.253332784398,6941.1369993826265,3661.2533327843953,3279.883666598233,3005.0,583.0,80.0,0,,,,,0.6283088000200223
5,Cplus3F,16,16,16,9016.891,395,16,1,27,5928.391996997609,6579.891284976088,3753.3919969976096,2826.4992879784777,1975.0,382.0,80.0,0,0,B,0,0,0.3151949000020977
5,C3FDirect,16,16,16,11428.668,632,16,1,29,6174.143983971737,7583.668032919342,3634.1439839717364,3949.524048947608,3160.0,605.0,80.0,0,0,C,316,178,0.625681400008034
5,B,16,16,16,9016.891,395,16,1,27,5928.391996997609,6579.891284976088,3753.3919969976096,2826.4992879784777,1975.0,382.0,80.0,0,,,,,0.45198129999334924
5,C,16,16,16,14644.839,1008,16,1,29,6658.592311877564,8522.839120623481,3630.5923118775618,4892.246808745925,5040.0,1002.0,80.0,0,,,,,0.7749258000112604
6,Cplus3F,16,16,16,9536.966,452,16,1,27,5716.584788697272,6758.966170241117,3591.5847886972742,3167.3813815438434,2260.0,438.0,80.0,0,0,B,0,0,0.5720866000046954
6,C3FDirect,16,16,16,11298.412,633,16,1,29,6443.344333020019,7427.411676543775,3731.3443330200184,3696.067343523755,3165.0,626.0,80.0,0,0,C,289,184,0.4425930999859702
6,B,16,16,16,9536.966,452,16,1,27,5716.584788697272,6758.966170241117,3591.5847886972742,3167.3813815438434,2260.0,438.0,80.0,0,,,,,0.5281640999892261
6,C,16,16,16,12266.238,715,16,1,29,6762.7957304284455,7912.23760051723,3711.795730428444,4200.441870088788,3575.0,699.0,80.0,0,,,,,0.6767417999799363
7,Cplus3F,16,16,16,9189.612,523,16,1,27,6314.620113236895,5972.611775365165,3754.6201132368983,2217.991662128268,2615.0,522.0,80.0,0,0,B,0,0,0.25222219998249784
