case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,wall_time_s
1,Cplus3F,16,16,16,10005.789,425,16,1,27,5904.761430316072,7405.78915060854,3753.761430316073,3652.027720292467,2125.0,395.0,80.0,0,0,B,0,0,0.6751137999817729
1,C3FDirect,16,16,16,8773.743,418,16,1,29,5343.643587051472,6218.743172960985,3295.643587051471,2923.099585909511,2090.0,385.0,80.0,0,0,C,309,88,0.5425696999882348
1,B,16,16,16,10005.789,425,16,1,27,5904.761430316072,7405.78915060854,3753.761430316073,3652.027720292467,2125.0,395.0,80.0,0,,,,,0.6497662999900058
1,C,16,16,16,9455.937,521,16,1,29,5688.008325599565,6265.936516294267,3321.0083255995646,2944.9281906947026,2605.0,505.0,80.0,0,,,,,0.6193802999914624
2,Cplus3F,16,16,16,9813.649,524,16,1,27,5991.865098608563,6599.648619964359,3755.8650986085645,2843.7835213557996,2620.0,514.0,80.0,0,0,B,0,0,0.7387803999881726
2,C3FDirect,16,16,16,7878.347,355,16,1,29,5548.402206012179,5691.347453764372,3571.4022060121774,2119.945247752196,1775.0,332.0,80.0,0,0,C,193,72,0.15412580000702292
2,B,16,16,16,9813.649,524,16,1,27,5991.865098608563,6599.648619964359,3755.8650986085645,2843.7835213557996,2620.0,514.0,80.0,0,,,,,0.6341645999928005
2,C,16,16,16,9282.275,472,16,1,29,5970.06309749389,6391.275164014083,3520.0630974938886,2871.2120665201946,2360.0,451.0,80.0,0,,,,,0.4571122000052128
3,Cplus3F,16,16,16,9622.171,520,16,1,27,6463.6056731391,6433.171252975474,4028.6056731391013,2404.5655798363737,2600.0,509.0,80.0,0,0,B,0,0,0.40253520000260323
3,C3FDirect,16,16,16,8340.593,397,16,1,29,5983.921589645369,5900.592797711582,3719.921589645367,2180.6712080662146,1985.0,375.0,80.0,0,0,C,167,64,0.16485639999154955
3,B,16,16,16,9622.171,520,16,1,27,6463.6056731391,6433.171252975474,4028.6056731391013,2404.5655798363737,2600.0,509.0,80.0,0,,,,,0.37971120001748204
3,C,16,16,16,9596.194,523,16,1,29,6380.493568684544,6402.193978875353,3659.493568684543,2742.7004101908124,2615.0,499.0,80.0,0,,,,,0.4799001000064891
4,Cplus3F,16,16,16,8814.408,397,16,1,27,6402.930098821243,6361.408087790856,4080.930098821242,2280.4779889696133,1985.0,388.0,80.0,0,0,B,0,0,0.20091889999457635
4,C3FDirect,16,16,16,9270.591,436,16,1,29,5570.691878829511,6598.591113554048,3439.691878829511,3158.8992347245344,2180.0,412.0,80.0,0,0,C,224,102,0.3558320000011008
4,B,16,16,16,8814.408,397,16,1,27,6402.930098821243,6361.408087790856,4080.930098821242,2280.4779889696133,1985.0,388.0,80.0,0,,,,,0.16058969998266548
4,C,16,16,16,10889.977,650,16,1,29,6245.392053572722,6923.976919200563,3404.3920535727216,3519.5848656278386,3250.0,636.0,80.0,0,,,,,0.5767255999962799
5,Cplus3F,16,16,16,10374.828,553,16,1,27,5933.786676770258,6991.827981482471,3776.7866767702603,3215.04130471221,2765.0,538.0,80.0,0,0,B,0,0,0.6389213999791536
5,C3FDirect,16,16,16,8734.524,408,16,1,29,5814.5893705316985,6227.523990512959,3734.5893705316985,2492.9346199812658,2040.0,387.0,80.0,0,0,C,245,102,0.30173189999186434
5,B,16,16,16,10374.828,553,16,1,27,5933.786676770258,6991.827981482471,3776.7866767702603,3215.04130471221,2765.0,538.0,80.0,0,,,,,0.6438089000002947
5,C,16,16,16,9550.506,536,16,1,29,6477.103251255934,6268.505508165085,3679.103251255935,2589.4022569091526,2680.0,522.0,80.0,0,,,,,0.3301264000183437
6,Cplus3F,16,16,16,8564.715,391,16,1,27,6146.211173130799,6150.715396961295,4028.2111731308014,2122.5042238304964,1955.0,379.0,80.0,0,0,B,0,0,0.3456251999887172
6,C3FDirect,16,16,16,7272.172,341,16,1,29,5301.2573569938295,5158.17153837422,3323.2573569938286,1834.9141813803922,1705.0,329.0,80.0,0,0,C,141,74,0.08278789999894798
6,B,16,16,16,8564.715,391,16,1,27,6146.211173130799,6150.715396961295,4028.2111731308014,2122.5042238304964,1955.0,379.0,80.0,0,,,,,0.3689148999983445
6,C,16,16,16,8141.259,484,16,1,29,5902.707633544463,5162.25926869765,3284.707633544463,1877.5516351531874,2420.0,479.0,80.0,0,,,,,0.23630479999701492
7,Cplus3F,16,16,16,8934.361,424,16,1,27,6149.431449072523,6312.361393870611,3760.431449072523,2551.9299447980898,2120.0,422.0,80.0,0,0,B,0,0,0.15112170000793412
7,C3FDirect,16,16,16,7970.172,387,16,1,29,5947.9803409424985,5580.172001949574,3724.9803409424985,1855.1916610070778,1935.0,375.0,80.0,0,0,C,157,67,0.22631790000014007
7,B,16,16,16,8934.361,424,16,1,27,6149.431449072523,6312.361393870611,3760.431449072523,2551.9299447980898,2120.0,422.0,80.0,0,,,,,0.12034130000392906
7,C,16,16,16,8776.863,451,16,1,29,6266.243638907836,6005.862909997417,3686.243638907833,2319.6192710895843,2255.0,436.0,80.0,0,,,,,0.39852560000144877
8,Cplus3F,16,16,16,9167.629,405,16,1,27,6150.8102357861635,6680.629049005048,3933.8102357861653,2746.8188132188857,2025.0,382.0,80.0,0,0,B,0,0,0.49380700002075173
