case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,wall_time_s
1,Cplus3F,15,15,15,8013.848,318,15,1,29,5473.132344940605,6045.848427473244,3695.132344940604,2350.7160825326428,1590.0,303.0,75.0,0,5,C,128,94,0.3315143999934662
1,C3FDirect,15,15,15,8013.848,318,15,1,29,5473.132344940605,6045.848427473244,3695.132344940604,2350.7160825326428,1590.0,303.0,75.0,0,5,C,128,94,0.312651599990204
1,B,15,15,15,8454.493,330,15,1,27,5940.871979393181,6408.492920225119,4081.871979393182,2326.620940831937,1650.0,321.0,75.0,0,,,,,0.46971199999097735
1,C,15,15,15,8783.744,316,15,1,29,5344.5264323263955,6832.743985978199,3629.5264323263946,3203.2175536518057,1580.0,296.0,75.0,0,,,,,0.4391998000210151
2,Cplus3F,10,10,10,7985.143,433,10,1,29,6226.189191231953,5346.14299704869,3734.189191231952,1611.9538058167373,2165.0,424.0,50.0,0,1,C,74,52,0.09876329998951405
2,C3FDirect,10,10,10,7985.143,433,10,1,29,6226.189191231953,5346.14299704869,3734.189191231952,1611.9538058167373,2165.0,424.0,50.0,0,1,C,74,52,0.0987324999878183
2,B,10,10,10,8465.141,456,10,1,27,6720.8719793931805,5689.141251823495,4081.871979393182,1607.2692724303124,2280.0,446.0,50.0,0,,,,,0.20980149999377318
2,C,10,10,10,8899.894,456,10,1,29,6219.96345213146,6128.893950987864,3653.9634521314583,2474.930498856405,2280.0,441.0,50.0,0,,,,,0.10813110001618043
3,Cplus3F,15,15,15,7495.132,316,15,1,29,5507.00321276767,5528.131565313054,3681.0032127676704,1847.128352545384,1580.0,312.0,75.0,0,4,C,106,80,0.1660723999957554
3,C3FDirect,15,15,15,7495.132,316,15,1,29,5507.00321276767,5528.131565313054,3681.0032127676704,1847.128352545384,1580.0,312.0,75.0,0,4,C,106,80,0.12839999998686835
3,B,15,15,15,9709.664,411,15,1,27,6208.62240386028,7190.6638716077605,4116.622403860282,3074.0414677474746,2055.0,389.0,75.0,0,,,,,0.5583482999936678
3,C,15,15,15,7994.553,321,15,1,29,5481.7703567213175,6000.552885847467,3653.7703567213175,2346.7825291261497,1605.0,314.0,75.0,0,,,,,0.29933040001196787
4,Cplus3F,11,11,11,7206.028,374,11,1,29,5948.662204589179,4910.028125761007,3714.662204589177,1195.3659211718298,1870.0,371.0,55.0,0,2,C,75,57,0.03763020000769757
4,C3FDirect,11,11,11,7206.028,374,11,1,29,5948.662204589179,4910.028125761007,3714.662204589177,1195.3659211718298,1870.0,371.0,55.0,0,2,C,75,57,0.0450284999969881
4,B,11,11,11,8674.731,416,11,1,27,6486.8719793931805,6130.730597701274,4081.871979393182,2048.858618308092,2080.0,409.0,55.0,0,,,,,0.21225219999905676
4,C,11,11,11,8167.033,405,11,1,29,5956.5264323263955,5691.0333005952625,3629.5264323263946,2061.5068682688693,2025.0,396.0,55.0,0,,,,,0.3863257000048179
5,Cplus3F,12,12,12,7500.708,364,12,1,29,5939.047422407791,5259.7082075490025,3755.0474224077902,1504.6607851412127,1820.0,361.0,60.0,0,1,C,74,43,0.10137320001376793
5,C3FDirect,12,12,12,7500.708,364,12,1,29,5939.047422407791,5259.7082075490025,3755.0474224077902,1504.6607851412127,1820.0,361.0,60.0,0,1,C,74,43,0.09623910000664182
5,B,12,12,12,8481.247,341,12,1,27,6128.672369365923,6379.247103960072,4145.672369365924,2233.5747345941504,1705.0,337.0,60.0,0,,,,,0.2561772000044584
5,C,12,12,12,8221.719,397,12,1,29,5990.373909857336,5790.7188627188825,3702.3739098573355,2088.34495286155,1985.0,386.0,60.0,0,,,,,0.35884030000306666
6,Cplus3F,12,12,12,7354.393,348,12,1,29,5797.95947397727,5212.393020179616,3726.959473977271,1485.433546202345,1740.0,342.0,60.0,0,2,C,93,52,0.1250278000079561
