case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,wall_time_s
1,Cplus3F,13,13,13,8000.826,361,13,1,29,5635.0823062105155,5776.826116278113,3659.082306210514,2117.7438100675963,1805.0,354.0,65.0,0,3,C,107,77,0.19134290001238696
1,C3FDirect,13,13,13,8000.826,361,13,1,29,5635.0823062105155,5776.826116278113,3659.082306210514,2117.7438100675963,1805.0,354.0,65.0,0,3,C,107,77,0.20163029999821447
1,B,13,13,13,8815.608,371,13,1,27,6225.3089423972,6530.608119103075,4085.308942397201,2445.2991767058747,1855.0,365.0,65.0,0,,,,,0.2618517999944743
1,C,13,13,13,8716.381,348,13,1,29,5578.5264323263955,6576.380744365638,3629.5264323263946,2946.854312039243,1740.0,335.0,65.0,0,,,,,0.40602590001071803
2,Cplus3F,10,10,10,8213.282,411,10,1,29,6032.37686557046,5704.282027792187,3696.3768655704584,2007.9051622217312,2055.0,404.0,50.0,0,2,C,64,40,0.21016670000972226
2,C3FDirect,10,10,10,8213.282,411,10,1,29,6032.37686557046,5704.282027792187,3696.3768655704584,2007.9051622217312,2055.0,404.0,50.0,0,2,C,64,40,0.19277429999783635
2,B,10,10,10,8355.64,391,10,1,27,6313.181554192147,5977.640386005823,4107.181554192149,1870.4588318136762,1955.0,373.0,50.0,0,,,,,0.41650590000790544
2,C,10,10,10,9137.471,454,10,1,29,6094.526432326396,6399.471090026848,3629.5264323263946,2769.94465770046,2270.0,418.0,50.0,0,,,,,0.4467327000165824
3,Cplus3F,14,14,14,8843.497,390,14,1,29,5693.09437667367,6467.4974908179865,3675.094376673669,2792.403114144318,1950.0,356.0,70.0,0,3,C,66,50,0.3679112000099849
3,C3FDirect,14,14,14,8843.497,390,14,1,29,5693.09437667367,6467.4974908179865,3675.094376673669,2792.403114144318,1950.0,356.0,70.0,0,3,C,66,50,0.39371940001728944
3,B,14,14,14,9469.437,359,14,1,27,5988.871979393181,7275.436891463016,4081.871979393182,3193.5649120698376,1795.0,329.0,70.0,0,,,,,0.6606358999852091
3,C,14,14,14,9403.988,393,14,1,29,5607.370546077941,7011.987690746806,3641.37054607794,3370.617144668867,1965.0,357.0,70.0,0,,,,,0.4574527999793645
4,Cplus3F,12,12,12,8239.628,422,12,1,29,6037.3892969396375,5665.627745268628,3665.3892969396366,2000.2384483289918,2110.0,404.0,60.0,0,2,C,82,51,0.2453135999967344
4,C3FDirect,12,12,12,8239.628,422,12,1,29,6037.3892969396375,5665.627745268628,3665.3892969396366,2000.2384483289918,2110.0,404.0,60.0,0,2,C,82,51,0.24911279999651015
4,B,12,12,12,8243.276,404,12,1,27,6452.325128897371,5768.276134684346,4110.3251288973715,1657.9510057869713,2020.0,395.0,60.0,0,,,,,0.333402299991576
4,C,12,12,12,9358.157,491,12,1,29,6257.310839534488,6361.156606128675,3643.3108395344866,2717.8457665941905,2455.0,482.0,60.0,0,,,,,0.34308220000821166
5,Cplus3F,13,13,13,8416.182,396,13,1,29,5817.07684469064,5993.1821653301295,3705.0768446906386,2288.1053206394927,1980.0,378.0,65.0,0,1,C,122,69,0.26987319998443127
5,C3FDirect,13,13,13,8416.182,396,13,1,29,5817.07684469064,5993.1821653301295,3705.0768446906386,2288.1053206394927,1980.0,378.0,65.0,0,1,C,122,69,0.266959600005066
5,B,13,13,13,7829.194,323,13,1,27,6110.876956208587,5831.194233125799,4208.876956208588,1622.317276917211,1615.0,318.0,65.0,0,,,,,0.1881324999849312
5,C,13,13,13,9208.385,488,13,1,29,6228.242984163503,6232.384903949971,3700.242984163502,2532.14191978647,2440.0,471.0,65.0,0,,,,,0.35634359999676235
6,Cplus3F,13,13,13,8128.059,365,13,1,29,5719.741766355048,5898.059261090051,3690.741766355048,2207.3174947350035,1825.0,340.0,65.0,0,5,C,66,57,0.32113520000712015
6,C3FDirect,13,13,13,8128.059,365,13,1,29,5719.741766355048,5898.059261090051,3690.741766355048,2207.3174947350035,1825.0,340.0,65.0,0,5,C,66,57,0.38107900001341477
6,B,13,13,13,8466.638,379,13,1,27,6254.98108235801,6147.637591258659,4128.98108235801,2018.656508900649,1895.0,359.0,65.0,0,,,,,0.33721619998686947
6,C,13,13,13,8360.559,393,13,1,29,5662.5264323263955,5959.559158972617,3629.5264323263946,2330.0327266462264,1965.0,371.0,65.0,0,,,,,0.5515371000219602
7,Cplus3F,16,16,16,7455.925,343,16,1,29,5411.3993990202935,5326.925249845991,3464.399399020293,1862.525850825697,1715.0,334.0,80.0,0,2,C,96,59,0.24438829999417067
7,C3FDirect,16,16,16,7455.925,343,16,1,29,5411.3993990202935,5326.925249845991,3464.399399020293,1862.525850825697,1715.0,334.0,80.0,0,2,C,96,59,0.21081660001073033
7,B,16,16,16,8077.055,358,16,1,27,5681.046719010199,5863.054747244903,3645.046719010201,2218.0080282347044,1790.0,344.0,80.0,0,,,,,0.3395369999925606
