case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,wall_time_s
1,Cplus3F,14,14,14,7409.547,283,14,1,29,5237.224046854911,5652.546767664868,3631.22404685491,2021.322720809958,1415.0,272.0,70.0,0,6,C,62,52,0.39791180001338944
1,C3FDirect,14,14,14,7409.547,283,14,1,29,5237.224046854911,5652.546767664868,3631.22404685491,2021.322720809958,1415.0,272.0,70.0,0,6,C,62,52,0.4525177000032272
1,B,14,14,14,8094.966,283,14,1,27,5717.0625834653,6334.965639330269,4129.062583465301,2205.903055864969,1415.0,275.0,70.0,0,,,,,0.2902035999868531
1,C,14,14,14,7337.083,276,14,1,29,5164.5264323263955,5622.083234774975,3629.5264323263946,1992.556802448581,1380.0,265.0,70.0,0,,,,,0.4247994000033941
2,Cplus3F,11,11,11,7327.272,375,11,1,29,5828.236745332904,5036.272426673676,3655.236745332904,1381.0356813407745,1875.0,361.0,55.0,0,3,C,51,52,0.2231063999934122
2,C3FDirect,11,11,11,7327.272,375,11,1,29,5828.236745332904,5036.272426673676,3655.236745332904,1381.0356813407745,1875.0,361.0,55.0,0,3,C,51,52,0.21802989998832345
2,B,11,11,11,8001.956,371,11,1,27,6264.131495585796,5723.9560799144,4082.131495585797,1641.8245843286038,1855.0,368.0,55.0,0,,,,,0.13722860001144
2,C,11,11,11,7472.689,375,11,1,29,5806.180581584338,5173.688898731702,3630.1805815843372,1543.508317147365,1875.0,369.0,55.0,0,,,,,0.24793260000296868
3,Cplus3F,16,16,16,5923.966,216,16,1,29,1490.3240373590138,4571.966180159039,874.324037359014,3697.642142800025,1080.0,192.0,80.0,0,9,C,73,104,0.6671113000193145
3,C3FDirect,16,16,16,5923.966,216,16,1,29,1490.3240373590138,4571.966180159039,874.324037359014,3697.642142800025,1080.0,192.0,80.0,0,9,C,73,104,0.6416781999869272
