case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,delayed_decision,probe_new,wall_time_s
1,Cplus3F,16,16,16,10507.411,525,16,1,27,6493.420263644547,7299.4110729408985,3994.420263644549,3304.9908092963483,2625.0,503.0,80.0,0,0,B,0,0,,,0.4684840999834705
1,C3FDirect,16,16,16,12624.667,687,16,1,29,6148.618991402316,8450.666732151845,3633.618991402317,4817.047740749532,3435.0,659.0,80.0,0,0,C,512,248,,,0.6659677000134252
1,DG_k1_t0,16,16,16,10769.406,545,16,1,27,6755.415447624986,7441.4062569213365,4136.415447624987,3304.9908092963483,2725.0,523.0,80.0,0,0,B,0,0,B,0,0.495260399999097
1,DG_k2_t0,16,16,16,12624.667,687,16,1,29,6148.618991402316,8450.666732151845,3633.618991402317,4817.047740749532,3435.0,659.0,80.0,0,0,C,512,248,C,1,0.7708981999894604
1,DG_k3_t0,16,16,16,12624.667,687,16,1,29,6148.618991402316,8450.666732151845,3633.618991402317,4817.047740749532,3435.0,659.0,80.0,0,0,C,512,248,C,2,0.757446900010109
1,DG_k3_t1,16,16,16,12624.667,687,16,1,29,6148.618991402316,8450.666732151845,3633.618991402317,4817.047740749532,3435.0,659.0,80.0,0,0,C,512,248,C,2,0.7554484999855049
1,DG_k5_t2,16,16,16,12624.667,687,16,1,29,6148.618991402316,8450.666732151845,3633.618991402317,4817.047740749532,3435.0,659.0,80.0,0,0,C,512,248,C,3,0.6597573999897577
2,Cplus3F,16,16,16,8364.92,334,16,1,27,5497.264298830264,6302.9196151216365,3706.2642988302664,2596.655316291372,1670.0,312.0,80.0,0,0,B,0,0,,,0.4637131000054069
2,C3FDirect,16,16,16,10670.775,558,16,1,29,6133.715673097168,7277.774818401303,3633.7156730971674,3644.0591453041384,2790.0,523.0,80.0,0,0,C,353,134,,,0.7593924000102561
2,DG_k1_t0,16,16,16,10670.775,558,16,1,29,6133.715673097168,7277.774818401303,3633.7156730971674,3644.0591453041384,2790.0,523.0,80.0,0,0,C,353,134,C,1,0.6996093000052497
2,DG_k2_t0,16,16,16,10670.775,558,16,1,29,6133.715673097168,7277.774818401303,3633.7156730971674,3644.0591453041384,2790.0,523.0,80.0,0,0,C,353,134,C,2,0.8153146000113338
2,DG_k3_t0,16,16,16,10670.775,558,16,1,29,6133.715673097168,7277.774818401303,3633.7156730971674,3644.0591453041384,2790.0,523.0,80.0,0,0,C,353,134,C,2,0.8482502000115346
2,DG_k3_t1,16,16,16,10670.775,558,16,1,29,6133.715673097168,7277.774818401303,3633.7156730971674,3644.0591453041384,2790.0,523.0,80.0,0,0,C,353,134,C,2,0.8441102000069804
2,DG_k5_t2,16,16,16,10019.644,429,16,1,27,7084.796152649604,7387.643525052168,4734.796152649605,2652.8473724025644,2145.0,407.0,80.0,0,0,B,4,3,B,2,0.4677067000011448
3,Cplus3F,16,16,16,9160.74,448,16,1,27,5807.532448440248,6394.74007087061,3621.5324484402477,2773.207622430362,2240.0,446.0,80.0,0,0,B,0,0,,,0.2956236000172794
3,C3FDirect,16,16,16,12192.242,725,16,1,29,6384.020179470273,7780.242367159064,3640.0201794702725,4140.222187688795,3625.0,707.0,80.0,0,0,C,334,254,,,0.8522724000213202
3,DG_k1_t0,16,16,16,12192.242,725,16,1,29,6384.020179470273,7780.242367159064,3640.0201794702725,4140.222187688795,3625.0,707.0,80.0,0,0,C,334,254,C,1,0.7223512000055052
3,DG_k2_t0,16,16,16,12192.242,725,16,1,29,6384.020179470273,7780.242367159064,3640.0201794702725,4140.222187688795,3625.0,707.0,80.0,0,0,C,334,254,C,1,0.8072501999849919
3,DG_k3_t0,16,16,16,12192.242,725,16,1,29,6384.020179470273,7780.242367159064,3640.0201794702725,4140.222187688795,3625.0,707.0,80.0,0,0,C,334,254,C,1,0.7726908999902662
3,DG_k3_t1,16,16,16,9831.636,504,16,1,27,6713.226057814339,6729.636166574257,4173.226057814338,2556.4101087599192,2520.0,502.0,80.0,0,0,B,0,2,B,1,0.35060050000902265
3,DG_k5_t2,16,16,16,12192.242,725,16,1,29,6384.020179470273,7780.242367159064,3640.0201794702725,4140.222187688795,3625.0,707.0,80.0,0,0,C,334,254,C,3,0.870329600002151
