case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,delayed_decision,probe_new,wall_time_s
1,Cplus3F,16,16,16,10007.772,527,16,1,27,6494.475712914696,6767.7718374911365,4141.4757129146965,2626.296124576439,2635.0,525.0,80.0,0,0,B,0,0,,,0.2880499000020791
1,C3FDirect,16,16,16,7498.242,352,16,1,29,5479.107074158353,5311.241677787647,3441.107074158351,1870.134603629296,1760.0,347.0,80.0,0,0,C,165,71,,,0.10251389999757521
1,DG_k1_t0,16,16,16,7498.242,352,16,1,29,5479.107074158353,5311.241677787647,3441.107074158351,1870.134603629296,1760.0,347.0,80.0,0,0,C,165,71,C,1,0.12141750002047047
1,DG_k2_t0,16,16,16,7498.242,352,16,1,29,5479.107074158353,5311.241677787647,3441.107074158351,1870.134603629296,1760.0,347.0,80.0,0,0,C,165,71,C,3,0.1348563999927137
1,DG_k3_t0,16,16,16,7498.242,352,16,1,29,5479.107074158353,5311.241677787647,3441.107074158351,1870.134603629296,1760.0,347.0,80.0,0,0,C,165,71,C,5,0.09753520000958815
1,DG_k3_t1,16,16,16,7498.242,352,16,1,29,5479.107074158353,5311.241677787647,3441.107074158351,1870.134603629296,1760.0,347.0,80.0,0,0,C,165,71,C,5,0.1524996999942232
1,DG_k5_t2,16,16,16,7498.242,352,16,1,29,5479.107074158353,5311.241677787647,3441.107074158351,1870.134603629296,1760.0,347.0,80.0,0,0,C,165,71,C,9,0.1251609000028111
2,Cplus3F,16,16,16,7910.066,332,16,1,27,5706.342060723042,5843.066388202204,3765.3420607230432,2077.7243274791576,1660.0,327.0,80.0,0,0,B,0,0,,,0.25880430001416244
2,C3FDirect,16,16,16,7297.401,342,16,1,29,5386.339289411498,5174.401293060891,3451.339289411498,1723.062003649392,1710.0,333.0,80.0,0,0,C,160,70,,,0.21149049999075942
2,DG_k1_t0,16,16,16,8172.062,352,16,1,27,5968.33724470348,5985.06157218264,3907.3372447034812,2077.7243274791576,1760.0,347.0,80.0,0,0,B,0,0,B,0,0.2710170999926049
2,DG_k2_t0,16,16,16,7297.401,342,16,1,29,5386.339289411498,5174.401293060891,3451.339289411498,1723.062003649392,1710.0,333.0,80.0,0,0,C,160,70,C,2,0.14887579999049194
2,DG_k3_t0,16,16,16,7297.401,342,16,1,29,5386.339289411498,5174.401293060891,3451.339289411498,1723.062003649392,1710.0,333.0,80.0,0,0,C,160,70,C,5,0.18677539998316206
2,DG_k3_t1,16,16,16,7297.401,342,16,1,29,5386.339289411498,5174.401293060891,3451.339289411498,1723.062003649392,1710.0,333.0,80.0,0,0,C,160,70,C,5,0.17488289999892004
2,DG_k5_t2,16,16,16,7297.401,342,16,1,29,5386.339289411498,5174.401293060891,3451.339289411498,1723.062003649392,1710.0,333.0,80.0,0,0,C,160,70,C,6,0.23677499999757856
3,Cplus3F,16,16,16,8592.228,411,16,1,27,5637.88867521164,6058.227769673054,3559.888675211642,2498.3390944614107,2055.0,399.0,80.0,0,0,B,0,0,,,0.3629570000048261
3,C3FDirect,16,16,16,6945.83,313,16,1,29,5077.191712749831,4999.830392222214,3290.1917127498305,1709.6386794723812,1565.0,301.0,80.0,0,0,C,105,64,,,0.12967619998380542
3,DG_k1_t0,16,16,16,8854.223,431,16,1,27,5899.883859192078,6200.222953653492,3701.88385919208,2498.3390944614107,2155.0,419.0,80.0,0,0,B,0,0,B,0,0.28174189999117516
3,DG_k2_t0,16,16,16,6945.83,313,16,1,29,5077.191712749831,4999.830392222214,3290.1917127498305,1709.6386794723812,1565.0,301.0,80.0,0,0,C,105,64,C,3,0.11686559999361634
3,DG_k3_t0,16,16,16,6945.83,313,16,1,29,5077.191712749831,4999.830392222214,3290.1917127498305,1709.6386794723812,1565.0,301.0,80.0,0,0,C,105,64,C,4,0.15891690002172254
3,DG_k3_t1,16,16,16,6945.83,313,16,1,29,5077.191712749831,4999.830392222214,3290.1917127498305,1709.6386794723812,1565.0,301.0,80.0,0,0,C,105,64,C,4,0.14102390001062304
3,DG_k5_t2,16,16,16,6945.83,313,16,1,29,5077.191712749831,4999.830392222214,3290.1917127498305,1709.6386794723812,1565.0,301.0,80.0,0,0,C,105,64,C,6,0.10480159998405725
4,Cplus3F,16,16,16,10238.405,534,16,1,27,6327.722974727982,6961.405200709613,3949.722974727984,3011.6822259816317,2670.0,527.0,80.0,0,0,B,0,0,,,0.415292399993632
4,C3FDirect,16,16,16,8146.81,393,16,1,29,5772.211645581557,5726.810197840134,3554.2116455815553,2172.598552258579,1965.0,375.0,80.0,0,0,C,177,60,,,0.46628469999996014
4,DG_k1_t0,16,16,16,8146.81,393,16,1,29,5772.211645581557,5726.810197840134,3554.2116455815553,2172.598552258579,1965.0,375.0,80.0,0,0,C,177,60,C,1,0.37463400000706315
4,DG_k2_t0,16,16,16,8146.81,393,16,1,29,5772.211645581557,5726.810197840134,3554.2116455815553,2172.598552258579,1965.0,375.0,80.0,0,0,C,177,60,C,1,0.4752642000094056
4,DG_k3_t0,16,16,16,8146.81,393,16,1,29,5772.211645581557,5726.810197840134,3554.2116455815553,2172.598552258579,1965.0,375.0,80.0,0,0,C,177,60,C,3,0.3872061999863945
4,DG_k3_t1,16,16,16,8146.81,393,16,1,29,5772.211645581557,5726.810197840134,3554.2116455815553,2172.598552258579,1965.0,375.0,80.0,0,0,C,177,60,C,3,0.3432078000041656
4,DG_k5_t2,16,16,16,8146.81,393,16,1,29,5772.211645581557,5726.810197840134,3554.2116455815553,2172.598552258579,1965.0,375.0,80.0,0,0,C,177,60,C,7,0.3727233000099659
5,Cplus3F,16,16,16,9203.155,468,16,1,27,6357.657762516692,6325.155470114984,3936.6577625166933,2388.497707598291,2340.0,458.0,80.0,0,0,B,0,0,,,0.30726199998753145
5,C3FDirect,16,16,16,8961.291,407,16,1,29,5444.440007674621,6458.290649375008,3405.4400076746215,3052.8506417003855,2035.0,388.0,80.0,0,0,C,183,95,,,0.22386179998284206
5,DG_k1_t0,16,16,16,8961.291,407,16,1,29,5444.440007674621,6458.290649375008,3405.4400076746215,3052.8506417003855,2035.0,388.0,80.0,0,0,C,183,95,C,1,0.29099280000082217
5,DG_k2_t0,16,16,16,8961.291,407,16,1,29,5444.440007674621,6458.290649375008,3405.4400076746215,3052.8506417003855,2035.0,388.0,80.0,0,0,C,183,95,C,3,0.22073760000057518
5,DG_k3_t0,16,16,16,8961.291,407,16,1,29,5444.440007674621,6458.290649375008,3405.4400076746215,3052.8506417003855,2035.0,388.0,80.0,0,0,C,183,95,C,4,0.2553208000026643
5,DG_k3_t1,16,16,16,8961.291,407,16,1,29,5444.440007674621,6458.290649375008,3405.4400076746215,3052.8506417003855,2035.0,388.0,80.0,0,0,C,183,95,C,4,0.20454370000516064
