case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,delayed_decision,probe_new,wall_time_s
1,Cplus3F,16,16,16,9769.903,501,16,1,27,6473.42634675777,6684.9031078509015,3987.426346757771,2697.4767610931285,2505.0,500.0,80.0,0,0,B,0,0,,,0.43047500000102445
1,DG_k1_t0,16,16,16,10031.898,521,16,1,27,6735.421530738209,6826.8982918313395,4129.421530738209,2697.4767610931285,2605.0,520.0,80.0,0,0,B,0,0,B,0,0.4789359999995213
1,DG_k3_t0,16,16,16,10681.597,561,16,1,27,7385.119956131861,7236.596717224991,4539.119956131861,2697.4767610931285,2805.0,560.0,80.0,0,0,B,0,0,B,0,0.5189091000065673
1,C3FDirect,16,16,16,10228.68,477,16,1,29,5457.570456210302,7301.679684270259,3269.570456210301,4032.1092280599605,2385.0,462.0,80.0,0,0,C,345,129,,,0.46147569999448024
1,B,16,16,16,9769.903,501,16,1,27,6473.42634675777,6684.9031078509015,3987.426346757771,2697.4767610931285,2505.0,500.0,80.0,0,,,,,,,0.4087009000068065
1,C,16,16,16,12305.701,712,16,1,29,5871.570456210302,7965.701356201811,3269.570456210301,4696.130899991514,3560.0,700.0,80.0,0,,,,,,,0.4562286000000313
2,Cplus3F,16,16,16,8332.967,393,16,1,27,6076.9345969977885,5909.967310911922,3824.93459699779,2085.0327139141305,1965.0,378.0,80.0,0,0,B,0,0,,,0.3364931000105571
2,DG_k1_t0,16,16,16,8594.962,413,16,1,27,6338.929780978227,6051.96249489236,3966.929780978228,2085.0327139141305,2065.0,398.0,80.0,0,0,B,0,0,B,0,0.3086957999912556
2,DG_k3_t0,16,16,16,10677.719,561,16,1,29,6371.253024541147,7250.719148042913,3664.2530245411467,3586.466123501768,2805.0,542.0,80.0,0,0,C,201,109,C,1,0.5238450999895576
2,C3FDirect,16,16,16,10677.719,561,16,1,29,6371.253024541147,7250.719148042913,3664.2530245411467,3586.466123501768,2805.0,542.0,80.0,0,0,C,201,109,,,0.3611959000118077
2,B,16,16,16,8332.967,393,16,1,27,6076.9345969977885,5909.967310911922,3824.93459699779,2085.0327139141305,1965.0,378.0,80.0,0,,,,,,,0.34286779997637495
2,C,16,16,16,11337.679,648,16,1,29,6627.075804028986,7383.679058126751,3661.0758040289857,3722.6032540977685,3240.0,634.0,80.0,0,,,,,,,0.4916497999802232
3,Cplus3F,16,16,16,9685.413,423,16,1,27,6072.701711192841,7082.413111625492,3977.7017111928417,3104.7114004326513,2115.0,408.0,80.0,0,0,B,0,0,,,0.49697720000403933
3,DG_k1_t0,16,16,16,9947.408,443,16,1,27,6334.69689517328,7224.40829560593,4119.69689517328,3104.7114004326513,2215.0,428.0,80.0,0,0,B,0,0,B,0,0.4214902000094298
3,DG_k3_t0,16,16,16,11242.951,588,16,1,29,5821.104414330211,7660.951405036854,3328.1044143302106,4332.846990706647,2940.0,562.0,80.0,0,0,C,297,149,C,1,0.5932902000204194
3,C3FDirect,16,16,16,11242.951,588,16,1,29,5821.104414330211,7660.951405036854,3328.1044143302106,4332.846990706647,2940.0,562.0,80.0,0,0,C,297,149,,,0.571373799990397
3,B,16,16,16,9685.413,423,16,1,27,6072.701711192841,7082.413111625492,3977.7017111928417,3104.7114004326513,2115.0,408.0,80.0,0,,,,,,,0.47870700000203215
3,C,16,16,16,12763.325,838,16,1,29,6199.112307978604,7668.325443193566,3328.112307978604,4340.213135214964,4190.0,825.0,80.0,0,,,,,,,0.7219542000093497
4,Cplus3F,16,16,16,6343.83,280,16,1,27,4325.152234958299,4598.829651327176,2746.1522349583006,1852.6774163688747,1400.0,265.0,80.0,0,0,B,0,0,,,0.504010600008769
4,DG_k1_t0,16,16,16,6605.825,300,16,1,27,4587.147418938739,4740.824835307613,2888.1474189387386,1852.6774163688747,1500.0,285.0,80.0,0,0,B,0,0,B,0,0.39632269999128766
4,DG_k3_t0,16,16,16,9495.646,568,16,1,29,6153.065668763158,6013.646391086349,3525.065668763158,2488.58072232319,2840.0,562.0,80.0,0,0,C,287,151,C,2,0.5805180000024848
4,C3FDirect,16,16,16,9495.646,568,16,1,29,6153.065668763158,6013.646391086349,3525.065668763158,2488.58072232319,2840.0,562.0,80.0,0,0,C,287,151,,,0.5854617999866605
4,B,16,16,16,6343.83,280,16,1,27,4325.152234958299,4598.829651327176,2746.1522349583006,1852.6774163688747,1400.0,265.0,80.0,0,,,,,,,0.3985439999960363
4,C,16,16,16,9142.077,564,16,1,29,6417.601335025395,5689.077066667192,3518.6013350253957,2170.475731641796,2820.0,553.0,80.0,0,,,,,,,0.49576109999907203
5,Cplus3F,16,16,16,9387.768,501,16,1,27,6276.944821041597,6319.767850742174,3745.9448210415985,2573.8230297005757,2505.0,483.0,80.0,0,0,B,0,0,,,0.6896848999895155
5,DG_k1_t0,16,16,16,9649.763,521,16,1,27,6538.940005022036,6461.763034722613,3887.9400050220365,2573.8230297005757,2605.0,503.0,80.0,0,0,B,0,0,B,0,0.43588940001791343
5,DG_k3_t0,16,16,16,10299.461,561,16,1,27,7188.638430415687,6871.461460116265,4297.638430415688,2573.8230297005757,2805.0,543.0,80.0,0,0,B,0,0,B,0,0.6684248000092339
5,C3FDirect,16,16,16,11194.683,602,16,1,29,6364.820993428429,7522.68258924408,3633.8209934284278,3888.861595815652,3010.0,582.0,80.0,0,0,C,260,140,,,0.5119198000174947
5,B,16,16,16,9387.768,501,16,1,27,6276.944821041597,6319.767850742174,3745.9448210415985,2573.8230297005757,2505.0,483.0,80.0,0,,,,,,,0.6122036000015214
5,C,16,16,16,12536.15,810,16,1,29,6802.38052074161,7600.149537886361,3630.380520741609,3969.769017144752,4050.0,806.0,80.0,0,,,,,,,0.6149643000098877
6,Cplus3F,16,16,16,8319.236,392,16,1,27,4896.017851415041,5899.236348068822,3075.017851415042,2824.2184966537807,1960.0,380.0,80.0,0,0,B,0,0,,,0.4726432000170462
6,DG_k1_t0,16,16,16,9881.009,507,16,1,29,5592.083517308597,6779.008973454867,3291.083517308595,3487.925456146275,2535.0,487.0,80.0,0,0,C,272,132,C,1,0.5270658000081312
