case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,origin_discoveries,selected_route,pruned_observations,coobservations,delayed_decision,probe_new,wall_time_s
1,Cplus3F,16,16,16,8519.955,409,16,1,27,6288.543707660408,5998.954612811756,3970.5437076604103,2028.4109051513478,2045.0,396.0,80.0,0,0,B,0,0,,,0.1635457999946084
1,DG_k1_t0,16,16,16,8781.95,429,16,1,27,6550.5388916408465,6140.949796792194,4112.538891640848,2028.4109051513478,2145.0,416.0,80.0,0,0,B,0,0,B,0,0.1711733000120148
1,DG_k3_t0,16,16,16,7253.882,323,16,1,29,4329.352503822098,5248.882260011219,2763.3525038220982,2485.5297561891225,1615.0,310.0,80.0,0,0,C,225,77,C,3,0.5906788999855053
1,C3FDirect,16,16,16,7253.882,323,16,1,29,4329.352503822098,5248.882260011219,2763.3525038220982,2485.5297561891225,1615.0,310.0,80.0,0,0,C,225,77,,,0.6446039000002202
1,B,16,16,16,8519.955,409,16,1,27,6288.543707660408,5998.954612811756,3970.5437076604103,2028.4109051513478,2045.0,396.0,80.0,0,,,,,,,0.1901765999791678
1,C,16,16,16,8726.664,468,16,1,29,4763.843277844185,5857.664189450091,2726.8432778441843,3130.8209116059134,2340.0,449.0,80.0,0,,,,,,,1.0054993999947328
2,Cplus3F,16,16,16,8358.27,406,16,1,27,6142.711528011466,5854.269604849821,3943.711528011467,1910.5580768383547,2030.0,394.0,80.0,0,0,B,0,0,,,0.324981600017054
2,DG_k1_t0,16,16,16,8237.699,355,16,1,29,4622.603036350709,6044.698805143739,2960.6030363507107,3084.0957687930268,1775.0,338.0,80.0,0,0,C,224,115,C,3,0.5298588000005111
2,DG_k3_t0,16,16,16,8237.699,355,16,1,29,4622.603036350709,6044.698805143739,2960.6030363507107,3084.0957687930268,1775.0,338.0,80.0,0,0,C,224,115,C,8,0.5059759999858215
2,C3FDirect,16,16,16,8237.699,355,16,1,29,4622.603036350709,6044.698805143739,2960.6030363507107,3084.0957687930268,1775.0,338.0,80.0,0,0,C,224,115,,,0.5211215000017546
