case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,wall_time_s
1,L950_C1,13,13,13,12481.973,309,13,1,31,0.2593388999812305
1,L950_C2,13,13,13,10343.953,332,13,1,31,0.11104269998031668
1,L1000_C1,13,13,13,13542.412,305,13,1,31,0.2498316999990493
1,L1000_C2,13,13,13,12077.059,360,13,1,31,0.22021080000558868
1,L1050_C1,13,13,13,13628.776,313,13,1,31,0.36763510000309907
1,L1050_C2,13,13,13,11366.365,340,13,1,31,0.1780752000049688
1,L1100_C1,13,13,13,8350.073,214,13,1,19,0.2167974000039976
1,L1100_C2,13,13,13,7853.974,260,13,1,19,0.2362004999886267
1,L1200_C1,13,13,13,8386.434,214,13,1,19,0.2422552999923937
1,L1200_C2,13,13,13,8554.522,263,13,1,19,0.2431442999804858
2,L950_C1,12,12,12,11787.625,347,12,1,31,0.40248950000386685
2,L950_C2,12,12,12,10560.383,367,12,1,31,0.17148369998903945
2,L1000_C1,12,12,12,12347.116,339,12,1,31,0.23831119999522343
2,L1000_C2,12,12,12,11597.649,411,12,1,31,0.19318119998206384
2,L1050_C1,12,12,12,12953.645,351,12,1,31,0.3056260999874212
2,L1050_C2,12,12,12,12403.259,418,12,1,31,0.2694973000034224
2,L1100_C1,12,12,12,9055.313,255,12,1,19,0.40965529999812134
2,L1100_C2,12,12,12,7889.808,275,12,1,19,0.2108726000005845
2,L1200_C1,12,12,12,9746.325,248,12,1,19,0.2366838000016287
2,L1200_C2,12,12,12,8469.75,307,12,1,19,0.26499429999967106
3,L950_C1,14,14,14,13207.655,315,14,1,31,0.29749460000311956
3,L950_C2,14,14,14,10432.3,317,14,1,31,0.1781213999784086
3,L1000_C1,14,14,14,13175.54,316,14,1,31,0.2800152999989223
3,L1000_C2,14,14,14,11300.215,332,14,1,31,0.20676500000990927
3,L1050_C1,14,14,14,12754.224,304,14,1,31,0.24001510001835413
3,L1050_C2,14,14,14,11249.12,321,14,1,31,0.246274800010724
3,L1100_C1,14,14,14,9150.721,238,14,1,19,0.3107787999906577
3,L1100_C2,14,14,14,7631.505,258,14,1,19,0.22655110000050627
3,L1200_C1,14,14,14,9666.682,235,14,1,19,0.2706056000024546
3,L1200_C2,14,14,14,8872.663,296,14,1,19,0.36531260001356713
4,L950_C1,14,14,14,11486.744,261,14,1,31,0.268872199987527
4,L950_C2,14,14,14,11093.557,311,14,1,31,0.3782118000090122
4,L1000_C1,14,14,14,12488.237,271,14,1,31,0.2705691000155639
4,L1000_C2,14,14,14,11079.549,303,14,1,31,0.2792176000075415
4,L1050_C1,14,14,14,12579.14,275,14,1,31,0.3656302000163123
4,L1050_C2,14,14,14,11271.08,291,14,1,31,0.2052481999853626
4,L1100_C1,14,14,14,9197.977,199,14,1,19,0.3458156999840867
4,L1100_C2,14,14,14,7697.107,240,14,1,19,0.25719029997708276
4,L1200_C1,14,14,14,9244.146,193,14,1,19,0.23341089999303222
4,L1200_C2,14,14,14,8382.474,250,14,1,19,0.2605080000066664
5,L950_C1,14,14,14,12476.073,307,14,1,31,0.3113450999953784
5,L950_C2,14,14,14,10013.909,301,14,1,31,0.20378009998239577
5,L1000_C1,14,14,14,14542.71,301,14,1,31,0.3083312999806367
5,L1000_C2,14,14,14,11249.23,319,14,1,31,0.34350620000623167
5,L1050_C1,14,14,14,12977.819,295,14,1,31,0.3095659000100568
5,L1050_C2,14,14,14,10680.502,299,14,1,31,0.20173590001650155
5,L1100_C1,14,14,14,8924.354,212,14,1,19,0.3089994000038132
5,L1100_C2,14,14,14,7183.241,229,14,1,19,0.1977846999943722
5,L1200_C1,14,14,14,9596.099,227,14,1,19,0.3714994000038132
5,L1200_C2,14,14,14,8284.968,243,14,1,19,0.30207590002100915
6,L950_C1,14,14,14,12240.543,322,14,1,31,0.2818355000053998
6,L950_C2,14,14,14,11160.177,369,14,1,31,0.16476929999771528
6,L1000_C1,14,14,14,13506.591,336,14,1,31,0.39286260001244955
6,L1000_C2,14,14,14,11726.767,365,14,1,31,0.33366569998906925
6,L1050_C1,14,14,14,13039.64,307,14,1,31,0.23676639999030158
6,L1050_C2,14,14,14,12710.645,428,14,1,31,0.2695669000095222
6,L1100_C1,14,14,14,9784.053,237,14,1,19,0.223237899976084
6,L1100_C2,14,14,14,8179.212,271,14,1,19,0.23676979998708703
6,L1200_C1,14,14,14,10294.33,234,14,1,19,0.22672179999062791
6,L1200_C2,14,14,14,9097.355,303,14,1,19,0.37601780000841245
7,L950_C1,12,12,12,12558.994,338,12,1,31,0.24278219998814166
7,L950_C2,12,12,12,10336.541,324,12,1,31,0.14837539999280125
7,L1000_C1,12,12,12,13028.72,332,12,1,31,0.18996530000003986
7,L1000_C2,12,12,12,11252.991,340,12,1,31,0.2519596000202
7,L1050_C1,12,12,12,13233.849,333,12,1,31,0.204772299999604
7,L1050_C2,12,12,12,11074.795,325,12,1,31,0.13023139999131672
7,L1100_C1,12,12,12,10067.265,238,12,1,19,0.23668000000179745
7,L1100_C2,12,12,12,7362.733,237,12,1,19,0.17815750002046116
7,L1200_C1,12,12,12,9098.246,232,12,1,19,0.19513229999574833
7,L1200_C2,12,12,12,8035.975,272,12,1,19,0.19348960000206716
8,L950_C1,11,11,11,12875.756,395,11,1,31,0.18286580001586117
8,L950_C2,11,11,11,10807.004,421,11,1,31,0.15859189999173395
8,L1000_C1,11,11,11,12988.982,391,11,1,31,0.20733020000625402
8,L1000_C2,11,11,11,11332.636,416,11,1,31,0.20263949999934994
8,L1050_C1,11,11,11,13250.284,386,11,1,31,0.20867870000074618
8,L1050_C2,11,11,11,11730.125,432,11,1,31,0.19742040001438
8,L1100_C1,11,11,11,9043.495,269,11,1,19,0.1910312999971211
8,L1100_C2,11,11,11,7730.626,296,11,1,19,0.24467609997373074
8,L1200_C1,11,11,11,10992.355,288,11,1,19,0.30600839998805895
8,L1200_C2,11,11,11,8610.076,313,11,1,19,0.404801700002281
9,L950_C1,10,10,10,11572.791,383,10,1,31,0.17973879998316988
9,L950_C2,10,10,10,10102.681,386,10,1,31,0.09481599999708124
9,L1000_C1,10,10,10,12479.326,405,10,1,31,0.3760273999942001
9,L1000_C2,10,10,10,10955.66,392,10,1,31,0.08740180000313558
9,L1050_C1,10,10,10,12836.912,392,10,1,31,0.1957340000080876
9,L1050_C2,10,10,10,11634.004,429,10,1,31,0.16608530000667088
