case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,wall_time_s
1,ShiftB,10,10,10,9161.359,388,10,1,28,7484.331263656158,6790.35942358591,5236.331263656158,1554.0281599297537,1940.0,381.0,50.0,0,0.49755570001434535
1,Grid26A,10,10,10,11382.851,469,10,1,26,7072.416343152875,8532.851410681902,4824.416343152874,3708.4350675290293,2345.0,455.0,50.0,0,0.7432484999881126
1,Grid26B,10,10,10,9231.378,345,10,1,26,6932.7322820581585,7114.3780547094675,4919.732282058159,2194.645772651307,1725.0,342.0,50.0,0,0.22541460001957603
1,Grid26C,10,10,10,9792.936,393,10,1,26,7006.4666766616365,7399.936451125377,4860.466676661636,2539.46977446374,1965.0,378.0,50.0,0,0.273148600012064
1,Insert28,10,10,10,9891.701,406,10,1,28,7771.1189286996505,7415.700749947802,5423.1189286996505,1992.5818212481522,2030.0,396.0,50.0,0,0.9469429999880958
1,Insert26,10,10,10,9948.536,366,10,1,26,7269.624026607756,7727.536406242156,5204.624026607755,2522.912379634403,1830.0,341.0,50.0,0,1.594043999997666
1,ClearEarly28,10,10,10,9405.57,445,10,1,28,7802.331263656158,6687.5696542563965,5236.331263656158,1451.2383906002399,2225.0,443.0,50.0,0,0.28946129998075776
2,ShiftB,10,10,10,9604.364,365,10,1,28,7332.736514974659,7370.363928360764,5233.736514974659,2136.6274133861043,1825.0,359.0,50.0,0,0.5219977000087965
2,Grid26A,10,10,10,10598.775,400,10,1,26,7025.038645946024,8172.775008389067,4824.038645946023,3348.736362443043,2000.0,376.0,50.0,0,0.6634690999926534
2,Grid26B,10,10,10,9506.675,357,10,1,26,6883.457968919034,7321.674706854176,4838.457968919035,2483.216737935141,1785.0,350.0,50.0,0,0.34827149999910034
2,Grid26C,10,10,10,9745.564,346,10,1,26,6768.487833704979,7634.564312206114,4831.487833704978,2803.0764785011356,1730.0,331.0,50.0,0,0.5424943000252824
2,Insert28,10,10,10,10007.364,395,10,1,28,7765.661189622837,7612.364378080311,5541.661189622837,2070.703188457477,1975.0,370.0,50.0,0,2.5937625999795273
2,Insert26,10,10,10,10408.34,364,10,1,26,6968.697393094721,8196.339607430444,4976.697393094722,3219.6422143357213,1820.0,342.0,50.0,0,2.784851100004744
2,ClearEarly28,10,10,10,10677.553,480,10,1,28,7806.798047352967,7769.553199519172,5264.798047352966,2504.7551521662094,2400.0,458.0,50.0,0,0.9416490999865346
3,ShiftB,12,12,12,9888.082,349,12,1,28,7173.835276878108,7753.082266648955,5237.835276878108,2515.2469897708484,1745.0,330.0,60.0,0,0.8206807999813464
3,Grid26A,12,12,12,11168.08,322,12,1,26,6569.038645946024,9193.079538960454,4824.038645946023,4369.040893014432,1610.0,305.0,60.0,0,0.504231200000504
3,Grid26B,12,12,12,10441.89,348,12,1,26,6613.457968919034,8308.889691147926,4838.457968919035,3470.4317222288932,1740.0,333.0,60.0,0,0.7451029999938328
