case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,wall_time_s
1,L1100_C2,11,11,11,8325.697,321,11,1,19,5579.0,6362.696937449206,3960.0,2402.696937449208,1605.0,303.0,55.0,0,0.36494209998636506
1,L1100I3,11,11,11,10127.206,349,11,1,22,5886.073721354744,8012.205946447638,4135.073721354744,3877.132225092896,1745.0,315.0,55.0,0,0.4590062999923248
1,H8,11,11,11,9359.629,462,11,1,31,6759.749802523321,6549.628660892823,4276.749802523322,2272.878858369502,2310.0,445.0,55.0,0,1.9688218999945093
2,L1100_C2,10,10,10,7473.878,278,10,1,19,5573.0,5757.878195361452,3960.0,1797.8781953614516,1390.0,276.0,50.0,0,0.17677430002368055
2,L1100I3,10,10,10,8181.095,341,10,1,22,6114.073721354744,6089.094705137994,4135.073721354744,1954.0209837832485,1705.0,337.0,50.0,0,0.16077319998294115
2,H8,10,10,10,9042.02,460,10,1,31,6974.344307708315,6239.020459349569,4282.344307708316,1956.6761516412562,2300.0,453.0,50.0,0,1.752748899976723
3,L1100_C2,12,12,12,7790.597,308,12,1,19,5603.0,5892.597169400427,3960.0,1932.597169400428,1540.0,298.0,60.0,0,0.29365239999606274
3,L1100I3,12,12,12,8338.943,351,12,1,22,5958.073721354744,6183.943434841662,4135.073721354744,2048.8697134869203,1755.0,340.0,60.0,0,0.32156869999016635
3,H8,12,12,12,9131.686,409,12,1,31,6609.749802523321,6626.685923299618,4276.749802523322,2349.936120776297,2045.0,400.0,60.0,0,2.015693099994678
4,L1100_C2,10,10,10,7629.588,291,10,1,19,5618.837225013423,5847.588030687722,4000.8372250134234,1846.7508056742988,1455.0,277.0,50.0,0,0.3414162000117358
4,L1100I3,10,10,10,7924.012,326,10,1,22,5940.073721354744,5934.012130899736,4135.073721354744,1798.9384095449948,1630.0,310.0,50.0,0,0.4212315999902785
4,H8,10,10,10,8758.253,428,10,1,31,6723.749802523321,6155.252712464043,4276.749802523322,1878.5029099407232,2140.0,413.0,50.0,0,2.00421839999035
5,L1100_C2,15,15,15,7716.72,228,15,1,19,5099.0,6297.720145628613,3960.0,2337.720145628614,1140.0,204.0,75.0,0,0.7252000000153203
5,L1100I3,15,15,15,9531.955,258,15,1,22,5436.073721354744,7935.955263552137,4135.073721354744,3800.8815421973964,1290.0,231.0,75.0,0,0.6085426000063308
5,H8,15,15,15,8829.854,378,15,1,31,6447.217830906278,6494.853686973571,4295.217830906278,2199.6358560672934,1890.0,370.0,75.0,0,2.215570200001821
6,L1100_C2,16,16,16,7778.595,240,16,1,19,4939.0,6279.594557180245,3740.0,2539.594557180252,1200.0,219.0,80.0,0,0.5719570999790449
6,L1100I3,16,16,16,7978.552,256,16,1,22,5543.0651982140225,6377.5516242908525,4153.0651982140225,2224.486426076833,1280.0,241.0,80.0,0,0.4429738000035286
6,H8,16,16,16,8786.848,373,16,1,31,6007.164426503574,6479.847990853147,3926.164426503574,2553.6835643495715,1865.0,362.0,80.0,0,2.205634799989639
7,L1100_C2,13,13,13,7672.762,257,13,1,19,5423.0,6070.762227553916,3960.0,2110.7622275539165,1285.0,252.0,65.0,0,0.19017149999854155
