case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,wall_time_s
1,L950_C2,15,15,15,10499.905,319,15,1,31,8224.448267190432,8514.905355696359,6395.448267190432,2119.4570885059275,1595.0,315.0,75.0,0,0.26592480001272634
2,L950_C2,10,10,10,10521.207,414,10,1,31,8790.204211259801,7992.207442118292,6336.2042112598,1656.0032308584937,2070.0,409.0,50.0,0,0.16559669998241588
3,L950_C2,12,12,12,10147.497,321,12,1,31,8248.448267190432,8163.496595731828,6395.448267190432,1768.0483285413952,1605.0,319.0,60.0,0,0.2108812999795191
4,L950_C2,15,15,15,10068.872,293,15,1,31,8087.817528833359,8242.871825766362,6399.817528833359,1843.0542969330056,1465.0,286.0,75.0,0,0.28047649998916313
5,L950_C2,13,13,13,10183.499,320,13,1,31,8261.465602396243,8199.498688433629,6397.465602396243,1802.033086037387,1600.0,319.0,65.0,0,0.1820741999836173
6,L950_C2,12,12,12,10516.273,334,12,1,31,8320.686158582408,8467.272716497962,6439.686158582407,2027.5865579155534,1670.0,319.0,60.0,0,0.30427429999690503
7,L950_C2,12,12,12,10761.992,363,12,1,31,8477.313010736661,8532.991697896397,6398.313010736661,2134.678687159733,1815.0,354.0,60.0,0,0.2515711000014562
8,L950_C2,13,13,13,10206.338,329,13,1,31,8354.734478115482,8171.338248264704,6437.734478115482,1733.6037701492237,1645.0,325.0,65.0,0,0.12975610001012683
9,L950_C2,12,12,12,10421.709,339,12,1,31,8361.059932580956,8339.708956221013,6432.059932580956,1907.6490236400568,1695.0,327.0,60.0,0,0.29246329999295995
10,L950_C2,15,15,15,10662.913,318,15,1,31,8254.5337127866,8685.91274810582,6421.533712786602,2264.379035319216,1590.0,312.0,75.0,0,0.23288239998510107
11,L950_C2,16,16,16,5242.064,193,16,1,31,2879.541489517005,4020.0643632441006,2048.541489517005,1971.5228737270952,965.0,177.0,80.0,0,0.4281214000075124
12,L950_C2,16,16,16,6048.628,181,16,1,31,3600.00708129301,4895.628114249088,2660.00708129301,2235.6210329560777,905.0,168.0,80.0,0,0.43924139998853207
13,L950_C2,12,12,12,10489.553,342,12,1,31,8290.448267190432,8394.553192667487,6395.448267190432,1999.1049254770544,1710.0,325.0,60.0,0,0.39620909999939613
14,L950_C2,15,15,15,10102.488,265,15,1,31,7906.354583513186,8446.488241029163,6420.354583513186,2026.1336575159742,1325.0,256.0,75.0,0,0.31667970001581125
15,L950_C2,12,12,12,10627.243,332,12,1,31,8278.921661512017,8588.242645222028,6402.921661512018,2185.32098371001,1660.0,319.0,60.0,0,0.34525610000127926
16,L950_C2,12,12,12,9895.238,358,12,1,31,8573.873858222807,7694.237651680585,6495.873858222807,1198.3637934577775,1790.0,351.0,60.0,0,0.24670239997794852
17,L950_C2,16,16,16,6335.091,197,16,1,31,4340.213922196696,5075.091003713076,3232.2139221966963,1842.8770815163798,985.0,195.0,80.0,0,0.3027431000082288
18,L950_C2,10,10,10,11184.651,445,10,1,31,8992.448267190432,8468.650691120054,6395.448267190432,2073.202423929622,2225.0,441.0,50.0,0,0.14940640001441352
19,L950_C2,11,11,11,11009.718,402,11,1,31,8698.448267190432,8551.717742616076,6395.448267190432,2156.269475425647,2010.0,393.0,55.0,0,0.30646559997694567
20,L950_C2,14,14,14,11084.289,348,14,1,31,8290.448267190432,8946.288815890748,6395.448267190432,2550.840548700317,1740.0,328.0,70.0,0,0.6065081000269856
21,L950_C2,12,12,12,10752.516,369,12,1,31,8499.729013872458,8489.516139104362,6395.729013872458,2093.7871252319023,1845.0,358.0,60.0,0,0.30933249997906387
22,L950_C2,10,10,10,10813.333,396,10,1,31,8674.448267190432,8396.332750822421,6395.448267190432,2000.8844836319868,1980.0,387.0,50.0,0,0.18939810001756996
23,L950_C2,12,12,12,10386.641,343,12,1,31,8374.448267190432,8275.64089176709,6395.448267190432,1880.192624576661,1715.0,336.0,60.0,0,0.23150840000016615
24,L950_C2,13,13,13,10402.531,330,13,1,31,8336.009693624379,8368.530582874646,6467.00969362438,1901.5208892502649,1650.0,319.0,65.0,0,0.3411963999969885
25,L950_C2,13,13,13,10855.708,327,13,1,31,8229.566626888627,8840.707910628029,6395.566626888627,2445.1412837393987,1635.0,315.0,65.0,0,0.2695368000131566
26,L950_C2,12,12,12,12162.765,413,12,1,31,8583.331155892993,9664.764909849144,6401.331155892993,3263.433753956154,2065.0,373.0,60.0,0,0.4174170999904163
27,L950_C2,16,16,16,6570.063,189,16,1,31,3857.0,5365.062719997642,2850.0,2515.062719997644,945.0,180.0,80.0,0,0.33378459999221377
