seed,case,strategy,source_count,directional_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,cleared_directional,all_cleared,search_sites,decision_wall_time_s
20260918,1,Q3_Jplus_direct,12,6,9,9,3427.422,143,9,3,0,8,0.078602
20260918,1,Q4_fast_1100_C2,12,6,12,12,7262.79,262,12,6,1,19,0.311294
20260918,2,Q3_Jplus_direct,13,6,12,12,4378.461,137,12,5,0,8,0.155941
20260918,2,Q4_fast_1100_C2,13,6,13,13,8362.186,289,13,6,1,19,0.370972
20260918,3,Q3_Jplus_direct,11,6,10,10,3807.376,128,10,5,0,8,0.113183
20260918,3,Q4_fast_1100_C2,11,6,11,11,7257.216,260,11,6,1,19,0.212226
20260918,4,Q3_Jplus_direct,12,6,10,9,4132.457,149,9,3,0,8,0.095912
20260918,4,Q4_fast_1100_C2,12,6,12,12,7532.9,284,12,6,1,19,0.179705
20260918,5,Q3_Jplus_direct,13,6,12,10,4089.091,131,10,3,0,8,0.104395
20260918,5,Q4_fast_1100_C2,13,6,13,13,7397.789,267,13,6,1,19,0.185903
20260918,6,Q3_Jplus_direct,16,8,16,15,4579.308,129,15,7,0,8,0.209654
20260918,6,Q4_fast_1100_C2,16,8,16,16,6871.78,296,16,8,1,19,0.328279
20260918,7,Q3_Jplus_direct,15,8,14,13,4770.595,143,13,6,0,8,0.215302
20260918,7,Q4_fast_1100_C2,15,8,15,15,7680.487,237,15,8,1,19,0.380734
20260918,8,Q3_Jplus_direct,16,8,14,14,4134.021,130,14,6,0,8,0.182153
20260918,8,Q4_fast_1100_C2,16,8,16,16,6441.771,181,16,8,1,19,0.220261
20260918,9,Q3_Jplus_direct,16,8,15,15,4278.789,127,15,7,0,8,0.196682
20260918,9,Q4_fast_1100_C2,16,8,16,16,5876.92,236,16,8,1,19,0.472039
20260918,10,Q3_Jplus_direct,11,6,8,7,3856.396,157,7,2,0,8,0.074321
20260918,10,Q4_fast_1100_C2,11,6,11,11,8079.962,332,11,6,1,19,0.250594
