case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,wall_time_s
1,L950_C2,15,15,15,10499.905,319,15,1,31,8514.905355696359,1595.0,315.0,75.0,0,0.26150190000771545
2,L950_C2,10,10,10,10521.207,414,10,1,31,7992.207442118292,2070.0,409.0,50.0,0,0.17339079998782836
3,L950_C2,12,12,12,10147.497,321,12,1,31,8163.496595731828,1605.0,319.0,60.0,0,0.2293766999791842
4,L950_C2,15,15,15,10068.872,293,15,1,31,8242.871825766362,1465.0,286.0,75.0,0,0.2826739999873098
5,L950_C2,13,13,13,10183.499,320,13,1,31,8199.498688433629,1600.0,319.0,65.0,0,0.1719814999960363
6,L950_C2,12,12,12,10516.273,334,12,1,31,8467.272716497962,1670.0,319.0,60.0,0,0.350686100020539
7,L950_C2,12,12,12,10761.992,363,12,1,31,8532.991697896397,1815.0,354.0,60.0,0,0.2992054000205826
8,L950_C2,13,13,13,10206.338,329,13,1,31,8171.338248264704,1645.0,325.0,65.0,0,0.15365600000950508
9,L950_C2,12,12,12,10421.709,339,12,1,31,8339.708956221013,1695.0,327.0,60.0,0,0.30800730001647025
10,L950_C2,15,15,15,10662.913,318,15,1,31,8685.91274810582,1590.0,312.0,75.0,0,0.20657959999516606
11,L950_C2,16,16,16,5242.064,193,16,1,31,4020.0643632441006,965.0,177.0,80.0,0,0.41638249999959953
12,L950_C2,16,16,16,6048.628,181,16,1,31,4895.628114249088,905.0,168.0,80.0,0,0.4542927000147756
13,L950_C2,12,12,12,10489.553,342,12,1,31,8394.553192667487,1710.0,325.0,60.0,0,0.48519649999798276
14,L950_C2,15,15,15,10102.488,265,15,1,31,8446.488241029163,1325.0,256.0,75.0,0,0.31719020000309683
15,L950_C2,12,12,12,10627.243,332,12,1,31,8588.242645222028,1660.0,319.0,60.0,0,0.3970036000246182
16,L950_C2,12,12,12,9895.238,358,12,1,31,7694.237651680585,1790.0,351.0,60.0,0,0.20423920001485385
17,L950_C2,16,16,16,6335.091,197,16,1,31,5075.091003713076,985.0,195.0,80.0,0,0.2577893999987282
18,L950_C2,10,10,10,11184.651,445,10,1,31,8468.650691120054,2225.0,441.0,50.0,0,0.13836750001064502
19,L950_C2,11,11,11,11009.718,402,11,1,31,8551.717742616076,2010.0,393.0,55.0,0,0.3027019999863114
20,L950_C2,14,14,14,11084.289,348,14,1,31,8946.288815890748,1740.0,328.0,70.0,0,0.6346848999965005
21,L950_C2,12,12,12,10752.516,369,12,1,31,8489.516139104362,1845.0,358.0,60.0,0,0.3074330000090413
22,L950_C2,10,10,10,10813.333,396,10,1,31,8396.332750822421,1980.0,387.0,50.0,0,0.20047209999756888
23,L950_C2,12,12,12,10386.641,343,12,1,31,8275.64089176709,1715.0,336.0,60.0,0,0.25926089999848045
24,L950_C2,13,13,13,10402.531,330,13,1,31,8368.530582874646,1650.0,319.0,65.0,0,0.33355609999853186
25,L950_C2,13,13,13,10855.708,327,13,1,31,8840.707910628029,1635.0,315.0,65.0,0,0.2466574000136461
