case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,wall_time_s
1,L950_C2,15,15,15,10499.905,319,15,1,31,8224.448267190432,8514.905355696359,1595.0,315.0,75.0,0,0.2911915000004228
2,L950_C2,10,10,10,10521.207,414,10,1,31,8790.204211259801,7992.207442118292,2070.0,409.0,50.0,0,0.15646339999511838
3,L950_C2,12,12,12,10147.497,321,12,1,31,8248.448267190432,8163.496595731828,1605.0,319.0,60.0,0,0.20918230002280325
4,L950_C2,15,15,15,10068.872,293,15,1,31,8087.817528833359,8242.871825766362,1465.0,286.0,75.0,0,0.2807691999769304
5,L950_C2,13,13,13,10183.499,320,13,1,31,8261.465602396243,8199.498688433629,1600.0,319.0,65.0,0,0.18867010000394657
6,L950_C2,12,12,12,10516.273,334,12,1,31,8320.686158582408,8467.272716497962,1670.0,319.0,60.0,0,0.35504980001132935
7,L950_C2,12,12,12,10761.992,363,12,1,31,8477.313010736661,8532.991697896397,1815.0,354.0,60.0,0,0.26995059999171644
8,L950_C2,13,13,13,10206.338,329,13,1,31,8354.734478115482,8171.338248264704,1645.0,325.0,65.0,0,0.1468198999937158
9,L950_C2,12,12,12,10421.709,339,12,1,31,8361.059932580956,8339.708956221013,1695.0,327.0,60.0,0,0.3027497000002768
10,L950_C2,15,15,15,10662.913,318,15,1,31,8254.5337127866,8685.91274810582,1590.0,312.0,75.0,0,0.2299332999973558
11,L950_C2,16,16,16,5242.064,193,16,1,31,2879.541489517005,4020.0643632441006,965.0,177.0,80.0,0,0.38757280001300387
12,L950_C2,16,16,16,6048.628,181,16,1,31,3600.00708129301,4895.628114249088,905.0,168.0,80.0,0,0.4257752999837976
13,L950_C2,12,12,12,10489.553,342,12,1,31,8290.448267190432,8394.553192667487,1710.0,325.0,60.0,0,0.41838499999721535
14,L950_C2,15,15,15,10102.488,265,15,1,31,7906.354583513186,8446.488241029163,1325.0,256.0,75.0,0,0.2988743999740109
15,L950_C2,12,12,12,10627.243,332,12,1,31,8278.921661512017,8588.242645222028,1660.0,319.0,60.0,0,0.3549360000179149
16,L950_C2,12,12,12,9895.238,358,12,1,31,8573.873858222807,7694.237651680585,1790.0,351.0,60.0,0,0.20692950001102872
17,L950_C2,16,16,16,6335.091,197,16,1,31,4340.213922196696,5075.091003713076,985.0,195.0,80.0,0,0.2687996000167914
18,L950_C2,10,10,10,11184.651,445,10,1,31,8992.448267190432,8468.650691120054,2225.0,441.0,50.0,0,0.13941209999029525
19,L950_C2,11,11,11,11009.718,402,11,1,31,8698.448267190432,8551.717742616076,2010.0,393.0,55.0,0,0.31291690000216477
20,L950_C2,14,14,14,11084.289,348,14,1,31,8290.448267190432,8946.288815890748,1740.0,328.0,70.0,0,0.615834399999585
21,L950_C2,12,12,12,10752.516,369,12,1,31,8499.729013872458,8489.516139104362,1845.0,358.0,60.0,0,0.30499430000782013
22,L950_C2,10,10,10,10813.333,396,10,1,31,8674.448267190432,8396.332750822421,1980.0,387.0,50.0,0,0.21404249998158775
23,L950_C2,12,12,12,10386.641,343,12,1,31,8374.448267190432,8275.64089176709,1715.0,336.0,60.0,0,0.2497972999990452
24,L950_C2,13,13,13,10402.531,330,13,1,31,8336.009693624379,8368.530582874646,1650.0,319.0,65.0,0,0.3133811000152491
25,L950_C2,13,13,13,10855.708,327,13,1,31,8229.566626888627,8840.707910628029,1635.0,315.0,65.0,0,0.2683004999998957
26,L950_C2,12,12,12,12162.765,413,12,1,31,8583.331155892993,9664.764909849144,2065.0,373.0,60.0,0,0.4377558999985922
27,L950_C2,16,16,16,6570.063,189,16,1,31,3857.0,5365.062719997642,945.0,180.0,80.0,0,0.33711459999904037
28,L950_C2,11,11,11,10674.982,374,11,1,31,8536.448267190432,8381.982085498095,1870.0,368.0,55.0,0,0.29680609999923036
29,L950_C2,15,15,15,10639.744,272,15,1,31,7929.913156348949,8946.74351292873,1360.0,258.0,75.0,0,0.3391192000126466
30,L950_C2,10,10,10,10497.707,388,10,1,31,8703.182944863403,8128.706527759619,1940.0,379.0,50.0,0,0.24925349999102764
31,L950_C2,12,12,12,10293.233,336,12,1,31,8343.803670662106,8221.23281720269,1680.0,332.0,60.0,0,0.20590650002122857
32,L950_C2,13,13,13,10583.471,333,13,1,31,8310.95958141025,8526.471420934868,1665.0,327.0,65.0,0,0.2693878999853041
33,L950_C2,14,14,14,10189.201,310,14,1,31,8128.448267190432,8269.201013249836,1550.0,300.0,70.0,0,0.37369849998503923
34,L950_C2,11,11,11,11749.799,459,11,1,31,8893.117223576628,8949.799152794641,2295.0,450.0,55.0,0,0.2726107000198681
35,L950_C2,11,11,11,11330.338,414,11,1,31,8680.448267190432,8803.337529655068,2070.0,402.0,55.0,0,0.2572185000171885
36,L950_C2,11,11,11,10872.782,372,11,1,31,8566.448267190432,8590.782381471166,1860.0,367.0,55.0,0,0.21399439999368042
37,L950_C2,12,12,12,10516.71,337,12,1,31,8344.754006291243,8441.70956811713,1685.0,330.0,60.0,0,0.15711080000619404
38,L950_C2,11,11,11,10758.065,386,11,1,31,8596.448267190432,8398.064927508494,1930.0,375.0,55.0,0,0.34599509998224676
39,L950_C2,11,11,11,11257.776,409,11,1,31,8662.448267190432,8765.776239740433,2045.0,392.0,55.0,0,0.18925429999944754
40,L950_C2,11,11,11,10721.843,405,11,1,31,8769.917677720034,8244.842783007785,2025.0,397.0,55.0,0,0.2285783999832347
41,L950_C2,11,11,11,10666.328,390,11,1,31,8626.448267190432,8283.327661279967,1950.0,378.0,55.0,0,0.27656829997431487
42,L950_C2,14,14,14,10732.701,298,14,1,31,8049.098776729783,8892.700576885542,1490.0,280.0,70.0,0,0.4315397999889683
43,L950_C2,15,15,15,10874.706,324,15,1,31,8223.496820144424,8862.706356517925,1620.0,317.0,75.0,0,0.31852500000968575
44,L950_C2,11,11,11,10728.959,394,11,1,31,8675.042250171919,8321.958802548826,1970.0,382.0,55.0,0,0.17738880001707003
45,L950_C2,10,10,10,10658.578,412,10,1,31,8716.448267190432,8141.578421698471,2060.0,407.0,50.0,0,0.2023541000089608
46,L950_C2,15,15,15,10713.036,287,15,1,31,7955.670380328058,8933.036421961673,1435.0,270.0,75.0,0,0.38478999998187646
