seed,case,strategy,source_count,directional_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,cleared_directional,all_cleared,search_sites,decision_wall_time_s
20260920,1,Q3_Jplus_direct,14,7,12,12,3639.559,119,12,5,0,8,0.07785
20260920,1,Q4_full_clear_950_C2,14,7,14,14,10643.7,319,14,7,1,31,0.192287
20260920,2,Q3_Jplus_direct,15,8,14,12,4699.174,143,12,5,0,8,0.183504
20260920,2,Q4_full_clear_950_C2,15,8,15,15,10515.623,277,15,8,1,31,0.424281
20260920,3,Q3_Jplus_direct,10,5,8,8,3979.008,140,8,3,0,8,0.105101
20260920,3,Q4_full_clear_950_C2,10,5,10,10,10709.55,414,10,5,1,31,0.0886
20260920,4,Q3_Jplus_direct,16,8,15,15,4484.771,132,15,7,0,8,0.134097
20260920,4,Q4_full_clear_950_C2,16,8,16,16,8342.055,274,16,8,1,31,0.531284
20260920,5,Q3_Jplus_direct,14,7,13,12,3843.883,126,12,5,0,8,0.114197
20260920,5,Q4_full_clear_950_C2,14,7,14,14,10678.498,316,14,7,1,31,0.252167
20260920,6,Q3_Jplus_direct,11,6,11,9,3959.989,151,9,4,0,8,0.127599
20260920,6,Q4_full_clear_950_C2,11,6,11,11,10652.893,368,11,6,1,31,0.299842
20260920,7,Q3_Jplus_direct,12,6,12,11,4161.97,146,11,5,0,8,0.366093
20260920,7,Q4_full_clear_950_C2,12,6,12,12,10416.004,334,12,6,1,31,0.195517
20260920,8,Q3_Jplus_direct,10,5,7,7,3106.427,142,7,2,0,8,0.058598
20260920,8,Q4_full_clear_950_C2,10,5,10,10,10644.688,453,10,5,1,31,0.29169
20260920,9,Q3_Jplus_direct,14,7,14,14,3962.012,108,14,7,1,8,0.100263
20260920,9,Q4_full_clear_950_C2,14,7,14,14,11275.918,296,14,7,1,31,0.414071
20260920,10,Q3_Jplus_direct,12,6,11,11,3483.44,124,11,5,0,8,0.06863
20260920,10,Q4_full_clear_950_C2,12,6,12,12,10443.185,374,12,6,1,31,0.186328
