case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,wall_time_s
1,L950_C2,15,15,15,10825.464,309,15,1,31,0.3871781000052579
1,L1100_C2,15,15,15,7857.126,252,15,1,19,0.2775468999752775
1,L1100_C3,15,15,15,8539.844,364,15,1,19,0.19445310000446625
1,L1100_C4,15,15,15,9010.922,440,15,1,19,0.1918909999949392
1,L1200_C2,15,15,15,9137.923,305,15,1,19,0.591722099983599
2,L950_C2,12,12,12,11180.404,383,12,1,31,0.2631113999814261
2,L1100_C2,12,12,12,7408.22,272,12,1,19,0.22519960001227446
2,L1100_C3,12,12,12,7694.276,328,12,1,19,0.18917159998090938
2,L1100_C4,12,12,12,7844.46,362,12,1,19,0.11063369998009875
2,L1200_C2,12,12,12,8189.442,312,12,1,19,0.33131320000393316
3,L950_C2,11,11,11,10515.649,363,11,1,31,0.14077339999494143
3,L1100_C2,11,11,11,7573.99,267,11,1,19,0.2104092999943532
3,L1100_C3,11,11,11,7597.946,325,11,1,19,0.0466798999987077
3,L1100_C4,11,11,11,7862.035,370,11,1,19,0.03447300000698306
3,L1200_C2,11,11,11,8536.515,322,11,1,19,0.2169309000018984
4,L950_C2,16,16,16,6469.973,216,16,1,31,0.2998813000158407
4,L1100_C2,16,16,16,5874.098,186,16,1,19,0.33976920001441613
4,L1100_C3,16,16,16,6592.188,325,16,1,19,0.20497719998820685
4,L1100_C4,16,16,16,7686.958,483,16,1,19,0.3609671000158414
4,L1200_C2,16,15,15,8504.799,237,15,0,19,0.4359589999949094
5,L950_C2,16,16,16,5755.837,239,16,1,31,0.3495018999965396
5,L1100_C2,16,16,16,5793.363,245,16,1,19,0.35492410001461394
5,L1100_C3,16,16,16,6231.574,325,16,1,19,0.23017779999645427
5,L1100_C4,16,16,16,6508.738,374,16,1,19,0.19233980000717565
5,L1200_C2,16,16,16,7442.341,352,16,1,19,0.4393710999866016
6,L950_C2,14,14,14,10788.31,294,14,1,31,0.3333525999914855
6,L1100_C2,14,14,14,7904.339,243,14,1,19,0.2428379000048153
6,L1100_C3,14,14,14,7862.454,294,14,1,19,0.10889520001364872
6,L1100_C4,14,14,14,8288.254,369,14,1,19,0.05646219998016022
6,L1200_C2,14,14,14,8040.171,231,14,1,19,0.25739049998810515
7,L950_C2,12,12,12,11102.13,356,12,1,31,0.2797556000004988
7,L1100_C2,12,12,12,7395.685,250,12,1,19,0.22545699999318458
7,L1100_C3,12,12,12,7826.454,362,12,1,19,0.16141099997912534
7,L1100_C4,12,12,12,8085.011,406,12,1,19,0.15956460000597872
7,L1200_C2,12,12,12,8055.098,267,12,1,19,0.19941190001554787
8,L950_C2,15,15,15,10476.597,301,15,1,31,0.18313690001377836
8,L1100_C2,15,15,15,8744.46,284,15,1,19,0.3035700999898836
8,L1100_C3,15,15,15,8981.104,357,15,1,19,0.19242030000896193
8,L1100_C4,15,15,15,9418.01,436,15,1,19,0.15481730000465177
8,L1200_C2,15,15,15,9500.918,329,15,1,19,0.2825608999992255
9,L950_C2,16,16,16,6081.489,229,16,1,31,0.2066849000111688
9,L1100_C2,16,16,16,6688.505,290,16,1,19,0.29145340001559816
9,L1100_C3,16,16,16,6636.567,357,16,1,19,0.14680230000521988
9,L1100_C4,16,16,16,6931.599,398,16,1,19,0.1627788999758195
9,L1200_C2,16,16,16,7366.096,329,16,1,19,0.37856789998477325
10,L950_C2,10,10,10,10956.297,416,10,1,31,0.2932888999930583
10,L1100_C2,10,10,10,7412.141,285,10,1,19,0.16240679999464191
10,L1100_C3,10,10,10,8196.155,399,10,1,19,0.188159600016661
10,L1100_C4,10,10,10,8050.255,391,10,1,19,0.11865630000829697
10,L1200_C2,10,10,10,8222.25,298,10,1,19,0.13712329999543726
11,L950_C2,12,12,12,10629.386,375,12,1,31,0.4494564999768045
11,L1100_C2,12,12,12,7286.748,255,12,1,19,0.19398690000525676
11,L1100_C3,12,12,12,8000.249,346,12,1,19,0.2766915000102017
11,L1100_C4,12,12,12,8335.257,416,12,1,19,0.1577314999885857
11,L1200_C2,12,12,12,8302.577,280,12,1,19,0.3245567999838386
12,L950_C2,11,11,11,10866.26,395,11,1,31,0.2097211999935098
12,L1100_C2,11,11,11,8785.968,355,11,1,19,0.25592200001119636
12,L1100_C3,11,11,11,9155.867,443,11,1,19,0.20166140000219457
12,L1100_C4,11,11,11,9348.86,484,11,1,19,0.13773360001505353
12,L1200_C2,11,11,11,9115.239,342,11,1,19,0.23723219998646528
13,L950_C2,16,16,16,7116.607,262,16,1,31,0.33716130000539124
13,L1100_C2,16,16,16,7438.771,280,16,1,19,0.2251209999958519
13,L1100_C3,16,16,16,9063.057,447,16,1,19,0.3659924000094179
13,L1100_C4,16,16,16,9188.4,472,16,1,19,0.3231343000079505
13,L1200_C2,16,16,16,8903.955,339,16,1,19,0.4417869999888353
14,L950_C2,15,15,15,10830.457,298,15,1,31,0.3383480999909807
14,L1100_C2,15,15,15,8010.29,227,15,1,19,0.3005635000008624
14,L1100_C3,15,15,15,8550.481,341,15,1,19,0.3286816999898292
14,L1100_C4,15,15,15,8545.363,353,15,1,19,0.29152450000401586
14,L1200_C2,15,15,15,8327.349,233,15,1,19,0.32149920001393184
15,L950_C2,12,12,12,10522.786,362,12,1,31,0.1135667999915313
15,L1100_C2,12,12,12,7297.982,258,12,1,19,0.16094410000368953
15,L1100_C3,12,12,12,7706.909,332,12,1,19,0.03871990001061931
15,L1100_C4,12,12,12,8039.052,383,12,1,19,0.09824799999478273
15,L1200_C2,12,12,12,7977.17,292,12,1,19,0.21295200000167824
16,L950_C2,15,15,15,10591.081,286,15,1,31,0.29134749999502674
16,L1100_C2,15,15,15,8146.502,264,15,1,19,0.31893809998291545
16,L1100_C3,15,15,15,9029.404,411,15,1,19,0.2307577999890782
16,L1100_C4,15,15,15,9305.395,459,15,1,19,0.17697410000255331
16,L1200_C2,15,15,15,8988.459,288,15,1,19,0.3748077000200283
17,L950_C2,14,14,14,11018.841,371,14,1,31,0.29315260000294074
17,L1100_C2,14,14,14,7635.129,256,14,1,19,0.18852480000350624
17,L1100_C3,14,14,14,8490.81,414,14,1,19,0.10793779999949038
17,L1100_C4,14,14,14,8478.282,415,14,1,19,0.0684391999966465
17,L1200_C2,14,14,14,8743.345,323,14,1,19,0.23880479999934323
18,L950_C2,10,10,10,10645.477,400,10,1,31,0.1266470999980811
