case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,wall_time_s
1,L1100_C2,15,15,15,8206.715,287,15,1,19,5297.0,6432.714988784307,1435.0,264.0,75.0,0,0.6629723000223748
1,L1000_C2,15,15,15,11468.579,340,15,1,31,8973.65670849443,9372.578757075458,1700.0,321.0,75.0,0,0.6490164000133518
2,L1100_C2,10,10,10,7884.628,282,10,1,19,5567.0,6149.62799692028,1410.0,275.0,50.0,0,0.3034815000137314
2,L1000_C2,10,10,10,11610.702,424,10,1,31,9857.62981896592,9030.70193727685,2120.0,410.0,50.0,0,0.3863184000074398
3,L1100_C2,12,12,12,7578.968,282,12,1,19,5452.104714359602,5836.968391433242,1410.0,272.0,60.0,0,0.37819849999505095
3,L1000_C2,12,12,12,11172.88,338,12,1,31,9019.418214262949,9095.879719662378,1690.0,327.0,60.0,0,0.40875580001738854
4,L1100_C2,15,15,15,8529.236,295,15,1,19,5307.82572676364,6710.235835945793,1475.0,269.0,75.0,0,0.6070254999794997
4,L1000_C2,15,15,15,11102.633,304,15,1,31,8844.457703894459,9208.63348423214,1520.0,299.0,75.0,0,0.3041703999915626
5,L1100_C2,13,13,13,8163.777,288,13,1,19,5513.0,6384.776826173116,1440.0,274.0,65.0,0,0.4803970000066329
5,L1000_C2,13,13,13,11344.637,342,13,1,31,8982.560423726694,9243.637259951998,1710.0,326.0,65.0,0,0.4414530999783892
6,L1100_C2,12,12,12,7271.373,238,12,1,19,5285.270738880779,5795.373218420932,1190.0,226.0,60.0,0,0.2732113000238314
6,L1000_C2,12,12,12,11540.678,353,12,1,31,9030.560423726694,9376.67775799506,1765.0,339.0,60.0,0,0.22837860000436194
7,L1100_C2,12,12,12,8029.843,273,12,1,19,5381.0,6353.843372817531,1365.0,251.0,60.0,0,0.6127631000126712
7,L1000_C2,12,12,12,11769.387,405,12,1,31,9258.025635870226,9295.386792812733,2025.0,389.0,60.0,0,0.5350647000013851
8,L1100_C2,13,13,13,8373.73,269,13,1,19,5363.0,6718.729557651746,1345.0,245.0,65.0,0,0.7432495999964885
8,L1000_C2,13,13,13,11253.461,354,13,1,31,9158.25504095368,9082.461224069082,1770.0,336.0,65.0,0,0.5407655999879353
9,L1100_C2,12,12,12,7936.955,275,12,1,19,5438.8617099854055,6238.9549646215655,1375.0,263.0,60.0,0,0.31148159998701885
9,L1000_C2,12,12,12,10950.996,335,12,1,31,9074.46120575693,8887.99564598294,1675.0,328.0,60.0,0,0.2763031999929808
10,L1100_C2,15,15,15,7850.117,250,15,1,19,5363.0,6279.117227787734,1250.0,246.0,75.0,0,0.36435679998248816
10,L1000_C2,15,15,15,11906.601,347,15,1,31,8940.560423726694,9773.601274826351,1735.0,323.0,75.0,0,0.7779045999923255
11,L1100_C2,16,16,16,5897.683,213,16,1,19,3027.5078836864704,4561.682875304743,1065.0,191.0,80.0,0,0.7801449999969918
11,L1000_C2,16,16,16,6041.968,222,16,1,31,2594.1437765646915,4642.968369769621,1110.0,209.0,80.0,0,0.6105824999976903
12,L1100_C2,16,16,16,7212.62,186,16,1,19,4301.606637571642,6029.620158963535,930.0,173.0,80.0,0,0.42377459999988787
12,L1000_C2,16,16,16,6754.242,194,16,1,31,4201.0,5526.241876260013,970.0,178.0,80.0,0,0.5891321999952197
13,L1100_C2,12,12,12,7571.01,238,12,1,19,5219.0,6100.010298994164,1190.0,221.0,60.0,0,0.6009531999879982
13,L1000_C2,12,12,12,11123.965,341,12,1,31,9000.560423726694,9028.96489842576,1705.0,330.0,60.0,0,0.37657590000890195
14,L1100_C2,15,15,15,8867.069,332,15,1,19,5243.0,6819.068832577519,1660.0,313.0,75.0,0,0.9176871000090614
14,L1000_C2,15,15,15,10643.473,269,15,1,31,8592.560423726694,8960.47286234711,1345.0,263.0,75.0,0,0.35990439998568036
15,L1100_C2,12,12,12,7613.249,259,12,1,19,5297.0,6005.248709823194,1295.0,253.0,60.0,0,0.45225900001241826
15,L1000_C2,12,12,12,11044.949,327,12,1,31,8994.465493904876,9025.948696269139,1635.0,324.0,60.0,0,0.29480730000068434
16,L1100_C2,12,12,12,7583.819,257,12,1,19,5344.068832519588,5999.819135366101,1285.0,239.0,60.0,0,0.5551956999988761
16,L1000_C2,12,12,12,10670.729,346,12,1,31,9171.20366433392,8540.72945302379,1730.0,340.0,60.0,0,0.22175880000577308
17,L1100_C2,16,16,16,7224.355,222,16,1,19,4879.0,5824.355355546915,1110.0,210.0,80.0,0,0.37797000000136904
17,L1000_C2,16,16,16,7609.753,227,16,1,31,5477.0,6170.752861730628,1135.0,224.0,80.0,0,0.33375099999830127
18,L1100_C2,10,10,10,7753.447,304,10,1,19,5693.0,5881.447475563997,1520.0,302.0,50.0,0,0.2544519000221044
18,L1000_C2,10,10,10,12373.621,500,10,1,31,9804.560423726694,9324.620631773814,2500.0,499.0,50.0,0,0.2060337000002619
19,L1100_C2,11,11,11,7640.932,279,11,1,19,5549.0,5916.931681541633,1395.0,274.0,55.0,0,0.31779659999301657
19,L1000_C2,11,11,11,11757.843,395,11,1,31,9360.560423726694,9337.843148529755,1975.0,390.0,55.0,0,0.29205359998741187
20,L1100_C2,14,14,14,7126.106,236,14,1,19,5340.091990069044,5646.1057170234235,1180.0,230.0,70.0,0,0.32279059998109005
20,L1000_C2,14,14,14,11308.698,336,14,1,31,8975.560824253153,9232.697992250727,1680.0,326.0,70.0,0,0.4515133000095375
21,L1100_C2,12,12,12,7814.039,271,12,1,19,5489.758511954122,6136.039175078585,1355.0,263.0,60.0,0,0.3787333999935072
21,L1000_C2,12,12,12,11961.224,384,12,1,31,9246.560423726694,9611.223995925686,1920.0,370.0,60.0,0,0.44506810000166297
22,L1100_C2,10,10,10,7394.527,258,10,1,19,5405.0,5804.5272995731875,1290.0,250.0,50.0,0,0.3063978999853134
22,L1000_C2,10,10,10,11317.933,394,10,1,31,9383.998023011653,8909.93287696286,1970.0,388.0,50.0,0,0.3114676999975927
23,L1100_C2,12,12,12,7669.175,260,12,1,19,5363.0,6066.175319516034,1300.0,243.0,60.0,0,0.5832764999940991
23,L1000_C2,12,12,12,11085.656,350,12,1,31,9090.560423726694,8932.655510901992,1750.0,343.0,60.0,0,0.33827429998200387
24,L1100_C2,13,13,13,8116.177,265,13,1,19,5387.0,6479.176515737605,1325.0,247.0,65.0,0,0.4997129999974277
24,L1000_C2,13,13,13,11900.337,354,13,1,31,9073.106372329185,9727.336733759788,1770.0,338.0,65.0,0,0.47114600002532825
25,L1100_C2,13,13,13,7532.186,251,13,1,19,5357.0,5971.185792859204,1255.0,241.0,65.0,0,0.3026897000090685
25,L1000_C2,13,13,13,11419.195,344,13,1,31,9016.012422287227,9311.194723175362,1720.0,323.0,65.0,0,0.46071859999210574
26,L1100_C2,12,12,12,8132.689,282,12,1,19,5489.0,6395.6887943818065,1410.0,267.0,60.0,0,0.5182205000019167
26,L1000_C2,12,12,12,11625.135,386,12,1,31,9239.95483530293,9265.134933447905,1930.0,370.0,60.0,0,0.4403257000085432
