case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,wall_time_s
1,ShiftBGreedy,15,15,15,10321.732,300,15,1,28,7254.857593175611,8460.732456843627,5630.857593175611,2829.87486366802,1500.0,286.0,75.0,0,0.5298846999939997
1,ShiftBRolling,15,15,15,10198.499,275,15,1,28,6630.736514974659,8503.499366007503,5233.736514974659,3269.7628510328445,1375.0,245.0,75.0,0,0.7808536000084132
2,ShiftBGreedy,13,13,13,11015.349,341,13,1,28,8687.153974236113,8914.348927067056,6763.153974236112,2151.1949528309456,1705.0,331.0,65.0,0,0.404745699983323
2,ShiftBRolling,13,13,13,9466.072,316,13,1,28,7026.736514974659,7510.072096696522,5233.736514974659,2276.335581721865,1580.0,311.0,65.0,0,0.44983789999969304
3,ShiftBGreedy,13,13,13,11229.548,364,13,1,28,8794.433114983935,8995.548241497876,6762.4331149839345,2233.1151265139392,1820.0,349.0,65.0,0,0.3286138999974355
3,ShiftBRolling,13,13,13,9484.588,331,13,1,28,7044.230851630671,7453.5884919198415,5234.23085163067,2219.357640289172,1655.0,311.0,65.0,0,0.41356919999816455
4,ShiftBGreedy,11,11,11,11065.111,386,11,1,28,8915.353720916846,8712.111043757499,6763.353720916845,1948.757322840655,1930.0,368.0,55.0,0,0.37968179999734275
4,ShiftBRolling,11,11,11,9335.024,335,11,1,28,7146.736514974659,7278.02392346617,5233.736514974659,2044.2874084915113,1675.0,327.0,55.0,0,0.26847780001116917
5,ShiftBGreedy,11,11,11,11759.437,355,11,1,28,8749.855059596548,9592.437424717771,6783.855059596547,2808.582365121223,1775.0,337.0,55.0,0,0.19527120000566356
5,ShiftBRolling,11,11,11,9879.436,341,11,1,28,7119.42858244699,7797.4360023773825,5244.428582446989,2553.007419930394,1705.0,322.0,55.0,0,0.2529913000180386
6,ShiftBGreedy,15,15,15,10831.025,288,15,1,28,7895.367594715523,9038.025197842582,6307.367594715523,2730.657603127057,1440.0,278.0,75.0,0,0.23343709998880513
