case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,wall_time_s
1,L950_C2,15,15,15,10665.429,280,15,1,31,7930.9439839296165,8926.429090705044,6396.9439839296165,2529.4851067754275,1400.0,264.0,75.0,0,0.37386059999698773
1,Route31,15,15,15,10346.039,288,15,1,31,7796.013541674609,8551.038519437461,6155.013541674608,2396.0249777628524,1440.0,280.0,75.0,0,0.31088229999295436
1,ClippedRoute,15,15,15,10346.039,288,15,1,31,7796.013541674609,8551.038519437461,6155.013541674608,2396.0249777628524,1440.0,280.0,75.0,0,0.31476339997607283
2,L950_C2,13,13,13,10678.065,352,13,1,31,8392.448267190432,8511.065168340585,6395.448267190432,2115.616901150152,1760.0,342.0,65.0,0,0.3383756999974139
2,Route31,13,13,13,10475.96,376,13,1,31,8246.268960314259,8165.959927904102,6117.268960314259,2048.690967589846,1880.0,365.0,65.0,0,0.522084399999585
2,ClippedRoute,13,13,13,10475.96,376,13,1,31,8246.268960314259,8165.959927904102,6117.268960314259,2048.690967589846,1880.0,365.0,65.0,0,0.46410030001425184
3,L950_C2,13,13,13,10997.654,339,13,1,31,8308.448267190432,8907.654012554729,6395.448267190432,2512.205745364293,1695.0,330.0,65.0,0,0.2476023999915924
3,Route31,13,13,13,11063.408,385,13,1,31,8277.071357549976,8702.407559008414,6119.071357549976,2583.3362014584336,1925.0,371.0,65.0,0,0.4254136999952607
3,ClippedRoute,13,13,13,11063.408,385,13,1,31,8277.071357549976,8702.407559008414,6119.071357549976,2583.3362014584336,1925.0,371.0,65.0,0,0.4287763000174891
4,L950_C2,11,11,11,11277.168,359,11,1,31,8434.216929781083,9081.168110570745,6408.216929781083,2672.951180789661,1795.0,346.0,55.0,0,0.18915690001449548
4,Route31,11,11,11,11188.661,366,11,1,31,8168.037622904911,8955.660767514568,6130.037622904911,2825.6231446096563,1830.0,348.0,55.0,0,0.2731315999990329
4,ClippedRoute,11,11,11,11188.661,366,11,1,31,8168.037622904911,8955.660767514568,6130.037622904911,2825.6231446096563,1830.0,348.0,55.0,0,0.36880720002227463
5,L950_C2,11,11,11,10337.783,376,11,1,31,8507.743531207405,8043.782652919747,6397.743531207406,1646.0391217123429,1880.0,359.0,55.0,0,0.33891530000255443
5,Route31,11,11,11,10290.811,400,11,1,31,8325.564224331232,7859.811390506753,6119.564224331232,1740.2471661755226,2000.0,376.0,55.0,0,0.37787319999188185
5,ClippedRoute,11,11,11,10290.811,400,11,1,31,8325.564224331232,7859.811390506753,6119.564224331232,1740.2471661755226,2000.0,376.0,55.0,0,0.39331730001140386
6,L950_C2,15,15,15,10863.549,266,15,1,31,7864.917867549481,9208.549123688528,6444.917867549481,2763.6312561390405,1330.0,250.0,75.0,0,0.48134540001046844
6,Route31,15,15,15,10883.318,316,15,1,31,7892.738560673309,8928.317717858079,6166.738560673309,2761.579157184765,1580.0,300.0,75.0,0,0.45208389998879284
6,ClippedRoute,15,15,15,10883.318,316,15,1,31,7892.738560673309,8928.317717858079,6166.738560673309,2761.579157184765,1580.0,300.0,75.0,0,0.4205107999732718
7,L950_C2,15,15,15,10578.971,261,15,1,31,7765.806240525271,8957.970685114396,6399.806240525271,2558.1644445891297,1305.0,241.0,75.0,0,0.6546052999910899
7,Route31,15,15,15,10622.142,289,15,1,31,7620.792721775955,8839.14173500627,6122.792721775955,2716.3490132303245,1445.0,263.0,75.0,0,0.7021859000087716
7,ClippedRoute,15,15,15,10622.142,289,15,1,31,7620.792721775955,8839.14173500627,6122.792721775955,2716.3490132303245,1445.0,263.0,75.0,0,0.6898351999989245
8,L950_C2,16,16,16,6125.85,209,16,1,31,2673.0,4810.849766697248,1900.0,2910.849766697247,1045.0,190.0,80.0,0,0.7843462000018917
8,Route31,16,16,16,6265.198,246,16,1,31,2585.0,4716.1980887171785,1710.0,3006.198088717177,1230.0,239.0,80.0,0,0.4148374999931548
8,ClippedRoute,16,16,16,6265.198,246,16,1,31,2585.0,4716.1980887171785,1710.0,3006.198088717177,1230.0,239.0,80.0,0,0.4123247000097763
9,L950_C2,13,13,13,10777.773,311,13,1,31,8128.448267190432,8858.772618593293,6395.448267190432,2463.3243514028586,1555.0,299.0,65.0,0,0.3532775000203401
9,Route31,13,13,13,10739.826,349,13,1,31,8072.268960314259,8593.82604662083,6117.268960314259,2476.557086306569,1745.0,336.0,65.0,0,0.37738970000646077
9,ClippedRoute,13,13,13,10739.826,349,13,1,31,8072.268960314259,8593.82604662083,6117.268960314259,2476.557086306569,1745.0,336.0,65.0,0,0.35959960002219304
10,L950_C2,14,14,14,11596.435,336,14,1,31,8222.129708356439,9530.434666005975,6400.12970835644,3130.304957649532,1680.0,316.0,70.0,0,0.3857379999826662
10,Route31,14,14,14,11945.629,333,14,1,31,7898.268960314259,9896.629022645087,6117.268960314259,3779.360062330834,1665.0,314.0,70.0,0,0.37779880000744015
10,ClippedRoute,14,14,14,11945.629,333,14,1,31,7898.268960314259,9896.629022645087,6117.268960314259,3779.360062330834,1665.0,314.0,70.0,0,0.3838339000067208
11,L950_C2,12,12,12,10826.077,367,12,1,31,8563.47938357334,8568.076831501192,6413.47938357334,2154.5974479278525,1835.0,363.0,60.0,0,0.15280559999519028
11,Route31,12,12,12,11104.916,411,12,1,31,8489.476670285567,8590.916398016507,6133.476670285567,2457.4397277309404,2055.0,399.0,60.0,0,0.2374361000256613
11,ClippedRoute,12,12,12,11104.916,411,12,1,31,8489.476670285567,8590.916398016507,6133.476670285567,2457.4397277309404,2055.0,399.0,60.0,0,0.2638106000085827
12,L950_C2,11,11,11,10622.976,371,11,1,31,8520.559279492893,8350.975534020468,6398.5592794928925,1952.4162545275776,1855.0,362.0,55.0,0,0.261282100022072
12,Route31,11,11,11,10563.035,377,11,1,31,8270.268960314259,8256.035420147527,6117.268960314259,2138.7664598332703,1885.0,367.0,55.0,0,0.2721921000047587
