case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,wall_time_s
1,L950_C2,15,15,15,10665.429,280,15,1,31,7930.9439839296165,8926.429090705044,6396.9439839296165,2529.4851067754275,1400.0,264.0,75.0,0,0.4275592000049073
1,ShiftA,15,15,15,10669.185,325,15,1,31,7592.0,8662.184681636752,5841.0,2821.184681636751,1625.0,307.0,75.0,0,0.5978719999839086
1,ShiftB,15,15,15,10198.499,275,15,1,28,6630.736514974659,8503.499366007503,5233.736514974659,3269.7628510328445,1375.0,245.0,75.0,0,0.8612460999866016
1,ShiftC,15,15,15,10707.372,287,15,1,28,6762.736514974659,8927.372307741172,5233.736514974659,3693.635792766513,1435.0,270.0,75.0,0,0.5372456999903079
1,ShiftD,15,15,15,10014.519,308,15,1,28,6965.315353299546,8100.518895171767,5262.315353299546,2838.2035418722207,1540.0,299.0,75.0,0,0.38550520001444966
1,ShiftGreedy,15,15,15,11510.835,322,15,1,31,8265.892119797274,9521.835196212618,6526.892119797275,2994.9430764153426,1610.0,304.0,75.0,0,0.6375864000001457
2,L950_C2,13,13,13,10678.065,352,13,1,31,8392.448267190432,8511.065168340585,6395.448267190432,2115.616901150152,1760.0,342.0,65.0,0,0.3727919000084512
2,ShiftA,13,13,13,11409.697,402,13,1,31,7833.137936007243,8950.696886775042,5843.137936007243,3107.5589507677964,2010.0,384.0,65.0,0,0.5699678999953903
2,ShiftB,13,13,13,9466.072,316,13,1,28,7026.736514974659,7510.072096696522,5233.736514974659,2276.335581721865,1580.0,311.0,65.0,0,0.43064599999343045
2,ShiftC,13,13,13,10152.65,362,13,1,28,7242.736514974659,7932.649700536618,5233.736514974659,2698.9131855619626,1810.0,345.0,65.0,0,0.659937299991725
2,ShiftD,13,13,13,9665.222,348,13,1,28,7235.315353299546,7522.222374882898,5262.315353299546,2259.9070215833503,1740.0,338.0,65.0,0,0.3985957000113558
2,ShiftGreedy,13,13,13,11807.907,398,13,1,31,8621.030055804518,9372.906649418244,6529.030055804518,2843.8765936137297,1990.0,380.0,65.0,0,0.4621092999877874
3,L950_C2,13,13,13,10997.654,339,13,1,31,8308.448267190432,8907.654012554729,6395.448267190432,2512.205745364293,1695.0,330.0,65.0,0,0.2850806000060402
3,ShiftA,13,13,13,10017.062,334,13,1,31,7724.0,7958.062383360537,5841.0,2117.062383360537,1670.0,324.0,65.0,0,0.28309390001231804
3,ShiftB,13,13,13,9484.588,331,13,1,28,7044.230851630671,7453.5884919198415,5234.23085163067,2219.357640289172,1655.0,311.0,65.0,0,0.3856241999892518
3,ShiftC,13,13,13,9921.143,369,13,1,28,7375.323478816382,7647.1433959031665,5247.323478816381,2399.8199170867847,1845.0,364.0,65.0,0,0.32834680000087246
3,ShiftD,13,13,13,9913.637,346,13,1,28,7049.315353299546,7794.636549907191,5262.315353299546,2532.321196607647,1730.0,324.0,65.0,0,0.35174530002404936
3,ShiftGreedy,13,13,13,10964.755,332,13,1,31,8397.892119797274,8914.755233322769,6526.892119797275,2387.8631135254946,1660.0,325.0,65.0,0,0.3722080999868922
4,L950_C2,11,11,11,11277.168,359,11,1,31,8434.216929781083,9081.168110570745,6408.216929781083,2672.951180789661,1795.0,346.0,55.0,0,0.19205949999741279
4,ShiftA,11,11,11,9522.809,362,11,1,31,7946.0,7299.808563459139,5841.0,1458.8085634591375,1810.0,358.0,55.0,0,0.1513645999948494
4,ShiftB,11,11,11,9335.024,335,11,1,28,7146.736514974659,7278.02392346617,5233.736514974659,2044.2874084915113,1675.0,327.0,55.0,0,0.28320969999185763
4,ShiftC,11,11,11,10067.354,319,11,1,28,7024.691244739602,8114.354039899396,5244.691244739601,2869.662795159796,1595.0,303.0,55.0,0,0.23573320001014508
4,ShiftD,11,11,11,9729.978,383,11,1,28,7421.315353299546,7387.977713970032,5262.315353299546,2125.6623606704875,1915.0,372.0,55.0,0,0.2829528999864124
4,ShiftGreedy,11,11,11,10133.709,381,11,1,31,8745.892119797274,7796.708926530454,6526.892119797275,1269.8168067331774,1905.0,377.0,55.0,0,0.14504909998504445
5,L950_C2,11,11,11,10337.783,376,11,1,31,8507.743531207405,8043.782652919747,6397.743531207406,1646.0391217123429,1880.0,359.0,55.0,0,0.3933771000010893
5,ShiftA,11,11,11,9756.464,380,11,1,31,8036.0,7428.464092575673,5841.0,1587.4640925756737,1900.0,373.0,55.0,0,0.2718318000261206
5,ShiftB,11,11,11,9926.277,331,11,1,28,7077.0657106513045,7904.276771635178,5261.065710651304,2643.2110609838774,1655.0,312.0,55.0,0,0.32028169999830425
5,ShiftC,11,11,11,9929.909,376,11,1,28,7350.736514974659,7632.908780673678,5233.736514974659,2399.17226569902,1880.0,362.0,55.0,0,0.30181189998984337
5,ShiftD,11,11,11,10247.626,372,11,1,28,7289.315353299546,7984.626367177723,5262.315353299546,2722.3110138781785,1860.0,348.0,55.0,0,0.43490409999503754
5,ShiftGreedy,11,11,11,10535.119,380,11,1,31,8673.892119797274,8215.119167517216,6526.892119797275,1688.2270477199418,1900.0,365.0,55.0,0,0.27534530000411905
6,L950_C2,15,15,15,10863.549,266,15,1,31,7864.917867549481,9208.549123688528,6444.917867549481,2763.6312561390405,1330.0,250.0,75.0,0,0.47583499999018386
6,ShiftA,15,15,15,10749.587,324,15,1,31,7451.157539478535,8747.586681204,5869.157539478535,2878.4291417254694,1620.0,307.0,75.0,0,0.4248377000039909
6,ShiftB,15,15,15,10178.512,309,15,1,28,6868.935643583129,8262.511782788946,5274.935643583128,2987.576139205819,1545.0,296.0,75.0,0,0.4099289999867324
6,ShiftC,15,15,15,9590.625,287,15,1,28,6846.736514974659,7799.624758771287,5233.736514974659,2565.8882437966267,1435.0,281.0,75.0,0,0.3203557999804616
6,ShiftD,15,15,15,10314.756,272,15,1,28,6689.315353299546,8630.75587670878,5262.315353299546,3368.440523409235,1360.0,249.0,75.0,0,0.572164299985161
6,ShiftGreedy,15,15,15,11473.163,351,15,1,31,8335.098956750517,9308.162545088766,6562.098956750518,2746.0635883382524,1755.0,335.0,75.0,0,0.37440900001092814
7,L950_C2,15,15,15,10578.971,261,15,1,31,7765.806240525271,8957.970685114396,6399.806240525271,2558.1644445891297,1305.0,241.0,75.0,0,0.6827470000134781
7,ShiftA,15,15,15,10194.554,315,15,1,31,7661.319504608954,8237.554289427671,5853.319504608954,2384.234784818716,1575.0,307.0,75.0,0,0.18473810001160018
7,ShiftB,15,15,15,9307.731,266,15,1,28,6678.736514974659,7650.731384069473,5233.736514974659,2416.994869094817,1330.0,252.0,75.0,0,0.39712629999849014
7,ShiftC,15,15,15,9323.213,287,15,1,28,6768.525538072179,7547.213044793137,5234.52553807218,2312.6875067209594,1435.0,266.0,75.0,0,0.5256607999908738
7,ShiftD,15,15,15,9396.182,314,15,1,28,7107.027555458513,7446.181929913329,5334.027555458512,2112.154374454816,1570.0,305.0,75.0,0,0.2766546999919228
7,ShiftGreedy,15,15,15,11435.292,328,15,1,31,8365.244204733974,9409.292094570292,6539.244204733975,2870.0478898363153,1640.0,311.0,75.0,0,0.3478002000192646
8,L950_C2,16,16,16,6125.85,209,16,1,31,2673.0,4810.849766697248,1900.0,2910.849766697247,1045.0,190.0,80.0,0,0.8620924000279047
8,ShiftA,16,16,16,5834.758,213,16,1,31,2714.0,4483.7583766958305,1881.0,2602.758376695832,1065.0,206.0,80.0,0,0.5788179000082891
8,ShiftB,16,16,16,8669.636,233,16,1,28,4812.736514974659,7213.635689426678,3649.7365149746593,3563.8991744520226,1165.0,211.0,80.0,0,0.5584322999930009
8,ShiftC,16,16,16,8309.715,261,16,1,28,4548.736514974659,6693.714513960502,3253.7365149746593,3439.9779989858466,1305.0,231.0,80.0,0,0.6777214999892749
8,ShiftD,16,16,16,9414.378,336,16,1,28,4733.315353299546,7370.378398592557,3480.3153532995457,3890.0630452930186,1680.0,284.0,80.0,0,0.8614884999988135
8,ShiftGreedy,16,16,16,7027.513,245,16,1,31,3998.0,5488.513352106227,2871.0,2617.513352106228,1225.0,234.0,80.0,0,0.523873400001321
9,L950_C2,13,13,13,10777.773,311,13,1,31,8128.448267190432,8858.772618593293,6395.448267190432,2463.3243514028586,1555.0,299.0,65.0,0,0.36895310002728365
9,ShiftA,13,13,13,10769.958,376,13,1,31,7895.09363355025,8457.95835095503,5863.09363355025,2594.8647174047846,1880.0,367.0,65.0,0,0.30427640001289546
9,ShiftB,13,13,13,10297.692,371,13,1,28,7152.736514974659,8018.692421515397,5233.736514974659,2784.9559065407398,1855.0,359.0,65.0,0,0.5695905000029597
9,ShiftC,13,13,13,9809.234,368,13,1,28,7242.736514974659,7545.234137110174,5233.736514974659,2311.497622135511,1840.0,359.0,65.0,0,0.2566430000006221
9,ShiftD,13,13,13,10043.987,347,13,1,28,7246.255834057353,7906.987022316831,5292.255834057352,2614.73118825948,1735.0,337.0,65.0,0,0.3691722999792546
9,ShiftGreedy,13,13,13,12061.856,421,13,1,31,8903.668467237221,9480.855925012369,6723.66846723722,2757.1874577751496,2105.0,411.0,65.0,0,0.592005499987863
10,L950_C2,14,14,14,11596.435,336,14,1,31,8222.129708356439,9530.434666005975,6400.12970835644,3130.304957649532,1680.0,316.0,70.0,0,0.4227031999907922
10,ShiftA,14,14,14,11636.631,386,14,1,31,7934.0,9276.631223686632,5841.0,3435.6312236866343,1930.0,360.0,70.0,0,0.5599246999772731
10,ShiftB,14,14,14,10072.781,312,14,1,28,6918.736514974659,8149.781278838738,5233.736514974659,2916.044763864079,1560.0,293.0,70.0,0,0.5079969000071287
10,ShiftC,14,14,14,10419.9,316,14,1,28,6978.788371081465,8467.900475834693,5246.788371081465,3221.1121047532297,1580.0,302.0,70.0,0,0.4072771000210196
10,ShiftD,14,14,14,11018.191,380,14,1,28,7385.684953408425,8685.190863684933,5287.684953408425,3397.5059102765126,1900.0,363.0,70.0,0,0.48969479999504983
10,ShiftGreedy,14,14,14,11840.084,367,14,1,31,8556.451199170046,9592.08423398108,6555.4511991700465,3036.6330348110396,1835.0,343.0,70.0,0,0.5709566999867093
11,L950_C2,12,12,12,10826.077,367,12,1,31,8563.47938357334,8568.076831501192,6413.47938357334,2154.5974479278525,1835.0,363.0,60.0,0,0.19144779999624006
11,ShiftA,12,12,12,10366.151,402,12,1,31,8183.930813358919,7901.150879786697,5846.930813358919,2054.2200664277775,2010.0,395.0,60.0,0,0.27436079998733476
11,ShiftB,12,12,12,10569.063,415,12,1,28,7491.768798919631,8042.06266152414,5280.76879891963,2761.293862604506,2075.0,392.0,60.0,0,0.2647329000174068
11,ShiftC,12,12,12,10071.005,378,12,1,28,7458.96599467458,7749.005263992574,5276.96599467458,2472.0392693179933,1890.0,372.0,60.0,0,0.2265925999963656
