case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,wall_time_s
1,Q3_direct,10,9,7,3943.782,154,7,0,8,0.08290380000835285
1,L1000_C2,10,10,10,11404.687,418,10,1,31,0.1867142999835778
1,L1000_C3,10,10,10,12037.971,540,10,1,31,0.16176640000776388
1,L1000_C4,10,10,10,11648.24,537,10,1,31,0.00438549998216331
1,L1000_C5,10,10,10,11936.88,585,10,1,31,0.0035871000145561993
1,L950_C2,10,10,10,10714.708,403,10,1,31,0.1098589000175707
1,L950_C3,10,10,10,10855.525,495,10,1,31,0.042000299989013
1,L950_C4,10,10,10,11032.069,524,10,1,31,0.030923400016035885
1,L900_C3,10,10,10,12020.6,540,10,1,37,0.027440500009106472
1,L900_C5,10,10,10,12109.755,631,10,1,37,0.005246499989880249
2,Q3_direct,10,9,9,3682.975,135,9,0,8,0.09718620000057854
2,L1000_C2,10,10,10,11449.82,391,10,1,31,0.05172319998382591
2,L1000_C3,10,10,10,11506.105,449,10,1,31,0.016712799988454208
2,L1000_C4,10,10,10,11851.981,507,10,1,31,0.006918300001416355
2,L1000_C5,10,10,10,12115.971,551,10,1,31,0.006995700008701533
2,L950_C2,10,10,10,10850.118,391,10,1,31,0.1110597999941092
2,L950_C3,10,10,10,10634.008,444,10,1,31,0.014980599982663989
2,L950_C4,10,10,10,10926.67,495,10,1,31,0.005266599997412413
2,L900_C3,10,10,10,11885.962,542,10,1,37,0.190033199993195
2,L900_C5,10,10,10,12340.35,619,10,1,37,0.1500800000212621
3,Q3_direct,10,9,9,3889.714,131,9,0,8,0.07975459998124279
3,L1000_C2,10,10,10,11337.77,400,10,1,31,0.15436269997735508
3,L1000_C3,10,10,10,11821.049,516,10,1,31,0.023688999994192272
3,L1000_C4,10,10,10,12011.946,548,10,1,31,0.023146499996073544
3,L1000_C5,10,10,10,12084.288,560,10,1,31,0.022255499992752448
3,L950_C2,10,10,10,10569.071,394,10,1,31,0.12848469999153167
3,L950_C3,10,10,10,11066.887,515,10,1,31,0.12326969997957349
3,L950_C4,10,10,10,11135.261,526,10,1,31,0.09770869999192655
3,L900_C3,10,10,10,11907.224,548,10,1,37,0.09063639998203143
3,L900_C5,10,10,10,12597.32,663,10,1,37,0.08207509998464957
4,Q3_direct,14,12,10,3938.187,133,10,0,8,0.17607400001725182
4,L1000_C2,14,14,14,12195.492,317,14,1,31,0.3389960000058636
4,L1000_C3,14,14,14,11945.838,387,14,1,31,0.12392660000477917
4,L1000_C4,14,14,14,12140.765,473,14,1,31,0.11989490000996739
4,L1000_C5,14,14,14,12187.377,493,14,1,31,0.04785879998235032
4,L950_C2,14,14,14,11495.452,300,14,1,31,0.2483545999857597
4,L950_C3,14,14,14,10894.445,337,14,1,31,0.2099205999984406
4,L950_C4,14,14,14,10814.484,376,14,1,31,0.12634419999085367
4,L900_C3,14,14,14,11491.625,377,14,1,37,0.08851570001570508
4,L900_C5,14,14,14,12146.01,509,14,1,37,0.0206668000028003
5,Q3_direct,13,12,11,4199.96,160,11,0,8,0.2136324000020977
5,L1000_C2,13,13,13,11267.354,341,13,1,31,0.19959429997834377
5,L1000_C3,13,13,13,11395.099,439,13,1,31,0.019617499987361953
5,L1000_C4,13,13,13,11976.393,536,13,1,31,0.007465400005457923
5,L1000_C5,13,13,13,12053.239,549,13,1,31,0.007594200025778264
5,L950_C2,13,13,13,10523.457,327,13,1,31,0.19841720000840724
5,L950_C3,13,13,13,10699.932,405,13,1,31,0.07781380001688376
5,L950_C4,13,13,13,11335.736,511,13,1,31,0.068627300002845
5,L900_C3,13,13,13,11331.336,472,13,1,37,0.041060700023081154
5,L900_C5,13,13,13,11704.233,503,13,1,37,0.02385830000275746
6,Q3_direct,12,11,11,4301.774,128,11,0,8,0.09664919998613186
6,L1000_C2,12,12,12,11638.812,406,12,1,31,0.385229800012894
6,L1000_C3,12,12,12,11737.591,475,12,1,31,0.19499579997500405
6,L1000_C4,12,12,12,12285.173,564,12,1,31,0.185185200010892
6,L1000_C5,12,12,12,12460.113,593,12,1,31,0.17143419999047183
6,L950_C2,12,12,12,10559.744,382,12,1,31,0.14191450001089834
6,L950_C3,12,12,12,10598.437,398,12,1,31,0.07233359999372624
6,L950_C4,12,12,12,11231.039,507,12,1,31,0.03081019999808632
6,L900_C3,12,12,12,10996.506,455,12,1,37,0.1173858999973163
6,L900_C5,12,12,12,11801.315,581,12,1,37,0.006833999999798834
7,Q3_direct,16,14,13,5347.134,165,13,0,8,0.19935599999735132
7,L1000_C2,16,16,16,8795.328,244,16,1,31,0.23291449999669567
7,L1000_C3,16,16,16,9270.269,360,16,1,31,0.11457920001703314
7,L1000_C4,16,16,16,9595.555,414,16,1,31,0.12576640001498163
