case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,wall_time_s
1,L1100_C2,16,16,16,6173.934,295,16,1,19,0.33505600001080893
2,L1100_C2,16,16,16,6712.955,272,16,1,19,0.5410313000029419
3,L1100_C2,16,16,16,7199.217,247,16,1,19,0.2236057999834884
4,L1100_C2,16,16,16,6722.1,266,16,1,19,0.30520200001774356
5,L1100_C2,16,16,16,8336.215,343,16,1,19,0.3166049999999814
6,L1100_C2,16,16,16,8369.223,280,16,1,19,0.28880529999150895
7,L1100_C2,16,16,16,7751.829,238,16,1,19,0.3049888999958057
8,L1100_C2,16,16,16,7250.373,285,16,1,19,0.20254900000873022
9,L1100_C2,16,16,16,7253.672,242,16,1,19,0.33444730000337586
10,L1100_C2,16,16,16,8388.756,330,16,1,19,0.45126249999157153
11,L1100_C2,16,16,16,7795.547,293,16,1,19,0.4570313000003807
12,L1100_C2,16,16,16,6428.135,268,16,1,19,0.4227077000250574
13,L1100_C2,16,16,16,6870.218,289,16,1,19,0.6819041000271682
14,L1100_C2,16,16,16,8582.101,339,16,1,19,0.43786000000545755
15,L1100_C2,16,16,16,8169.394,338,16,1,19,0.24750669999048114
16,L1100_C2,16,16,16,7816.719,326,16,1,19,0.3446008000173606
17,L1100_C2,16,16,16,8190.986,345,16,1,19,0.37602110000443645
18,L1100_C2,16,16,16,9242.349,387,16,1,19,0.5012066000199411
19,L1100_C2,16,16,16,8141.134,313,16,1,19,0.4227099000127055
20,L1100_C2,16,16,16,7729.195,313,16,1,19,0.5659026999783237
21,L1100_C2,16,16,16,8463.603,268,16,1,19,0.37247349999961443
22,L1100_C2,16,16,16,8350.904,339,16,1,19,0.28263929998502135
23,L1100_C2,16,16,16,8369.542,273,16,1,19,0.4511828000249807
24,L1100_C2,16,16,16,8162.461,258,16,1,19,0.37258870000368915
25,L1100_C2,16,16,16,8361.784,313,16,1,19,0.4716691999929026
26,L1100_C2,16,16,16,8580.669,310,16,1,19,0.39323159999912605
27,L1100_C2,16,16,16,5647.587,229,16,1,19,0.2674362999969162
28,L1100_C2,16,16,16,8042.711,352,16,1,19,0.3558099999791011
