case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,wall_time_s
1,Base,15,15,15,9590.426,345,15,1,27,5922.8719793931805,7469.426254495868,4081.871979393182,3387.5542751026874,1725.0,321.0,75.0,0,0.6515885999833699
1,Ins200,15,15,15,11625.669,326,15,1,27,5958.777339481451,9619.669067426916,4258.777339481452,5360.891727945462,1630.0,301.0,75.0,0,1.052771999995457
1,Ins350,15,15,15,11625.669,326,15,1,27,5958.777339481451,9619.669067426916,4258.777339481452,5360.891727945462,1630.0,301.0,75.0,0,1.0565397000173107
1,Ins500,15,15,15,10934.105,326,15,1,27,6126.354065933725,8927.105467272773,4392.354065933726,4534.751401339049,1630.0,302.0,75.0,0,0.9393270000000484
1,Ins800,15,15,15,10781.033,325,15,1,27,6188.27799240136,8778.033350398808,4453.277992401361,4324.755357997447,1625.0,303.0,75.0,0,0.8436631000076886
1,Ins500x16,15,15,15,10682.617,327,15,1,27,6447.887283227742,8667.616506256914,4677.887283227744,3989.729223029174,1635.0,305.0,75.0,0,0.9694502000056673
2,Base,16,16,16,8512.791,295,16,1,27,4265.810490091315,6681.790658211585,2826.8104900913154,3854.9801681202684,1475.0,276.0,80.0,0,0.4917272999882698
2,Ins200,16,16,16,9124.365,231,16,1,27,4137.342202801695,7678.364748106766,2952.3422028016957,4726.022545305066,1155.0,211.0,80.0,0,2.254023599991342
2,Ins350,16,16,16,8365.295,226,16,1,27,4255.079695016286,6945.295349565702,3066.0796950162858,3879.2156545494163,1130.0,210.0,80.0,0,1.5397591999790166
2,Ins500,16,16,16,8365.295,226,16,1,27,4255.079695016286,6945.295349565702,3066.0796950162858,3879.2156545494163,1130.0,210.0,80.0,0,1.496595900011016
2,Ins800,16,16,16,8323.036,227,16,1,27,4586.433771078517,6900.036036398457,3427.4337710785176,3472.6022653199407,1135.0,208.0,80.0,0,1.4513536999875214
2,Ins500x16,16,16,16,7989.256,223,16,1,27,4548.9329468316755,6584.2559839437545,3321.9329468316773,3262.3230371120753,1115.0,210.0,80.0,0,2.0627547999902163
3,Base,16,16,16,7385.663,311,16,1,27,4644.538123959431,5449.662925932719,3001.538123959432,2448.124801973289,1555.0,301.0,80.0,0,0.5065507999970578
3,Ins200,16,16,16,9810.727,330,16,1,27,4888.6307889831705,7787.727254203944,3229.6307889831714,4558.096465220777,1650.0,293.0,80.0,0,2.870327399985399
3,Ins350,16,16,16,9335.703,318,16,1,27,4847.554011245436,7376.70300256265,3327.554011245438,4049.1489913172145,1590.0,289.0,80.0,0,0.7878268999920692
3,Ins500,16,16,16,9125.091,316,16,1,27,4840.482377928525,7179.090798302179,3319.4823779285266,3859.6084203736536,1580.0,286.0,80.0,0,0.6889937999949325
3,Ins800,16,16,16,9670.085,373,16,1,27,5137.00894737393,7371.08532854707,3527.008947373931,3844.076381173144,1865.0,354.0,80.0,0,0.9692374999867752
3,Ins500x16,16,16,16,10481.044,357,16,1,27,5139.576029223247,8286.044391691554,3567.576029223248,4718.468362468313,1785.0,330.0,80.0,0,1.2086182000057306
4,Base,14,14,14,8465.084,323,14,1,27,5940.8719793931805,6459.084320715162,4081.871979393182,2377.21234132198,1615.0,321.0,70.0,0,0.2986129999917466
4,Ins200,14,14,14,9386.665,332,14,1,27,6170.864290637435,7333.665013819845,4274.864290637437,3058.8007231824085,1660.0,323.0,70.0,0,0.7062501000182237
4,Ins350,14,14,14,9493.649,330,14,1,27,6263.369195628344,7456.649021141774,4388.369195628345,3068.279825513429,1650.0,317.0,70.0,0,0.6814804000023287
4,Ins500,14,14,14,8990.744,309,14,1,27,6275.7545225329395,7074.743912189274,4500.754522532941,2573.9893896563312,1545.0,301.0,70.0,0,0.6188071999931708
4,Ins800,14,14,14,9179.329,328,14,1,27,6467.930927101427,7150.328548190334,4579.930927101428,2570.3976210889055,1640.0,319.0,70.0,0,0.6478522999968845
4,Ins500x16,14,14,14,9137.01,313,14,1,27,6418.640268360154,7201.010251416387,4623.640268360155,2577.369983056231,1565.0,301.0,70.0,0,0.9094563000253402
