case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,wall_time_s
1,Base,15,15,15,9590.426,345,15,1,27,5922.8719793931805,7469.426254495868,4081.871979393182,3387.5542751026874,1725.0,321.0,75.0,0,0.5516636000247672
1,ActionNode,15,15,15,9808.357,355,15,1,27,5922.8719793931805,7633.356928083763,4081.871979393182,3551.484948690584,1775.0,325.0,75.0,0,6.591897700011032
1,StickyAction,15,15,15,9946.34,363,15,1,27,5922.8719793931805,7737.339738550274,4081.871979393182,3655.4677591570976,1815.0,319.0,75.0,0,2.1047570999944583
1,StickyOnly,15,15,15,9590.426,345,15,1,27,5922.8719793931805,7469.426254495868,4081.871979393182,3387.5542751026874,1725.0,321.0,75.0,0,0.5465032999927644
2,Base,16,16,16,8512.791,295,16,1,27,4265.810490091315,6681.790658211585,2826.8104900913154,3854.9801681202684,1475.0,276.0,80.0,0,0.3581693999876734
2,ActionNode,16,16,16,8616.306,304,16,1,27,4265.810490091315,6736.305510414257,2826.8104900913154,3909.4950203229423,1520.0,280.0,80.0,0,6.517942100006621
2,StickyAction,16,16,16,8534.29,291,16,1,27,4265.810490091315,6728.290486342868,2826.8104900913154,3901.4799962515517,1455.0,271.0,80.0,0,3.071280400006799
2,StickyOnly,16,16,16,8482.267,295,16,1,27,4265.810490091315,6651.266504069761,2826.8104900913154,3824.456013978445,1475.0,276.0,80.0,0,0.39156079999520443
3,Base,16,16,16,7385.663,311,16,1,27,4644.538123959431,5449.662925932719,3001.538123959432,2448.124801973289,1555.0,301.0,80.0,0,0.43006749998312443
3,ActionNode,16,16,16,7818.929,311,16,1,27,4644.538123959431,5890.9286626558505,3001.538123959432,2889.39053869642,1555.0,293.0,80.0,0,6.805633399984799
3,StickyAction,16,16,16,8066.397,310,16,1,27,4644.538123959431,6145.396897227629,3001.538123959432,3143.858773268198,1550.0,291.0,80.0,0,2.363719199987827
3,StickyOnly,16,16,16,7449.428,311,16,1,27,4644.538123959431,5514.428047371668,3001.538123959432,2512.889923412238,1555.0,300.0,80.0,0,0.3775655999779701
4,Base,14,14,14,8465.084,323,14,1,27,5940.8719793931805,6459.084320715162,4081.871979393182,2377.21234132198,1615.0,321.0,70.0,0,0.26933850001660176
4,ActionNode,14,14,14,8873.998,329,14,1,27,5940.8719793931805,6836.997959402833,4081.871979393182,2755.125980009654,1645.0,322.0,70.0,0,3.0519027000118513
4,StickyAction,14,14,14,8713.944,324,14,1,27,5940.8719793931805,6702.944098284461,4081.871979393182,2621.0721188912794,1620.0,321.0,70.0,0,1.6842069999838714
4,StickyOnly,14,14,14,8465.084,323,14,1,27,5940.8719793931805,6459.084320715162,4081.871979393182,2377.21234132198,1615.0,321.0,70.0,0,0.20041089999722317
5,Base,10,10,10,9225.552,393,10,1,27,6393.297202254052,6825.552405992204,4121.2972022540525,2704.255203738151,1965.0,385.0,50.0,0,0.19390430001658387
5,ActionNode,10,10,10,9451.906,398,10,1,27,6393.297202254052,7023.905605805587,4121.2972022540525,2902.608403551535,1990.0,388.0,50.0,0,1.99178949999623
5,StickyAction,10,10,10,9360.826,396,10,1,27,6393.297202254052,6945.826339152252,4121.2972022540525,2824.5291368982007,1980.0,385.0,50.0,0,1.0975922000070568
5,StickyOnly,10,10,10,9225.552,393,10,1,27,6393.297202254052,6825.552405992204,4121.2972022540525,2704.255203738151,1965.0,385.0,50.0,0,0.1719440000015311
6,Base,12,12,12,8655.664,384,12,1,27,6372.4907226515115,6297.664441653141,4149.490722651513,2148.173719001626,1920.0,378.0,60.0,0,0.21994680000352673
6,ActionNode,12,12,12,8622.918,381,12,1,27,6372.4907226515115,6279.91797820145,4149.490722651513,2130.427255549935,1905.0,378.0,60.0,0,1.453565300005721
6,StickyAction,12,12,12,8919.076,381,12,1,27,6372.4907226515115,6576.0763740434195,4149.490722651513,2426.5856513919052,1905.0,378.0,60.0,0,1.0558148999989498
6,StickyOnly,12,12,12,8635.601,382,12,1,27,6372.4907226515115,6287.600745463236,4149.490722651513,2138.1100228117216,1910.0,378.0,60.0,0,0.19134569997549988
7,Base,10,10,10,8592.231,381,10,1,27,6150.871979393181,6284.230687506482,4081.871979393182,2202.3587081133046,1905.0,353.0,50.0,0,0.5433027999824844
7,ActionNode,10,10,10,8731.218,383,10,1,27,6150.871979393181,6411.218267527067,4081.871979393182,2329.346288133889,1915.0,355.0,50.0,0,6.195169899991015
7,StickyAction,10,10,10,8592.231,381,10,1,27,6150.871979393181,6284.230687506482,4081.871979393182,2202.3587081133046,1905.0,353.0,50.0,0,1.6832716000208165
7,StickyOnly,10,10,10,8592.231,381,10,1,27,6150.871979393181,6284.230687506482,4081.871979393182,2202.3587081133046,1905.0,353.0,50.0,0,0.4882250000082422
8,Base,10,10,10,8378.964,415,10,1,27,6462.615922705135,5850.9637180430545,4082.615922705137,1768.3477953379186,2075.0,403.0,50.0,0,0.2671167000080459
8,ActionNode,10,10,10,8378.89,415,10,1,27,6462.615922705135,5849.889578657809,4082.615922705137,1767.2736559526716,2075.0,404.0,50.0,0,2.471690200007288
8,StickyAction,10,10,10,8378.964,415,10,1,27,6462.615922705135,5850.9637180430545,4082.615922705137,1768.3477953379186,2075.0,403.0,50.0,0,1.3899150000070222
8,StickyOnly,10,10,10,8378.964,415,10,1,27,6462.615922705135,5850.9637180430545,4082.615922705137,1768.3477953379186,2075.0,403.0,50.0,0,0.3161705000093207
9,Base,13,13,13,8809.801,348,13,1,27,5922.871979393181,6685.801067135501,4081.871979393182,2603.9290877423273,1740.0,319.0,65.0,0,0.5896405999956187
9,ActionNode,13,13,13,8900.362,355,13,1,27,5922.871979393181,6739.361857002093,4081.871979393182,2657.489877608918,1775.0,321.0,65.0,0,7.6026430999918375
9,StickyAction,13,13,13,9188.792,355,13,1,27,5922.871979393181,7028.7922210682445,4081.871979393182,2946.9202416750713,1775.0,320.0,65.0,0,4.865810899995267
9,StickyOnly,13,13,13,9161.003,359,13,1,27,5922.871979393181,6983.003367555536,4081.871979393182,2901.1313881623632,1795.0,318.0,65.0,0,0.7353864000178874
10,Base,15,15,15,8853.208,319,15,1,27,5869.689968645533,6881.208376403161,4125.689968645533,2755.518407757629,1595.0,302.0,75.0,0,0.4774164999835193
10,ActionNode,15,15,15,8989.234,313,15,1,27,5869.689968645533,7045.23416599828,4125.689968645533,2919.544197352747,1565.0,304.0,75.0,0,5.030245700007072
10,StickyAction,15,15,15,9163.544,318,15,1,27,5869.689968645533,7195.5440936329915,4125.689968645533,3069.8541249874593,1590.0,303.0,75.0,0,2.143752600008156
10,StickyOnly,15,15,15,8853.208,319,15,1,27,5869.689968645533,6881.208376403161,4125.689968645533,2755.518407757629,1595.0,302.0,75.0,0,0.3974249000020791
11,Base,13,13,13,8467.974,344,13,1,27,6012.871979393181,6350.974112209124,4081.871979393182,2269.102132815943,1720.0,332.0,65.0,0,0.29264460000558756
11,ActionNode,13,13,13,8672.593,345,13,1,27,6012.871979393181,6548.5934172932075,4081.871979393182,2466.7214379000247,1725.0,334.0,65.0,0,3.2207358999876305
11,StickyAction,13,13,13,8689.545,347,13,1,27,6012.871979393181,6557.545329427486,4081.871979393182,2475.6733500343075,1735.0,332.0,65.0,0,1.6234454000077676
11,StickyOnly,13,13,13,8467.974,344,13,1,27,6012.871979393181,6350.974112209124,4081.871979393182,2269.102132815943,1720.0,332.0,65.0,0,0.35567779999109916
12,Base,11,11,11,8681.283,388,11,1,27,6288.8719793931805,6308.283191317087,4081.871979393182,2226.4112119239035,1940.0,378.0,55.0,0,0.3556701999914367
12,ActionNode,11,11,11,8749.882,391,11,1,27,6288.8719793931805,6358.882253370484,4081.871979393182,2277.0102739773038,1955.0,381.0,55.0,0,4.123056799988262
12,StickyAction,11,11,11,9015.425,398,11,1,27,6288.8719793931805,6592.424581513397,4081.871979393182,2510.552602120217,1990.0,378.0,55.0,0,1.7341459000017494
12,StickyOnly,11,11,11,8681.283,388,11,1,27,6288.8719793931805,6308.283191317087,4081.871979393182,2226.4112119239035,1940.0,378.0,55.0,0,0.3611187000060454
13,Base,10,10,10,9016.739,401,10,1,27,6306.8719793931805,6581.73864021452,4081.871979393182,2499.8666608213402,2005.0,380.0,50.0,0,0.48024849998182617
13,ActionNode,10,10,10,9067.277,400,10,1,27,6306.8719793931805,6635.276919028674,4081.871979393182,2553.4049396354935,2000.0,382.0,50.0,0,2.439310799993109
13,StickyAction,10,10,10,9081.759,402,10,1,27,6306.8719793931805,6642.759177060807,4081.871979393182,2560.887197667627,2010.0,379.0,50.0,0,1.1421157000004314
13,StickyOnly,10,10,10,9064.801,401,10,1,27,6306.8719793931805,6630.80078964447,4081.871979393182,2548.9288102512896,2005.0,379.0,50.0,0,0.47085760001209565
14,Base,16,16,16,8203.531,393,16,1,27,5256.86892231273,5772.530602655812,3452.868922312732,2319.6616803430816,1965.0,386.0,80.0,0,0.576331799995387
14,ActionNode,16,16,16,8488.425,400,16,1,27,5256.86892231273,6018.42470487705,3452.868922312732,2565.555782564317,2000.0,390.0,80.0,0,7.061389599984977
14,StickyAction,16,16,16,8556.888,399,16,1,27,5256.86892231273,6089.888211649534,3452.868922312732,2637.019289336803,1995.0,392.0,80.0,0,4.509239200007869
14,StickyOnly,16,16,16,8194.022,393,16,1,27,5256.86892231273,5763.021934856512,3452.868922312732,2310.153012543782,1965.0,386.0,80.0,0,0.5214399000105914
15,Base,15,15,15,8096.017,318,15,1,27,5932.873121031156,6118.0166343390765,4098.873121031157,2019.1435133079185,1590.0,313.0,75.0,0,0.3132335999980569
15,ActionNode,15,15,15,8094.935,318,15,1,27,5932.873121031156,6116.935030010411,4098.873121031157,2018.0619089792542,1590.0,313.0,75.0,0,3.230777599994326
15,StickyAction,15,15,15,8096.017,318,15,1,27,5932.873121031156,6118.0166343390765,4098.873121031157,2019.1435133079185,1590.0,313.0,75.0,0,1.8500862999935634
15,StickyOnly,15,15,15,8096.017,318,15,1,27,5932.873121031156,6118.0166343390765,4098.873121031157,2019.1435133079185,1590.0,313.0,75.0,0,0.2526822999934666
16,Base,12,12,12,9006.582,376,12,1,27,6169.69617550003,6719.582403112848,4125.696175500032,2593.886227612818,1880.0,347.0,60.0,0,0.43513009999878705
16,ActionNode,12,12,12,8689.737,366,12,1,27,6169.69617550003,6451.7368643616755,4125.696175500032,2326.040688861644,1830.0,348.0,60.0,0,3.3538586999929976
16,StickyAction,12,12,12,8607.253,364,12,1,27,6169.69617550003,6379.252703915718,4125.696175500032,2253.5565284156874,1820.0,348.0,60.0,0,1.408612400002312
16,StickyOnly,12,12,12,9006.582,376,12,1,27,6169.69617550003,6719.582403112848,4125.696175500032,2593.886227612818,1880.0,347.0,60.0,0,0.4072982000070624
17,Base,11,11,11,9653.389,426,11,1,27,6378.8719793931805,7076.389215914623,4081.871979393182,2994.51723652145,2130.0,392.0,55.0,0,0.5272540000150912
17,ActionNode,11,11,11,9407.769,413,11,1,27,6378.8719793931805,6895.769244110398,4081.871979393182,2813.897264717217,2065.0,392.0,55.0,0,3.966117599979043
17,StickyAction,11,11,11,9830.468,423,11,1,27,6378.8719793931805,7269.468009181344,4081.871979393182,3187.5960297881675,2115.0,391.0,55.0,0,2.2056190999865066
