case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,wall_time_s
1,Base,15,15,15,9590.426,345,15,1,27,5922.8719793931805,7469.426254495868,4081.871979393182,3387.5542751026874,1725.0,321.0,75.0,0,0.6010171999805607
1,Beam,15,15,15,9590.426,345,15,1,27,5922.8719793931805,7469.426254495868,4081.871979393182,3387.5542751026874,1725.0,321.0,75.0,0,1.1434030999953393
1,Chase,15,15,15,9176.023,337,15,1,27,5922.8719793931805,7095.022625512387,4081.871979393182,3013.150646119207,1685.0,321.0,75.0,0,0.6522284000238869
2,Base,16,16,16,8512.791,295,16,1,27,4265.810490091315,6681.790658211585,2826.8104900913154,3854.9801681202684,1475.0,276.0,80.0,0,0.4369513999845367
2,Beam,16,16,16,8512.791,295,16,1,27,4265.810490091315,6681.790658211585,2826.8104900913154,3854.9801681202684,1475.0,276.0,80.0,0,0.762133799988078
2,Chase,16,16,16,8865.116,304,16,1,27,4265.810490091315,6980.1156090949125,2826.8104900913154,4153.305119003597,1520.0,285.0,80.0,0,0.4725884999788832
3,Base,16,16,16,7385.663,311,16,1,27,4644.538123959431,5449.662925932719,3001.538123959432,2448.124801973289,1555.0,301.0,80.0,0,0.4779014000087045
3,Beam,16,16,16,7385.663,311,16,1,27,4644.538123959431,5449.662925932719,3001.538123959432,2448.124801973289,1555.0,301.0,80.0,0,0.8969387999968603
3,Chase,16,16,16,7578.451,322,16,1,27,4644.538123959431,5573.451350224119,3001.538123959432,2571.9132262646854,1610.0,315.0,80.0,0,0.7253205000015441
4,Base,14,14,14,8465.084,323,14,1,27,5940.8719793931805,6459.084320715162,4081.871979393182,2377.21234132198,1615.0,321.0,70.0,0,0.25583219999680296
4,Beam,14,14,14,8465.084,323,14,1,27,5940.8719793931805,6459.084320715162,4081.871979393182,2377.21234132198,1615.0,321.0,70.0,0,0.48780130001250654
4,Chase,14,14,14,9230.892,346,14,1,27,5940.8719793931805,7109.891565779388,4081.871979393182,3028.0195863862145,1730.0,321.0,70.0,0,0.7914842999889515
5,Base,10,10,10,9225.552,393,10,1,27,6393.297202254052,6825.552405992204,4121.2972022540525,2704.255203738151,1965.0,385.0,50.0,0,0.2002613999939058
5,Beam,10,10,10,9225.552,393,10,1,27,6393.297202254052,6825.552405992204,4121.2972022540525,2704.255203738151,1965.0,385.0,50.0,0,0.4196890000021085
5,Chase,10,10,10,9483.841,399,10,1,27,6393.297202254052,7053.841061953138,4121.2972022540525,2932.5438596990875,1995.0,385.0,50.0,0,0.3739617000101134
6,Base,12,12,12,8655.664,384,12,1,27,6372.4907226515115,6297.664441653141,4149.490722651513,2148.173719001626,1920.0,378.0,60.0,0,0.17691870001726784
6,Beam,12,12,12,8655.664,384,12,1,27,6372.4907226515115,6297.664441653141,4149.490722651513,2148.173719001626,1920.0,378.0,60.0,0,0.4048866000084672
6,Chase,12,12,12,8828.838,389,12,1,27,6372.4907226515115,6445.837547792905,4149.490722651513,2296.3468251413915,1945.0,378.0,60.0,0,0.4056343999982346
7,Base,10,10,10,8592.231,381,10,1,27,6150.871979393181,6284.230687506482,4081.871979393182,2202.3587081133046,1905.0,353.0,50.0,0,0.5864768000028562
7,Beam,10,10,10,8592.231,381,10,1,27,6150.871979393181,6284.230687506482,4081.871979393182,2202.3587081133046,1905.0,353.0,50.0,0,0.9684676000033505
7,Chase,10,10,10,7951.461,372,10,1,27,6150.871979393181,5688.460619489755,4081.871979393182,1606.5886400965783,1860.0,353.0,50.0,0,0.5915437999938149
8,Base,10,10,10,8378.964,415,10,1,27,6462.615922705135,5850.9637180430545,4082.615922705137,1768.3477953379186,2075.0,403.0,50.0,0,0.3269438999996055
8,Beam,10,10,10,8378.964,415,10,1,27,6462.615922705135,5850.9637180430545,4082.615922705137,1768.3477953379186,2075.0,403.0,50.0,0,0.7718822000024375
8,Chase,10,10,10,8429.464,419,10,1,27,6462.615922705135,5881.464376681206,4082.615922705137,1798.8484539760718,2095.0,403.0,50.0,0,0.6092921000090428
9,Base,13,13,13,8809.801,348,13,1,27,5922.871979393181,6685.801067135501,4081.871979393182,2603.9290877423273,1740.0,319.0,65.0,0,0.635768799984362
9,Beam,13,13,13,8809.801,348,13,1,27,5922.871979393181,6685.801067135501,4081.871979393182,2603.9290877423273,1740.0,319.0,65.0,0,1.5045862999977544
9,Chase,13,13,13,9170.524,359,13,1,27,5922.871979393181,6991.523831350634,4081.871979393182,2909.6518519574597,1795.0,319.0,65.0,0,0.965146000002278
10,Base,15,15,15,8853.208,319,15,1,27,5869.689968645533,6881.208376403161,4125.689968645533,2755.518407757629,1595.0,302.0,75.0,0,0.3871268999937456
10,Beam,15,15,15,8853.208,319,15,1,27,5869.689968645533,6881.208376403161,4125.689968645533,2755.518407757629,1595.0,302.0,75.0,0,0.6861566000152379
10,Chase,15,15,15,9869.622,345,15,1,27,5869.689968645533,7767.6221134169555,4125.689968645533,3641.9321447714315,1725.0,302.0,75.0,0,1.4172918999975082
11,Base,13,13,13,8467.974,344,13,1,27,6012.871979393181,6350.974112209124,4081.871979393182,2269.102132815943,1720.0,332.0,65.0,0,0.3531160000129603
11,Beam,13,13,13,8467.974,344,13,1,27,6012.871979393181,6350.974112209124,4081.871979393182,2269.102132815943,1720.0,332.0,65.0,0,0.8095692000060808
11,Chase,13,13,13,8599.437,350,13,1,27,6012.871979393181,6451.436588360793,4081.871979393182,2369.564608967615,1750.0,333.0,65.0,0,0.6511966000252869
12,Base,11,11,11,8681.283,388,11,1,27,6288.8719793931805,6308.283191317087,4081.871979393182,2226.4112119239035,1940.0,378.0,55.0,0,0.3213646999793127
12,Beam,11,11,11,8687.191,389,11,1,27,6288.8719793931805,6309.190966218234,4081.871979393182,2227.3189868250515,1945.0,378.0,55.0,0,0.7939588000008371
12,Chase,11,11,11,9061.489,403,11,1,27,6288.8719793931805,6612.488612226545,4081.871979393182,2530.616632833369,2015.0,379.0,55.0,0,0.8642971999943256
13,Base,10,10,10,9016.739,401,10,1,27,6306.8719793931805,6581.73864021452,4081.871979393182,2499.8666608213402,2005.0,380.0,50.0,0,0.4526727999909781
13,Beam,10,10,10,9016.739,401,10,1,27,6306.8719793931805,6581.73864021452,4081.871979393182,2499.8666608213402,2005.0,380.0,50.0,0,1.0068578000064008
13,Chase,10,10,10,9058.301,401,10,1,27,6306.8719793931805,6623.300942187151,4081.871979393182,2541.428962793975,2005.0,380.0,50.0,0,0.4888770999968983
14,Base,16,16,16,8203.531,393,16,1,27,5256.86892231273,5772.530602655812,3452.868922312732,2319.6616803430816,1965.0,386.0,80.0,0,0.6019398999924306
14,Beam,16,16,16,8203.531,393,16,1,27,5256.86892231273,5772.530602655812,3452.868922312732,2319.6616803430816,1965.0,386.0,80.0,0,1.0935920999909285
14,Chase,16,16,16,8355.799,392,16,1,27,5256.86892231273,5931.798855779543,3452.868922312732,2478.929933466812,1960.0,384.0,80.0,0,0.6833106000267435
15,Base,15,15,15,8096.017,318,15,1,27,5932.873121031156,6118.0166343390765,4098.873121031157,2019.1435133079185,1590.0,313.0,75.0,0,0.27385519997915253
15,Beam,15,15,15,8096.017,318,15,1,27,5932.873121031156,6118.0166343390765,4098.873121031157,2019.1435133079185,1590.0,313.0,75.0,0,0.43930339999496937
15,Chase,15,15,15,8324.414,325,15,1,27,5932.873121031156,6311.414407647745,4098.873121031157,2212.5412866165902,1625.0,313.0,75.0,0,0.5187252000032458
16,Base,12,12,12,9006.582,376,12,1,27,6169.69617550003,6719.582403112848,4125.696175500032,2593.886227612818,1880.0,347.0,60.0,0,0.5100756999745499
16,Beam,12,12,12,9012.833,377,12,1,27,6169.69617550003,6720.833251404157,4125.696175500032,2595.1370759041274,1885.0,347.0,60.0,0,1.0556454999896232
16,Chase,12,12,12,8870.424,373,12,1,27,6169.69617550003,6598.424091728533,4125.696175500032,2472.7279162285085,1865.0,347.0,60.0,0,0.7806120000022929
17,Base,11,11,11,9653.389,426,11,1,27,6378.8719793931805,7076.389215914623,4081.871979393182,2994.51723652145,2130.0,392.0,55.0,0,0.5425912999780849
17,Beam,11,11,11,9647.923,426,11,1,27,6378.8719793931805,7070.922904247799,4081.871979393182,2989.0509248546264,2130.0,392.0,55.0,0,1.3295081999967806
17,Chase,11,11,11,9395.258,420,11,1,27,6378.8719793931805,6848.2581609150375,4081.871979393182,2766.386181521868,2100.0,392.0,55.0,0,0.8749636000138707
18,Base,14,14,14,8716.944,403,14,1,27,6293.761180843749,6239.944158238561,4112.76118084375,2127.1829773948093,2015.0,392.0,70.0,0,0.31932229999802075
18,Beam,14,14,14,8716.944,403,14,1,27,6293.761180843749,6239.944158238561,4112.76118084375,2127.1829773948093,2015.0,392.0,70.0,0,0.7120508000080008
18,Chase,14,14,14,9250.457,417,14,1,27,6293.761180843749,6702.457102254589,4112.76118084375,2589.695921410841,2085.0,393.0,70.0,0,0.9026456999999937
19,Base,14,14,14,8364.979,380,14,1,27,6281.017023851381,6023.979131898551,4117.017023851383,1906.9621080471682,1900.0,371.0,70.0,0,0.501547899999423
19,Beam,14,14,14,8364.979,380,14,1,27,6281.017023851381,6023.979131898551,4117.017023851383,1906.9621080471682,1900.0,371.0,70.0,0,0.9360515000007581
19,Chase,14,14,14,8451.897,387,14,1,27,6281.017023851381,6075.897421947332,4117.017023851383,1958.8803980959553,1935.0,371.0,70.0,0,0.7347018000145908
20,Base,13,13,13,8621.388,317,13,1,27,5898.456232111449,6663.388303341729,4106.45623211145,2556.9320712302815,1585.0,308.0,65.0,0,0.3584645999944769
20,Beam,13,13,13,8621.388,317,13,1,27,5898.456232111449,6663.388303341729,4106.45623211145,2556.9320712302815,1585.0,308.0,65.0,0,0.6485059999977238
20,Chase,13,13,13,8682.603,317,13,1,27,5898.456232111449,6724.603011591695,4106.45623211145,2618.1467794802447,1585.0,308.0,65.0,0,0.37534699999378063
21,Base,15,15,15,8841.246,344,15,1,27,5952.8719793931805,6721.246090842074,4081.871979393182,2639.3741114488935,1720.0,325.0,75.0,0,0.6233982999983709
21,Beam,15,15,15,8841.246,344,15,1,27,5952.8719793931805,6721.246090842074,4081.871979393182,2639.3741114488935,1720.0,325.0,75.0,0,1.1392637999961153
21,Chase,15,15,15,9610.702,371,15,1,27,5952.8719793931805,7355.701710304567,4081.871979393182,3273.829730911393,1855.0,325.0,75.0,0,1.5378460000210907
22,Base,16,16,16,8992.374,337,16,1,27,5148.217187173481,6913.374266091916,3571.2171871734818,3342.1570789184348,1685.0,314.0,80.0,0,0.4842726000060793
22,Beam,16,16,16,8990.805,337,16,1,27,5148.217187173481,6911.804522275528,3571.2171871734818,3340.587335102047,1685.0,314.0,80.0,0,0.9940271999803372
22,Chase,16,16,16,9049.689,345,16,1,27,5148.217187173481,6920.689265172638,3571.2171871734818,3349.4720779991585,1725.0,324.0,80.0,0,0.7667965999862645
23,Base,13,13,13,7805.121,300,13,1,27,5760.871979393181,5946.121233682885,4081.871979393182,1864.2492542897044,1500.0,294.0,65.0,0,0.4193960000120569
