case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,search_sites,search_end_time_s,movement_time_s,search_movement_time_s,post_search_movement_time_s,detection_time_s,switching_time_s,clearing_time_s,failed_clear_actions,wall_time_s
1,Base,15,15,15,9590.426,345,15,1,27,5922.8719793931805,7469.426254495868,4081.871979393182,3387.5542751026874,1725.0,321.0,75.0,0,0.5534948999993503
1,OrdDens,15,15,15,9405.013,299,15,1,27,5669.3307090507005,7582.013304311552,4225.3307090507005,3356.682595260859,1495.0,253.0,75.0,0,1.0685905999853276
1,OrdArea,15,15,15,8247.374,294,15,1,27,5846.522787932492,6419.374257330521,4210.522787932492,2208.8514693980273,1470.0,283.0,75.0,0,0.3228831999877002
1,OrdTspReopt,15,15,15,8612.225,333,15,1,27,5981.263283255605,6556.22532107063,4153.263283255605,2402.9620378150257,1665.0,316.0,75.0,0,0.4856508999946527
2,Base,16,16,16,8512.791,295,16,1,27,4265.810490091315,6681.790658211585,2826.8104900913154,3854.9801681202684,1475.0,276.0,80.0,0,0.27518319999217056
2,OrdDens,16,16,16,8629.698,355,16,1,27,3571.123116808686,6439.697853652906,2444.1231168086865,3995.5747368442217,1775.0,335.0,80.0,0,0.7774878999916837
2,OrdArea,16,16,16,10142.144,341,16,1,27,5341.585328185172,8045.14431166811,3842.585328185173,4202.5589834829425,1705.0,312.0,80.0,0,0.9509450999903493
2,OrdTspReopt,16,16,16,9213.216,335,16,1,27,5083.549860307342,7146.216302632371,3470.5498603073406,3675.6664423250354,1675.0,312.0,80.0,0,0.7613380999828223
3,Base,16,16,16,7385.663,311,16,1,27,4644.538123959431,5449.662925932719,3001.538123959432,2448.124801973289,1555.0,301.0,80.0,0,0.3698498999874573
3,OrdDens,16,16,16,8551.478,274,16,1,27,5369.502338537915,6837.477801283259,3865.502338537915,2971.975462745347,1370.0,264.0,80.0,0,0.47955310001270846
3,OrdArea,16,16,16,8730.502,279,16,1,27,5490.341903633567,6995.502168242868,4015.3419036335677,2980.1602646092997,1395.0,260.0,80.0,0,0.6656015000189655
3,OrdTspReopt,16,16,16,8046.874,297,16,1,27,5059.549860307342,6202.873732298232,3470.5498603073406,2732.3238719908927,1485.0,279.0,80.0,0,0.63968510000268
