组号,误差半角(°),区域状态,直径(m),包含检查,直径不减检查,检查结果
MC001,0.9,polygon,20.357591513147714,基准,不适用,通过
MC001,1.0,polygon,25.16485363375846,通过,通过,通过
MC001,1.1,polygon,29.5787920582863,通过,通过,通过
MC002,0.9,polygon,21.94260765759147,基准,不适用,通过
MC002,1.0,polygon,25.900752615139197,通过,通过,通过
MC002,1.1,polygon,29.880126435011377,通过,通过,通过
MC003,0.9,polygon,15.269510318810058,基准,不适用,通过
MC003,1.0,polygon,16.965467905268856,通过,通过,通过
MC003,1.1,polygon,18.661218772855193,通过,通过,通过
MC004,0.9,polygon,57.54704227526857,基准,不适用,通过
MC004,1.0,polygon,63.96047131652355,通过,通过,通过
MC004,1.1,polygon,70.38001511552143,通过,通过,通过
MC005,0.9,polygon,20.902221591752255,基准,不适用,通过
MC005,1.0,polygon,23.54544241307357,通过,通过,通过
MC005,1.1,polygon,26.371866441114115,通过,通过,通过
MC006,0.9,polygon,30.231247406662717,基准,不适用,通过
MC006,1.0,polygon,34.19693276626413,通过,通过,通过
MC006,1.1,polygon,38.19250861417516,通过,通过,通过
MC007,0.9,polygon,69.68536273023058,基准,不适用,通过
MC007,1.0,polygon,77.42519309282439,通过,通过,通过
MC007,1.1,polygon,85.16408005387432,通过,通过,通过
MC008,0.9,polygon,13.872724911678942,基准,不适用,通过
MC008,1.0,polygon,15.416370839386895,通过,通过,通过
MC008,1.1,polygon,16.960722571438502,通过,通过,通过
MC009,0.9,polygon,18.67590287623729,基准,不适用,通过
MC009,1.0,polygon,22.942298815782443,通过,通过,通过
MC009,1.1,polygon,27.204783422917973,通过,通过,通过
MC010,0.9,polygon,7.668307280009751,基准,不适用,通过
MC010,1.0,polygon,11.39897170220262,通过,通过,通过
MC010,1.1,polygon,15.151449954690177,通过,通过,通过
MC011,0.9,polygon,24.57556202208023,基准,不适用,通过
MC011,1.0,polygon,27.38239911983539,通过,通过,通过
MC011,1.1,polygon,30.184537970198928,通过,通过,通过
MC012,0.9,polygon,360.3509105125196,基准,不适用,通过
MC012,1.0,polygon,400.37445073818,通过,通过,通过
MC012,1.1,polygon,440.39311252750974,通过,通过,通过
MC013,0.9,polygon,23.223714402075448,基准,不适用,通过
MC013,1.0,polygon,25.803131410454203,通过,通过,通过
MC013,1.1,polygon,28.38223401581949,通过,通过,通过
MC014,0.9,polygon,40.1558186118463,基准,不适用,通过
MC014,1.0,polygon,44.62895604649915,通过,通过,通过
MC014,1.1,polygon,49.10569603194546,通过,通过,通过
MC015,0.9,polygon,46.0552726432245,基准,不适用,通过
MC015,1.0,polygon,51.191844027016245,通过,通过,通过
MC015,1.1,polygon,56.33453578468227,通过,通过,通过
MC016,0.9,polygon,76.26009452487396,基准,不适用,通过
MC016,1.0,polygon,84.78361405099213,通过,通过,通过
MC016,1.1,polygon,93.32305727019629,通过,通过,通过
MC017,0.9,polygon,35.42656556460249,基准,不适用,通过
MC017,1.0,polygon,39.36133173437622,通过,通过,通过
MC017,1.1,polygon,43.2956182987446,通过,通过,通过
MC018,0.9,polygon,97.65716025776824,基准,不适用,通过
MC018,1.0,polygon,108.61325905037579,通过,通过,通过
MC018,1.1,polygon,119.60287954948124,通过,通过,通过
MC019,0.9,polygon,630.0659240363772,基准,不适用,通过
MC019,1.0,polygon,700.0462352269913,通过,通过,通过
MC019,1.1,polygon,770.018016575151,通过,通过,通过
MC020,0.9,polygon,91.22881682683925,基准,不适用,通过
MC020,1.0,polygon,101.36144064847805,通过,通过,通过
MC020,1.1,polygon,111.49282941295023,通过,通过,通过
MC021,0.9,polygon,15.29814958428078,基准,不适用,通过
MC021,1.0,polygon,18.339135349839623,通过,通过,通过
MC021,1.1,polygon,21.065573524225602,通过,通过,通过
MC022,0.9,polygon,3.7094131454991888,基准,不适用,通过
MC022,1.0,polygon,5.320281826516474,通过,通过,通过
MC022,1.1,polygon,7.297470932333074,通过,通过,通过
MC023,0.9,polygon,6.5783269569111305,基准,不适用,通过
MC023,1.0,polygon,9.005147865161952,通过,通过,通过
MC023,1.1,polygon,10.022563722129638,通过,通过,通过
MC024,0.9,polygon,286.41898217458146,基准,不适用,通过
MC024,1.0,polygon,321.2597456593994,通过,通过,通过
MC024,1.1,polygon,357.1272040826619,通过,通过,通过
MC025,0.9,polygon,24.715175313615667,基准,不适用,通过
MC025,1.0,polygon,27.460246255553415,通过,通过,通过
MC025,1.1,polygon,30.204982603056543,通过,通过,通过
MC026,0.9,polygon,21.539421359180864,基准,不适用,通过
MC026,1.0,polygon,24.252754962455906,通过,通过,通过
