权重w1几何,权重w2接收,权重w3时间,权重w4预测,外层损失L,接收率,MEC均值(m),MEC中位数(m),MEC_P90(m),≤20m成功率,总时间均值(s),总时间P90(s)
0.0,0.25,0.5,0.25,2.4375382653815985,1.0,46.04357990754808,37.234757107179014,83.18448901434937,0.25,91.00000000168757,125.0000000049733
0.0,0.5,0.25,0.25,2.4375382653815985,1.0,46.04357990754808,37.234757107179014,83.18448901434937,0.25,91.00000000168757,125.0000000049733
0.25,0.25,0.5,0.0,2.5119438934099696,1.0,38.09719463713538,29.579243153932808,83.18448901434937,0.4,105.0000000029388,125.0000000049733
0.25,0.0,0.5,0.25,2.7239414897769496,1.0,32.030407783711325,34.809869827156604,57.27677003194078,0.3,125.00000000200039,125.00000000562659
0.0,0.25,0.25,0.5,2.7258405778663692,1.0,27.125362185324217,20.452203171958942,44.645274976555214,0.5,131.00000000331028,165.00000000672088
0.0,0.0,0.5,0.5,3.0671288476532057,0.9,80.77310902393714,63.39277981982422,110.76117305423479,0.05,85.00000000043696,85.00000000690666
0.0,0.0,0.25,0.75,3.100026757522434,0.9,65.7513378459684,49.34678292143104,85.4160232633546,0.05,104.99999999908705,105.00000000493702
0.25,0.5,0.25,0.0,3.2834987542826775,1.0,21.674937661024096,18.85479794850169,31.57984703274055,0.55,171.00000000331676,205.00000000721215
0.5,0.0,0.5,0.0,3.3267512677354656,1.0,23.837563334946964,21.26572882011483,34.63280012715132,0.4,171.00000000177664,205.00000000473796
0.25,0.25,0.25,0.25,3.3882599465055017,1.0,21.07966393645844,18.433518986326824,31.57984703274055,0.65,178.0000000036919,205.00000000721215
0.0,0.0,0.75,0.25,3.466871365036962,0.9,134.09356823883624,123.78017289207695,250.0,0.0,44.99999999971554,45.00000000482426
0.0,0.25,0.0,0.75,3.777435132012195,1.0,21.371756539530463,21.183992644864098,27.959687880736336,0.45,201.00000000228107,225.00000000816777
0.0,0.5,0.0,0.5,3.777435132012195,1.0,21.371756539530463,21.183992644864098,27.959687880736336,0.45,201.00000000228107,225.00000000816777
0.0,0.75,0.0,0.25,3.777435132012195,1.0,21.371756539530463,21.183992644864098,27.959687880736336,0.45,201.00000000228107,225.00000000816777
0.5,0.25,0.25,0.0,3.943685235209616,1.0,21.350928364327743,21.043062053828965,26.230036956069256,0.25,211.00000000083656,245.00000000254332
0.25,0.25,0.0,0.5,3.9563030610520515,1.0,21.981819656915366,22.294781940019618,26.768085661950757,0.35,211.00000000027754,245.00000000005411
0.25,0.5,0.0,0.25,3.9563030610520515,1.0,21.981819656915366,22.294781940019618,26.768085661950757,0.35,211.00000000027754,245.00000000005411
0.5,0.25,0.0,0.25,4.068788725332148,1.0,21.772769536892945,22.294781940019618,26.768085661950757,0.35,217.99999999863707,245.00000000005411
0.25,0.75,0.0,0.0,4.0751627272011195,1.0,22.09146963007419,22.294781940019618,26.768085661950757,0.3,217.9999999989579,245.00000000005411
0.25,0.0,0.25,0.5,4.075620433233621,0.9,48.69768827498034,30.90299420436569,49.08359726419898,0.35,183.99999999903295,205.00000000188592
0.5,0.5,0.0,0.0,4.113282740304054,1.0,21.497470283922894,21.043062053828965,26.230036956069256,0.35,220.9999999994556,245.00000000254332
0.0,0.0,0.0,1.0,4.198918799518739,0.9,49.0292732540422,28.6858763064473,46.52842832082102,0.2,190.99999999879265,205.00000000188592
0.75,0.0,0.25,0.0,4.206953791058803,1.0,22.847689487816872,21.709913492699336,29.459771981660683,0.25,224.99999999865454,245.00000000254332
0.5,0.0,0.25,0.25,4.373028497604074,0.95,36.109758152061524,24.583298591082638,38.01005748976844,0.35,217.99999999675038,225.00000000019514
0.75,0.25,0.0,0.0,4.426400251961288,1.0,22.98667919484384,23.214026064907273,27.587618679546253,0.35,237.9999999997784,265.00000000491883
0.25,0.0,0.0,0.75,4.50501494849305,0.95,36.87574736058696,24.583298591082638,38.810562870326216,0.25,224.9999999973853,225.00000000371847
1.0,0.0,0.0,0.0,4.60968885606781,1.0,23.817776064308312,23.31253693594849,27.587618679546253,0.1,247.99999999927928,265.00000000491883
0.75,0.0,0.0,0.25,4.618525866715511,1.0,24.259626595855153,23.67934916656218,27.587618679546253,0.15,248.00000000028513,265.00000000491883
0.5,0.0,0.0,0.5,4.644491442019522,0.95,35.51623870052613,23.695387298338925,30.15484950827206,0.15,234.99999999751353,245.00000000005411
0.0,1.0,0.0,0.0,5.210926121990785,1.0,206.79630608081487,208.6483445407723,425.6869073786244,0.1,64.49999999968112,105.00000000510417
0.0,0.5,0.5,0.0,5.539366636304514,1.0,223.21833179730356,221.802110848734,420.36399304630584,0.1,64.49999999871844,105.00000000510417
0.0,0.75,0.25,0.0,5.539366636304514,1.0,223.21833179730356,221.802110848734,420.36399304630584,0.1,64.49999999871844,105.00000000510417
0.25,0.0,0.75,0.0,6.331277412308696,1.0,304.0638706087352,343.0407365757244,479.99144316011785,0.0,15.000000002739881,15.000000006563422
0.0,0.25,0.75,0.0,7.812228468597115,1.0,374.3614234279185,385.6333351128699,533.2122456303864,0.0,19.499999995435243,44.999999994741586
0.0,0.0,1.0,0.0,9.460554908638763,1.0,460.5277454331226,500.83144743253115,637.3132695996346,0.0,14.99999999327898,14.999999996120453
