seed,case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,movement_time_s,active_measurements,co_measurements,coverage_insertions,search_end_time_s,no_signal_actions,failed_clear_actions,decision_wall_time_s
24119,1,C_region_q2,10,10,10,4065.263,133,10,1,3218.262889,7,0,0,nan,102,0,0.213116
24119,1,Cplus_completion_coobserve,10,10,10,3555.42,135,10,1,2696.419992,9,4,0,nan,102,0,0.130359
24119,1,F_coverage_integrated,10,10,10,3334.513,116,10,1,2590.513153,27,21,4,2223.560929418511,80,0,1.200348
24119,1,G_rolling_coverage,10,10,10,3341.048,117,10,1,2591.048326,28,22,4,2223.560929418511,80,0,1.168351
24119,1,I_ring_optimized,10,10,10,2812.219,109,10,1,2110.218697,24,16,7,2175.9673600721017,75,0,0.871602
24119,1,J_ring7_1000,10,10,10,3038.224,134,10,1,2188.223869,32,21,8,2112.1984545576397,93,0,0.806794
24119,1,Jplus_final,10,10,10,2913.374,119,10,1,2152.373708,17,17,0,2024.3405809953417,92,0,0.049305
24119,2,C_region_q2,11,11,11,4758.469,145,11,1,3835.469115,10,0,0,nan,112,0,0.267873
24119,2,Cplus_completion_coobserve,11,11,11,4297.3,148,11,1,3359.299867,13,3,0,nan,113,0,0.238928
24119,2,F_coverage_integrated,11,11,11,4018.485,117,11,1,3265.485023,23,9,7,2193.0842450573077,84,0,0.889436
24119,2,G_rolling_coverage,11,11,11,4028.412,119,11,1,3265.411971,25,12,7,2193.0842450573077,84,0,0.901018
24119,2,I_ring_optimized,11,11,11,3902.402,116,11,1,3155.401777,22,9,8,2080.2276349543336,84,0,0.720764
24119,2,J_ring7_1000,11,11,11,3843.555,134,11,1,2988.554794,30,18,7,2046.2333417331015,95,0,1.724245
24119,2,Jplus_final,11,11,11,3850.886,127,11,1,3036.886056,23,19,0,2000.5585786602333,93,0,0.169914
24119,3,C_region_q2,13,13,13,4658.514,133,13,1,3796.514411,13,0,0,nan,91,0,0.362373
24119,3,Cplus_completion_coobserve,13,13,13,4070.011,137,13,1,3186.010849,17,9,0,nan,91,0,0.241195
24119,3,F_coverage_integrated,13,13,13,3827.882,120,13,1,3048.882326,35,19,8,2278.1789140761184,72,0,0.661458
24119,3,G_rolling_coverage,13,13,13,3821.033,120,13,1,3043.032726,35,20,8,2278.1789140761184,72,0,0.606662
24119,3,I_ring_optimized,13,13,13,3722.371,117,13,1,2962.37115,32,21,7,2106.8766007308877,72,0,1.232385
24119,3,J_ring7_1000,13,13,13,3670.352,128,13,1,2844.351532,35,22,8,2081.587551674108,80,0,0.992508
24119,3,Jplus_final,13,13,13,3926.901,123,13,1,3131.900975,30,23,0,1909.585238125673,80,0,0.212989
24119,4,C_region_q2,16,16,16,5359.762,141,16,1,4436.762242,15,0,0,nan,88,0,0.484644
24119,4,Cplus_completion_coobserve,16,16,16,5051.901,147,16,1,4095.901313,21,8,0,nan,88,0,0.284933
24119,4,F_coverage_integrated,16,16,16,4079.769,106,16,1,3367.76869,43,26,8,1942.3566918373215,47,0,1.031685
24119,4,G_rolling_coverage,16,16,16,4072.747,106,16,1,3360.746874,43,28,8,1942.3566918373215,47,0,1.043947
24119,4,I_ring_optimized,16,16,16,3903.825,101,16,1,3221.825256,38,22,8,1854.1307449218773,48,0,1.251753
24119,4,J_ring7_1000,16,16,16,3718.208,109,16,1,2990.208113,40,23,8,1687.0925381010409,54,0,0.915593
24119,4,Jplus_final,16,16,16,3648.253,103,16,1,2956.25286,34,27,0,1596.4494391907122,53,0,0.260423
24119,5,C_region_q2,11,11,11,4443.646,143,11,1,3531.645693,10,0,0,nan,108,0,0.335586
24119,5,Cplus_completion_coobserve,11,11,11,4022.265,145,11,1,3098.264979,12,5,0,nan,108,0,0.19325
24119,5,F_coverage_integrated,11,11,11,3833.754,114,11,1,3098.753562,28,16,6,2168.5913396642927,76,0,1.246799
24119,5,G_rolling_coverage,11,11,11,3842.716,116,11,1,3097.715908,30,19,6,2168.5913396642927,76,0,1.22376
24119,5,I_ring_optimized,11,11,11,3666.995,116,11,1,2920.994854,30,19,7,2188.5762659268685,76,0,1.291583
24119,5,J_ring7_1000,11,11,11,3547.838,125,11,1,2746.837695,29,18,7,2017.0260398980822,86,0,0.894603
24119,5,Jplus_final,11,11,11,3576.6,125,11,1,2777.599655,22,16,0,1957.3336632997052,92,0,0.223276
24119,6,C_region_q2,14,14,14,5219.528,136,14,1,4335.527807,13,0,0,nan,89,0,0.363065
24119,6,Cplus_completion_coobserve,14,14,14,4385.18,138,14,1,3491.180497,15,7,0,nan,89,0,0.179358
24119,6,F_coverage_integrated,14,14,14,4421.758,110,14,1,3699.757974,44,23,8,2194.1932759172482,54,0,1.662733
24119,6,G_rolling_coverage,14,14,14,4160.124,109,14,1,3442.123614,43,29,8,2194.1932759172482,54,0,1.535765
