label,case,strategy,source_count,detected_channels,cleared_channels,total_virtual_time_s,measure_actions,clear_actions,all_cleared,origin_discoveries,selected_route,pruned_observations,audited_pruned,pruned_truth_hits,min_pruned_dist,max_kept_dist,movement,search_movement,post_movement,detection,switching,clearing
A_normal_n10,1,B,10,10,10,8712.203,373,10,1,5,B,0,0,0,,,6448.203052627973,4081.871979393182,2366.331073234793,1865.0,349.0,50.0
A_normal_n10,1,C,10,10,10,7825.714,406,10,1,5,C,0,0,0,,,5344.714019344944,3669.0281049872247,1675.6859143577185,2030.0,401.0,50.0
A_normal_n10,1,BF,10,10,10,8646.203,362,10,1,5,B,11,0,0,,,6448.203052627973,4081.871979393182,2366.331073234793,1810.0,338.0,50.0
A_normal_n10,1,CF,10,10,10,7639.714,375,10,1,5,C,31,0,0,,,5344.714019344944,3669.0281049872247,1675.6859143577185,1875.0,370.0,50.0
A_normal_n10,1,D,10,10,10,7639.714,375,10,1,5,C,31,31,0,1504.196076814834,1492.0431810324203,5344.714019344944,3669.0281049872247,1675.6859143577185,1875.0,370.0,50.0
A_normal_n10,1,C3F,10,10,10,7639.714,375,10,1,5,C,31,0,0,,,5344.714019344944,3669.0281049872247,1675.6859143577185,1875.0,370.0,50.0
A_normal_n10,2,B,10,10,10,8053.434,369,10,1,3,B,0,0,0,,,5794.434415597892,4113.968718845667,1680.4656967522262,1845.0,364.0,50.0
A_normal_n10,2,C,10,10,10,7497.118,390,10,1,3,C,0,0,0,,,5113.118053906127,3658.7238680728283,1454.3941858332994,1950.0,384.0,50.0
A_normal_n10,2,BF,10,10,10,8053.434,369,10,1,3,B,0,0,0,,,5794.434415597892,4113.968718845667,1680.4656967522262,1845.0,364.0,50.0
A_normal_n10,2,CF,10,10,10,7311.118,359,10,1,3,C,31,0,0,,,5113.118053906127,3658.7238680728283,1454.3941858332994,1795.0,353.0,50.0
A_normal_n10,2,D,10,10,10,7311.118,359,10,1,3,C,31,31,0,1505.7147721091565,1481.7361726426097,5113.118053906127,3658.7238680728283,1454.3941858332994,1795.0,353.0,50.0
A_normal_n10,2,C3F,10,10,10,7311.118,359,10,1,3,C,31,0,0,,,5113.118053906127,3658.7238680728283,1454.3941858332994,1795.0,353.0,50.0
A_normal_n10,3,B,10,10,10,8701.512,399,10,1,2,B,0,0,0,,,6266.511684714453,4082.1392490366184,2184.372435677836,1995.0,390.0,50.0
A_normal_n10,3,C,10,10,10,8054.042,454,10,1,2,C,0,0,0,,,5282.041795825153,3712.967134368448,1569.0746614567036,2270.0,452.0,50.0
A_normal_n10,3,BF,10,10,10,8701.512,399,10,1,2,B,0,0,0,,,6266.511684714453,4082.1392490366184,2184.372435677836,1995.0,390.0,50.0
A_normal_n10,3,CF,10,10,10,7670.042,390,10,1,2,C,64,0,0,,,5282.041795825153,3712.967134368448,1569.0746614567036,1950.0,388.0,50.0
A_normal_n10,3,D,10,10,10,7670.042,390,10,1,2,C,64,64,0,1523.4989523155643,1437.626519242611,5282.041795825153,3712.967134368448,1569.0746614567036,1950.0,388.0,50.0
A_normal_n10,3,C3F,10,10,10,7670.042,390,10,1,2,C,64,0,0,,,5282.041795825153,3712.967134368448,1569.0746614567036,1950.0,388.0,50.0
A_normal_n10,4,B,10,10,10,8308.843,381,10,1,4,B,0,0,0,,,5978.842543347916,4081.871979393182,1896.9705639547342,1905.0,375.0,50.0
A_normal_n10,4,C,10,10,10,7448.027,415,10,1,4,C,0,0,0,,,4909.026657471477,3730.3933168460317,1178.6333406254464,2075.0,414.0,50.0
A_normal_n10,4,BF,10,10,10,8278.843,376,10,1,4,B,5,0,0,,,5978.842543347916,4081.871979393182,1896.9705639547342,1880.0,370.0,50.0
A_normal_n10,4,CF,10,10,10,7190.027,372,10,1,4,C,43,0,0,,,4909.026657471477,3730.3933168460317,1178.6333406254464,1860.0,371.0,50.0
A_normal_n10,4,D,10,10,10,7190.027,372,10,1,4,C,43,43,0,1528.7568048933356,1483.110302723324,4909.026657471477,3730.3933168460317,1178.6333406254464,1860.0,371.0,50.0
A_normal_n10,4,C3F,10,10,10,7190.027,372,10,1,4,C,43,0,0,,,4909.026657471477,3730.3933168460317,1178.6333406254464,1860.0,371.0,50.0
A_normal_n10,5,B,10,10,10,8930.864,397,10,1,3,B,0,0,0,,,6505.863911092437,4112.380261747502,2393.483649344934,1985.0,390.0,50.0
A_normal_n10,5,C,10,10,10,7572.858,420,10,1,3,C,0,0,0,,,5003.858292224401,3648.7701519519155,1355.0881402724858,2100.0,419.0,50.0
A_normal_n10,5,BF,10,10,10,8906.864,393,10,1,3,B,4,0,0,,,6505.863911092437,4112.380261747502,2393.483649344934,1965.0,386.0,50.0
A_normal_n10,5,CF,10,10,10,7290.858,373,10,1,3,C,47,0,0,,,5003.858292224401,3648.7701519519155,1355.0881402724858,1865.0,372.0,50.0
A_normal_n10,5,D,10,10,10,7290.858,373,10,1,3,C,47,47,0,1530.1811850493066,1482.478450475039,5003.858292224401,3648.7701519519155,1355.0881402724858,1865.0,372.0,50.0
A_normal_n10,5,C3F,10,10,10,7290.858,373,10,1,3,C,47,0,0,,,5003.858292224401,3648.7701519519155,1355.0881402724858,1865.0,372.0,50.0
A_normal_n10,6,B,10,10,10,7978.334,389,10,1,4,B,0,0,0,,,5600.334379021609,4104.9194240735305,1495.4149549480805,1945.0,383.0,50.0
A_normal_n10,6,C,10,10,10,7654.466,442,10,1,4,C,0,0,0,,,4961.466289416385,3695.991480936529,1265.474808479857,2210.0,433.0,50.0
A_normal_n10,6,BF,10,10,10,7853.334,368,10,1,4,B,21,0,0,,,5600.334379021609,4104.9194240735305,1495.4149549480805,1840.0,363.0,50.0
A_normal_n10,6,CF,10,10,10,7329.466,388,10,1,4,C,54,0,0,,,4961.466289416385,3695.991480936529,1265.474808479857,1940.0,378.0,50.0
A_normal_n10,6,D,10,10,10,7329.466,388,10,1,4,C,54,54,0,1510.5438154175501,1499.3830513473629,4961.466289416385,3695.991480936529,1265.474808479857,1940.0,378.0,50.0
A_normal_n10,6,C3F,10,10,10,7329.466,388,10,1,4,C,54,0,0,,,4961.466289416385,3695.991480936529,1265.474808479857,1940.0,378.0,50.0
A_normal_n10,7,B,10,10,10,8251.98,411,10,1,2,B,0,0,0,,,5742.979633636276,4081.871979393182,1661.1076542430922,2055.0,404.0,50.0
A_normal_n10,7,C,10,10,10,7952.639,478,10,1,2,C,0,0,0,,,5036.638835769333,3656.9116210758607,1379.7272146934706,2390.0,476.0,50.0
A_normal_n10,7,BF,10,10,10,8251.98,411,10,1,2,B,0,0,0,,,5742.979633636276,4081.871979393182,1661.1076542430922,2055.0,404.0,50.0
A_normal_n10,7,CF,10,10,10,7454.639,395,10,1,2,C,83,0,0,,,5036.638835769333,3656.9116210758607,1379.7272146934706,1975.0,393.0,50.0
A_normal_n10,7,D,10,10,10,7454.639,395,10,1,2,C,83,83,0,1520.0912479156962,1477.1759282707396,5036.638835769333,3656.9116210758607,1379.7272146934706,1975.0,393.0,50.0
A_normal_n10,7,C3F,10,10,10,7454.639,395,10,1,2,C,83,0,0,,,5036.638835769333,3656.9116210758607,1379.7272146934706,1975.0,393.0,50.0
A_normal_n10,8,B,10,10,10,8605.553,416,10,1,3,B,0,0,0,,,6067.552567734106,4081.871979393182,1985.6805883409236,2080.0,408.0,50.0
A_normal_n10,8,C,10,10,10,7877.878,463,10,1,3,C,0,0,0,,,5055.878242194284,3640.692760699568,1415.1854814947167,2315.0,457.0,50.0
A_normal_n10,8,BF,10,10,10,8391.553,381,10,1,3,B,35,0,0,,,6067.552567734106,4081.871979393182,1985.6805883409236,1905.0,369.0,50.0
A_normal_n10,8,CF,10,10,10,7541.878,407,10,1,3,C,56,0,0,,,5055.878242194284,3640.692760699568,1415.1854814947167,2035.0,401.0,50.0
A_normal_n10,8,D,10,10,10,7541.878,407,10,1,3,C,56,56,0,1503.717213732842,1363.9695399532736,5055.878242194284,3640.692760699568,1415.1854814947167,2035.0,401.0,50.0
A_normal_n10,8,C3F,10,10,10,7541.878,407,10,1,3,C,56,0,0,,,5055.878242194284,3640.692760699568,1415.1854814947167,2035.0,401.0,50.0
A_normal_n10,9,B,10,10,10,8015.54,366,10,1,3,B,0,0,0,,,5775.5399036707695,4081.871979393182,1693.6679242775883,1830.0,360.0,50.0
